scene_id	book_num	book_title	era_band	slot_in_book	source_layer	source_type	old_title	clean_title	title_status	brief_scene_description	inferred_character_names	inferred_character_ids	book_active_cast	book_key_pressure	source_trace	corridor_region_anchor	county_anchor	ecology_pressure_mode	creature_refs	transformation_notes	authority_class
B01_007	1	Choices Make World	Era I — Contact and First Threads	59	DIRECT_SOURCE	PLACED_FILE	The Betrayal Seed	The Betrayal Seed	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	PLACED_FILE:books/Book_01_Choices_Make_World/placed/B01_007__The_Betrayal_Seed.md:B01_007; PLACED_FILE:books/Book_01_The_Fifteenth_Birthday/placed/B01_007__The_Betrayal_Seed.md:B01_007; GLOBAL_BEAT:08_global_beat_index.tsv:B01_007						accepted_tier1_or_2
B01_008	1	Choices Make World	Era I — Contact and First Threads	60	DIRECT_SOURCE	PLACED_FILE	The First Threshold	The First Threshold	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	PLACED_FILE:books/Book_01_Choices_Make_World/placed/B01_008__The_First_Threshold.md:B01_008; PLACED_FILE:books/Book_01_The_Fifteenth_Birthday/placed/B01_008__The_First_Threshold.md:B01_008; GLOBAL_BEAT:08_global_beat_index.tsv:B01_008						accepted_tier1_or_2
B01_S246	1	Choices Make World	Era I — Contact and First Threads	61	DIRECT_SOURCE	SCENE_EXPANSION_EXTRACT	The Book Prepares to Widen Its Cast and Cost	The Book Prepares to Widen Its Cast and Cost	kept	Future books are loaded through the relationships established here.			Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	SCENE_EXPANSION_EXTRACT:book.txt:B01_S246						accepted_tier1_or_2
B01_S248	1	Choices Make World	Era I — Contact and First Threads	62	DIRECT_SOURCE	SCENE_EXPANSION_EXTRACT	The First Book Closes on Expansion Pressure	The First Book Closes on Expansion Pressure	kept	Instead of ending small, Book 1 now points outward toward the larger structure.			Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	SCENE_EXPANSION_EXTRACT:book.txt:B01_S248						accepted_tier1_or_2
B01_S256	1	Choices Make World	Era I — Contact and First Threads	63	DIRECT_SOURCE	SCENE_EXPANSION_EXTRACT	The Beat Ends with Duty Reentering the Book	Duty Reentering the Book	rewritten_beat_end	The first book makes clear that rescue did not remove obligation, only redefine it.			Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	SCENE_EXPANSION_EXTRACT:book.txt:B01_S256						accepted_tier1_or_2
B01_S287	1	Choices Make World	Era I — Contact and First Threads	64	DIRECT_SOURCE	SCENE_EXPANSION_EXTRACT	The World of the Book Narrows and Deepens Around the Pair	The World of the Book Narrows and Deepens Around the Pair	kept	Emotional focus sharpens rather than diffuses.			Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	SCENE_EXPANSION_EXTRACT:book.txt:B01_S287						accepted_tier1_or_2
B01_S312	1	Choices Make World	Era I — Contact and First Threads	65	DIRECT_SOURCE	SCENE_EXPANSION_EXTRACT	The Beat Ends with the Oasis Defined as Worth Fighting For	The Oasis Defined as Worth Fighting For	rewritten_beat_end	Book 1 locks the emotional value of home before the saga asks what it will cost.			Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	SCENE_EXPANSION_EXTRACT:book.txt:B01_S312						accepted_tier1_or_2
B01_S353	1	Choices Make World	Era I — Contact and First Threads	66	DIRECT_SOURCE	SCENE_EXPANSION_EXTRACT	Pip Rylos Vayne Johnson Mack Blue Thread Future Sanctuary All Align	Pip Rylos Vayne Johnson Mack Blue Thread Future Sanctuary All Align	kept	The major emotional and symbolic forces of Book 1 finally sit in one structure.	Rylos (Rylos Vayne Johnson) | Mack | Pip (Indalwin Willowjayce)	wowas::rylos_vayne_johnson | wowas::mack_willow_father | wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	SCENE_EXPANSION_EXTRACT:book.txt:B01_S353						accepted_tier1_or_2
B01_S360	1	Choices Make World	Era I — Contact and First Threads	67	DIRECT_SOURCE	SCENE_EXPANSION_EXTRACT	The Beat Ends with Book One Fully Loaded	Book One Fully Loaded	rewritten_beat_end	The emotional sky of the saga is now visibly seeded.			Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	SCENE_EXPANSION_EXTRACT:book.txt:B01_S360						accepted_tier1_or_2
B01_S372	1	Choices Make World	Era I — Contact and First Threads	68	DIRECT_SOURCE	SCENE_EXPANSION_EXTRACT	The Beat Ends with a World Big Enough for Future Entries	A World Big Enough for Future Entries	rewritten_beat_end	Book 1 makes room for the saga's expansion.			Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	SCENE_EXPANSION_EXTRACT:book.txt:B01_S372						accepted_tier1_or_2
B01_S376	1	Choices Make World	Era I — Contact and First Threads	69	DIRECT_SOURCE	SCENE_EXPANSION_EXTRACT	The Blue Thread Hums Under the End of the Book	The Blue Thread Hums Under the End of the Book	kept	Prophecy remains active beneath the emotional closure.			Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	SCENE_EXPANSION_EXTRACT:book.txt:B01_S376						accepted_tier1_or_2
B01_S377	1	Choices Make World	Era I — Contact and First Threads	70	DIRECT_SOURCE	SCENE_EXPANSION_EXTRACT	Book One Closes on Held Breath Not Full Rest	Book One Closes on Held Breath Not Full Rest	kept	The ending gives completion without pretending the danger or longing are over.			Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	SCENE_EXPANSION_EXTRACT:book.txt:B01_S377						accepted_tier1_or_2
B01_S378	1	Choices Make World	Era I — Contact and First Threads	71	DIRECT_SOURCE	SCENE_EXPANSION_EXTRACT	Exit Velocity Is Achieved	Exit Velocity Is Achieved	kept	The first book ends with enough emotional, relational, and prophetic force to launch directly into Book 2.			Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	SCENE_EXPANSION_EXTRACT:book.txt:B01_S378						accepted_tier1_or_2
B02_000	2	The Diary and the Blue Light	Era I — Contact and First Threads	82	DIRECT_SOURCE	PLACED_FILE	Vault Of Whispers	Vault Of Whispers	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Alex | Majiskii	"Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash. | Xethrolund diary: identity questions, ""You are not what was done to you."" (Book 03 territory but seeded here)"	PLACED_FILE:books/Book_02_The_Diary_And_The_Blue_Light/placed/B02_000__Vault_Of_Whispers.md:B02_000; GLOBAL_BEAT:08_global_beat_index.tsv:B02_000; COMPILECAT:Whispers_Of_Willow_And_Stone_COMPILEcat.txt:B02_000						accepted_tier1_or_2
B02_001C	2	The Diary and the Blue Light	Era I — Contact and First Threads	83	DIRECT_SOURCE	PLACED_FILE	The First Sign Of Trouble At The Market	The First Sign Of Trouble At The Market	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Alex | Majiskii	"Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash. | Xethrolund diary: identity questions, ""You are not what was done to you."" (Book 03 territory but seeded here)"	PLACED_FILE:books/Book_02_The_Diary_And_The_Blue_Light/placed/B02_001C__The_First_Sign_Of_Trouble_At_The_Market.md:B02_001C; GLOBAL_BEAT:08_global_beat_index.tsv:B02_001C; COMPILECAT:Whispers_Of_Willow_And_Stone_COMPILEcat.txt:B02_001C						accepted_tier1_or_2
B02_001B	2	The Diary and the Blue Light	Era I — Contact and First Threads	84	DIRECT_SOURCE	PLACED_FILE	The Healing That Does Not Hold	The Healing That Does Not Hold	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Alex | Majiskii	"Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash. | Xethrolund diary: identity questions, ""You are not what was done to you."" (Book 03 territory but seeded here)"	PLACED_FILE:books/Book_02_The_Diary_And_The_Blue_Light/placed/B02_001B__The_Healing_That_Does_Not_Hold.md:B02_001B; GLOBAL_BEAT:08_global_beat_index.tsv:B02_001B; COMPILECAT:Whispers_Of_Willow_And_Stone_COMPILEcat.txt:B02_001B						accepted_tier1_or_2
B02_001	2	The Diary and the Blue Light	Era I — Contact and First Threads	85	DIRECT_SOURCE	PLACED_FILE	The Rift Escalates	The Rift Escalates	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Alex | Majiskii	"Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash. | Xethrolund diary: identity questions, ""You are not what was done to you."" (Book 03 territory but seeded here)"	PLACED_FILE:books/Book_02_The_Diary_And_The_Blue_Light/placed/B02_001__The_Rift_Escalates.md:B02_001; GLOBAL_BEAT:08_global_beat_index.tsv:B02_001						accepted_tier1_or_2
B02_001A	2	The Diary and the Blue Light	Era I — Contact and First Threads	86	DIRECT_SOURCE	PLACED_FILE	The Wounded Rabbit In The Market	The Wounded Rabbit In The Market	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Alex | Majiskii	"Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash. | Xethrolund diary: identity questions, ""You are not what was done to you."" (Book 03 territory but seeded here)"	PLACED_FILE:books/Book_02_The_Diary_And_The_Blue_Light/placed/B02_001A__The_Wounded_Rabbit_In_The_Market.md:B02_001A; GLOBAL_BEAT:08_global_beat_index.tsv:B02_001A; COMPILECAT:Whispers_Of_Willow_And_Stone_COMPILEcat.txt:B02_001A						accepted_tier1_or_2
B02_002	2	The Diary and the Blue Light	Era I — Contact and First Threads	87	DIRECT_SOURCE	PLACED_FILE	The Betrayal Executes	The Betrayal Executes	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Alex | Majiskii	"Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash. | Xethrolund diary: identity questions, ""You are not what was done to you."" (Book 03 territory but seeded here)"	PLACED_FILE:books/Book_02_The_Diary_And_The_Blue_Light/placed/B02_002__The_Betrayal_Executes.md:B02_002; GLOBAL_BEAT:08_global_beat_index.tsv:B02_002						accepted_tier1_or_2
B02_003	2	The Diary and the Blue Light	Era I — Contact and First Threads	88	DIRECT_SOURCE	PLACED_FILE	The Diamond Break Window	The Diamond Break Window	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Alex | Majiskii	"Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash. | Xethrolund diary: identity questions, ""You are not what was done to you."" (Book 03 territory but seeded here)"	PLACED_FILE:books/Book_02_The_Diary_And_The_Blue_Light/placed/B02_003__The_Diamond_Break_Window.md:B02_003; GLOBAL_BEAT:08_global_beat_index.tsv:B02_003						accepted_tier1_or_2
B02_004	2	The Diary and the Blue Light	Era I — Contact and First Threads	89	DIRECT_SOURCE	PLACED_FILE	Mack Sacrifice	Mack Sacrifice	kept		Mack	wowas::mack_willow_father	Pip (Indalwin Willowjayce) | Mack | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Alex | Majiskii	"Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash. | Xethrolund diary: identity questions, ""You are not what was done to you."" (Book 03 territory but seeded here)"	PLACED_FILE:books/Book_02_The_Diary_And_The_Blue_Light/placed/B02_004__Mack_Sacrifice.md:B02_004; GLOBAL_BEAT:08_global_beat_index.tsv:B02_004						accepted_tier1_or_2
B02_005	2	The Diary and the Blue Light	Era I — Contact and First Threads	90	DIRECT_SOURCE	PLACED_FILE	Xethrolund Portal Arrival	Xethrolund Portal Arrival	kept		Xethrolund	wowas::xethrolund_papi	Pip (Indalwin Willowjayce) | Mack | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Alex | Majiskii	"Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash. | Xethrolund diary: identity questions, ""You are not what was done to you."" (Book 03 territory but seeded here)"	PLACED_FILE:books/Book_02_The_Diary_And_The_Blue_Light/placed/B02_005__Xethrolund_Portal_Arrival.md:B02_005; GLOBAL_BEAT:08_global_beat_index.tsv:B02_005						accepted_tier1_or_2
B02_006	2	The Diary and the Blue Light	Era I — Contact and First Threads	91	DIRECT_SOURCE	PLACED_FILE	Stasis	Stasis	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Alex | Majiskii	"Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash. | Xethrolund diary: identity questions, ""You are not what was done to you."" (Book 03 territory but seeded here)"	PLACED_FILE:books/Book_02_The_Diary_And_The_Blue_Light/placed/B02_006__Stasis.md:B02_006; GLOBAL_BEAT:08_global_beat_index.tsv:B02_006						accepted_tier1_or_2
B02_S001	2	The Diary and the Blue Light	Era I — Contact and First Threads	92	DIRECT_SOURCE	SCENE_EXPANSION_EXTRACT	The Morning After Book One Does Not Feel Simple	The Morning After Book One Does Not Feel Simple	kept	The oasis carries the emotional aftershock of rescue rather than ordinary peace.			Pip (Indalwin Willowjayce) | Mack | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Alex | Majiskii	"Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash. | Xethrolund diary: identity questions, ""You are not what was done to you."" (Book 03 territory but seeded here)"	SCENE_EXPANSION_EXTRACT:book.txt:B02_S001; SCENE_EXPANSION_EXTRACT:book.txt:B02_S001						accepted_tier1_or_2
B02_S010	2	The Diary and the Blue Light	Era I — Contact and First Threads	93	DIRECT_SOURCE	SCENE_EXPANSION_EXTRACT	Book Two Opens on Changed Home Law	Book Two Opens on Changed Home Law	kept	The new book starts with home transformed, not restored.			Pip (Indalwin Willowjayce) | Mack | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Alex | Majiskii	"Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash. | Xethrolund diary: identity questions, ""You are not what was done to you."" (Book 03 territory but seeded here)"	SCENE_EXPANSION_EXTRACT:book.txt:B02_S010; SCENE_EXPANSION_EXTRACT:book.txt:B02_S010						accepted_tier1_or_2
B02_S077	2	The Diary and the Blue Light	Era I — Contact and First Threads	94	DIRECT_SOURCE	SCENE_EXPANSION_EXTRACT	Home Holds a Scene of Care and Revelation Together	Home Holds a Scene of Care and Revelation Together	kept	This fusion becomes central to Book 2's feel.			Pip (Indalwin Willowjayce) | Mack | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Alex | Majiskii	"Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash. | Xethrolund diary: identity questions, ""You are not what was done to you."" (Book 03 territory but seeded here)"	SCENE_EXPANSION_EXTRACT:book.txt:B02_S077; SCENE_EXPANSION_EXTRACT:book.txt:B02_S077						accepted_tier1_or_2
