creature_id	species_name	base_form	primary_trait	secondary_trait	biome	danger_band	ecology_role	candidate_draws	selection_score	generation_law	visual_spec	visual_status
WR00033	Aermaelorael33	willow crab	glyph-touched	resonant	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-willow crab-glyph-touched-morrow market	procedural_visual_spec_v1
WR00034	Ashagalenion34	stonefin bird	sanitized	chaotic	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-stonefin bird-sanitized-root vale	procedural_visual_spec_v1
WR00035	Aerindraluthdion35	thorn whale	gross	weird	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-thorn whale-gross-ripper tunnel	procedural_visual_spec_v1
WR00036	Aerdalenael36	ash otter	resonant	unbrictionable	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-ash otter-resonant-cello field	procedural_visual_spec_v1
WR00037	Aeranorluthion37	ribbon serpent	chaotic	elegant	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-ribbon serpent-chaotic-blue-light road	procedural_visual_spec_v1
WR00038	Ashaavelbrookelle38	mirror lynx	weird	cello-woken	xeth glyph yard	predatory	memory mimic	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-mirror lynx-weird-xeth glyph yard	procedural_visual_spec_v1
WR00039	Aeranorianaria39	fern mantis	unbrictionable	unibreccianated	stone fen	sacred-dangerous	weather listener	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-fern mantis-unbrictionable-stone fen	procedural_visual_spec_v1
WR00040	Aerindraaen40	marrow crane	elegant	horrific	pocket sanctuary	gentle	burrow architect	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-marrow crane-elegant-pocket sanctuary	procedural_visual_spec_v1
WR00041	Ashagalenaria41	quartz ram	cello-woken	diamond-scarred	glass orchard	watchful	soil restorer	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-quartz ram-cello-woken-glass orchard	procedural_visual_spec_v1
WR00042	Ashaeliongroveavel42	song beetle	unibreccianated	verdant	neith edge	hazardous	apex grazer	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-song beetle-unibreccianated-neith edge	procedural_visual_spec_v1
WR00043	Aeranoramariel43	moth-deer	horrific	beautiful	willow-stone county	predatory	song amplifier	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-moth-deer-horrific-willow-stone county	procedural_visual_spec_v1
WR00044	Aerdalenevaradria44	root hound	diamond-scarred	glyph-touched	last open gate	sacred-dangerous	healing symbiote	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-root hound-diamond-scarred-last open gate	procedural_visual_spec_v1
WR00045	Ashaavelanorion45	glass heron	verdant	sanitized	diamond breakland	gentle	gate sentinel	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-glass heron-verdant-diamond breakland	procedural_visual_spec_v1
WR00046	Aeranorcoriabrinel46	basalt hare	beautiful	gross	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-basalt hare-beautiful-black-heart ridge	procedural_visual_spec_v1
WR00047	Aerdalengrovedion47	orchard eel	glyph-touched	resonant	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-orchard eel-glyph-touched-ash river	procedural_visual_spec_v1
WR00048	Aerdalenevaraiven48	lantern fox	sanitized	chaotic	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-lantern fox-sanitized-morrow market	procedural_visual_spec_v1
WR00049	Aeranorluthbrinen49	cinder elk	gross	weird	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-cinder elk-gross-root vale	procedural_visual_spec_v1
WR00050	Aeranorevaraelle50	moss bear	resonant	unbrictionable	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-moss bear-resonant-ripper tunnel	procedural_visual_spec_v1
WR00051	Aerdalenamaren51	willow crab	chaotic	elegant	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-willow crab-chaotic-cello field	procedural_visual_spec_v1
WR00052	Aermaelorianael52	stonefin bird	weird	cello-woken	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-stonefin bird-weird-blue-light road	procedural_visual_spec_v1
WR00053	Ashaelioniven53	thorn whale	unbrictionable	unibreccianated	xeth glyph yard	predatory	memory mimic	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-thorn whale-unbrictionable-xeth glyph yard	procedural_visual_spec_v1
WR00054	Aerdalenianel54	ash otter	elegant	horrific	stone fen	sacred-dangerous	weather listener	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-ash otter-elegant-stone fen	procedural_visual_spec_v1
WR00055	Ashajoraael55	ribbon serpent	cello-woken	diamond-scarred	pocket sanctuary	gentle	burrow architect	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-ribbon serpent-cello-woken-pocket sanctuary	procedural_visual_spec_v1
WR00056	Aerfiraluthelle56	mirror lynx	unibreccianated	verdant	glass orchard	watchful	soil restorer	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-mirror lynx-unibreccianated-glass orchard	procedural_visual_spec_v1
WR00057	Aerindraamardion57	fern mantis	horrific	beautiful	neith edge	hazardous	apex grazer	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-fern mantis-horrific-neith edge	procedural_visual_spec_v1
WR00058	Ashagalenglassavel58	marrow crane	diamond-scarred	glyph-touched	willow-stone county	predatory	song amplifier	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-marrow crane-diamond-scarred-willow-stone county	procedural_visual_spec_v1
WR00059	Aerdalenel59	quartz ram	verdant	sanitized	last open gate	sacred-dangerous	healing symbiote	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-quartz ram-verdant-last open gate	procedural_visual_spec_v1
WR00060	Aerdalenamararel60	song beetle	beautiful	gross	diamond breakland	gentle	gate sentinel	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-song beetle-beautiful-diamond breakland	procedural_visual_spec_v1
WR00061	Aerdalenevaraavel61	moth-deer	glyph-touched	resonant	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-moth-deer-glyph-touched-black-heart ridge	procedural_visual_spec_v1
WR00062	Aeranorcoriahaloren62	root hound	sanitized	chaotic	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-root hound-sanitized-ash river	procedural_visual_spec_v1
WR00063	Ashaelioncrownion63	glass heron	gross	weird	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-glass heron-gross-morrow market	procedural_visual_spec_v1
WR00064	Aeranorlarkelle64	basalt hare	resonant	unbrictionable	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-basalt hare-resonant-root vale	procedural_visual_spec_v1
WR00065	Aeranorianbrinarel65	orchard eel	chaotic	elegant	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-orchard eel-chaotic-ripper tunnel	procedural_visual_spec_v1
WR00066	Aeranorael66	lantern fox	weird	cello-woken	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-lantern fox-weird-cello field	procedural_visual_spec_v1
WR00067	Aerfiraiven67	cinder elk	unbrictionable	unibreccianated	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-cinder elk-unbrictionable-blue-light road	procedural_visual_spec_v1
WR00068	Aerfiraamarhalorel68	moss bear	elegant	horrific	xeth glyph yard	predatory	memory mimic	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-moss bear-elegant-xeth glyph yard	procedural_visual_spec_v1
WR00069	Aerindraiven69	willow crab	cello-woken	diamond-scarred	stone fen	sacred-dangerous	weather listener	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-willow crab-cello-woken-stone fen	procedural_visual_spec_v1
WR00070	Aeranorianaelen70	stonefin bird	unibreccianated	verdant	pocket sanctuary	gentle	burrow architect	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-stonefin bird-unibreccianated-pocket sanctuary	procedural_visual_spec_v1
WR00071	Ashaavelael71	thorn whale	horrific	beautiful	glass orchard	watchful	soil restorer	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-thorn whale-horrific-glass orchard	procedural_visual_spec_v1
WR00072	Aeranoravel72	ash otter	diamond-scarred	glyph-touched	neith edge	hazardous	apex grazer	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-ash otter-diamond-scarred-neith edge	procedural_visual_spec_v1
WR00073	Aeranorcoriaemberen73	ribbon serpent	verdant	sanitized	willow-stone county	predatory	song amplifier	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-ribbon serpent-verdant-willow-stone county	procedural_visual_spec_v1
WR00074	Aermaelorel74	mirror lynx	beautiful	gross	last open gate	sacred-dangerous	healing symbiote	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-mirror lynx-beautiful-last open gate	procedural_visual_spec_v1
WR00075	Aerfiraluthen75	fern mantis	glyph-touched	resonant	diamond breakland	gentle	gate sentinel	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-fern mantis-glyph-touched-diamond breakland	procedural_visual_spec_v1
WR00076	Aermaeloriel76	marrow crane	sanitized	chaotic	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-marrow crane-sanitized-black-heart ridge	procedural_visual_spec_v1
WR00077	Aeranorcrowniel77	quartz ram	gross	weird	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-quartz ram-gross-ash river	procedural_visual_spec_v1
WR00078	Aermaelorion78	song beetle	resonant	unbrictionable	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-song beetle-resonant-morrow market	procedural_visual_spec_v1
WR00079	Aeranorluthhaloren79	moth-deer	chaotic	elegant	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-moth-deer-chaotic-root vale	procedural_visual_spec_v1
WR00080	Aeranorcoriaivydria80	root hound	weird	cello-woken	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-root hound-weird-ripper tunnel	procedural_visual_spec_v1
WR00081	Ashaavelmarrowel81	glass heron	unbrictionable	unibreccianated	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-glass heron-unbrictionable-cello field	procedural_visual_spec_v1
WR00082	Aerdalencoriael82	basalt hare	elegant	horrific	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-basalt hare-elegant-blue-light road	procedural_visual_spec_v1
WR00083	Aeranorelle83	orchard eel	cello-woken	diamond-scarred	xeth glyph yard	predatory	memory mimic	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-orchard eel-cello-woken-xeth glyph yard	procedural_visual_spec_v1
WR00084	Ashaelionindraarel84	lantern fox	unibreccianated	verdant	stone fen	sacred-dangerous	weather listener	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-lantern fox-unibreccianated-stone fen	procedural_visual_spec_v1
WR00085	Aeranorianelle85	cinder elk	horrific	beautiful	pocket sanctuary	gentle	burrow architect	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-cinder elk-horrific-pocket sanctuary	procedural_visual_spec_v1
WR00086	Ashajoraaria86	moss bear	diamond-scarred	glyph-touched	glass orchard	watchful	soil restorer	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-moss bear-diamond-scarred-glass orchard	procedural_visual_spec_v1
WR00087	Ashagalendalenaen87	willow crab	verdant	sanitized	neith edge	hazardous	apex grazer	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-willow crab-verdant-neith edge	procedural_visual_spec_v1
WR00088	Aeranoramaraeldria88	stonefin bird	beautiful	gross	willow-stone county	predatory	song amplifier	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-stonefin bird-beautiful-willow-stone county	procedural_visual_spec_v1
WR00089	Aerdalenluthdria89	thorn whale	glyph-touched	resonant	last open gate	sacred-dangerous	healing symbiote	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-thorn whale-glyph-touched-last open gate	procedural_visual_spec_v1
WR00090	Aerdalenaria90	ash otter	sanitized	chaotic	diamond breakland	gentle	gate sentinel	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-ash otter-sanitized-diamond breakland	procedural_visual_spec_v1
WR00091	Aerfiraiel91	ribbon serpent	gross	weird	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-ribbon serpent-gross-black-heart ridge	procedural_visual_spec_v1
WR00092	Aerindraianaelen92	mirror lynx	resonant	unbrictionable	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-mirror lynx-resonant-ash river	procedural_visual_spec_v1
WR00093	Aeranorianriverelle93	fern mantis	chaotic	elegant	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-fern mantis-chaotic-morrow market	procedural_visual_spec_v1
WR00094	Ashagalenanoraen94	marrow crane	weird	cello-woken	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-marrow crane-weird-root vale	procedural_visual_spec_v1
WR00095	Aerfiraamarhaloren95	quartz ram	unbrictionable	unibreccianated	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-quartz ram-unbrictionable-ripper tunnel	procedural_visual_spec_v1
WR00096	Aerdalencoriaaeliel96	song beetle	elegant	horrific	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-song beetle-elegant-cello field	procedural_visual_spec_v1
WR00097	Aeranorianendaravel97	moth-deer	cello-woken	diamond-scarred	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-moth-deer-cello-woken-blue-light road	procedural_visual_spec_v1
WR00098	Aeranorianavel98	root hound	unibreccianated	verdant	xeth glyph yard	predatory	memory mimic	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-root hound-unibreccianated-xeth glyph yard	procedural_visual_spec_v1
WR00099	Aerdalenarel99	glass heron	horrific	beautiful	stone fen	sacred-dangerous	weather listener	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-glass heron-horrific-stone fen	procedural_visual_spec_v1
WR00100	Aerindraluthelle100	basalt hare	diamond-scarred	glyph-touched	pocket sanctuary	gentle	burrow architect	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-basalt hare-diamond-scarred-pocket sanctuary	procedural_visual_spec_v1
WR00101	Aerdalenluthdion101	orchard eel	verdant	sanitized	glass orchard	watchful	soil restorer	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-orchard eel-verdant-glass orchard	procedural_visual_spec_v1
WR00102	Aerdalenforgeiel102	lantern fox	beautiful	gross	neith edge	hazardous	apex grazer	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-lantern fox-beautiful-neith edge	procedural_visual_spec_v1
WR00103	Ashagalenfiraaen103	cinder elk	glyph-touched	resonant	willow-stone county	predatory	song amplifier	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-cinder elk-glyph-touched-willow-stone county	procedural_visual_spec_v1
WR00104	Aerdalenianarel104	moss bear	sanitized	chaotic	last open gate	sacred-dangerous	healing symbiote	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-moss bear-sanitized-last open gate	procedural_visual_spec_v1
WR00105	Aerfiraluthdria105	willow crab	gross	weird	diamond breakland	gentle	gate sentinel	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-willow crab-gross-diamond breakland	procedural_visual_spec_v1
WR00106	Ashaavelarel106	stonefin bird	resonant	unbrictionable	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-stonefin bird-resonant-black-heart ridge	procedural_visual_spec_v1
WR00107	Aerdalenamarivyiven107	thorn whale	chaotic	elegant	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-thorn whale-chaotic-ash river	procedural_visual_spec_v1
WR00108	Aerdalenamaraeliel108	ash otter	weird	cello-woken	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-ash otter-weird-morrow market	procedural_visual_spec_v1
WR00109	Aeranorianendariven109	ribbon serpent	unbrictionable	unibreccianated	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-ribbon serpent-unbrictionable-root vale	procedural_visual_spec_v1
WR00110	Brenbrinjoraael110	mirror lynx	elegant	horrific	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-mirror lynx-elegant-ripper tunnel	procedural_visual_spec_v1
WR00111	Ashajoradalenel111	fern mantis	cello-woken	diamond-scarred	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-fern mantis-cello-woken-cello field	procedural_visual_spec_v1
WR00112	Aeranorianael112	marrow crane	unibreccianated	verdant	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-marrow crane-unibreccianated-blue-light road	procedural_visual_spec_v1
WR00113	Aerindradion113	quartz ram	horrific	beautiful	xeth glyph yard	predatory	memory mimic	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-quartz ram-horrific-xeth glyph yard	procedural_visual_spec_v1
WR00114	Aerfiraamarion114	song beetle	diamond-scarred	glyph-touched	stone fen	sacred-dangerous	weather listener	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-song beetle-diamond-scarred-stone fen	procedural_visual_spec_v1
WR00115	Aerfiraavel115	moth-deer	verdant	sanitized	pocket sanctuary	gentle	burrow architect	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-moth-deer-verdant-pocket sanctuary	procedural_visual_spec_v1
WR00116	Aerfiracoriaaeliven116	root hound	beautiful	gross	glass orchard	watchful	soil restorer	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-root hound-beautiful-glass orchard	procedural_visual_spec_v1
WR00117	Aermaelorianelle117	glass heron	glyph-touched	resonant	neith edge	hazardous	apex grazer	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-glass heron-glyph-touched-neith edge	procedural_visual_spec_v1
WR00118	Aerfiraamarbrinen118	basalt hare	sanitized	chaotic	willow-stone county	predatory	song amplifier	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-basalt hare-sanitized-willow-stone county	procedural_visual_spec_v1
WR00119	Aeranoramarmossiel119	orchard eel	gross	weird	last open gate	sacred-dangerous	healing symbiote	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-orchard eel-gross-last open gate	procedural_visual_spec_v1
WR00120	Ashajoraanorevaraen120	lantern fox	resonant	unbrictionable	diamond breakland	gentle	gate sentinel	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-lantern fox-resonant-diamond breakland	procedural_visual_spec_v1
WR00121	Ashajoramiredion121	cinder elk	chaotic	elegant	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-cinder elk-chaotic-black-heart ridge	procedural_visual_spec_v1
WR00122	Aerindraianashen122	moss bear	weird	cello-woken	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-moss bear-weird-ash river	procedural_visual_spec_v1
WR00123	Aerfiraion123	willow crab	unbrictionable	unibreccianated	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-willow crab-unbrictionable-morrow market	procedural_visual_spec_v1
WR00124	Aerfiraevaraaelarel124	stonefin bird	elegant	horrific	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-stonefin bird-elegant-root vale	procedural_visual_spec_v1
WR00125	Aerfiraamaraeldria125	thorn whale	cello-woken	diamond-scarred	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-thorn whale-cello-woken-ripper tunnel	procedural_visual_spec_v1
WR00126	Aerfiraevaraarel126	ash otter	unibreccianated	verdant	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-ash otter-unibreccianated-cello field	procedural_visual_spec_v1
