serial	creature_id	species_name	biome	scene_link_rule	status
MAP-CREATURE-e9f971779942	WR00135		diamond breakland	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-7caa5a7c1e5f	WR00136		black-heart ridge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-23c79b3f21e8	WR00137		ash river	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-4608bc806440	WR00138		morrow market	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-7b0a8cff1876	WR00139		root vale	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-f198b989d68a	WR00140		ripper tunnel	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-ba1729bdcfa4	WR00141		cello field	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-170e930506bd	WR00142		blue-light road	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-b3844ee7f7e5	WR00143		xeth glyph yard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-5fba7eb08d48	WR00144		stone fen	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-539d08cf1585	WR00145		pocket sanctuary	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-a9bee2c39ea6	WR00146		glass orchard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-45b84cf1d517	WR00147		neith edge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-b03a5dacc568	WR00148		willow-stone county	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-c56abc165e80	WR00149		last open gate	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-b17b79d7cec0	WR00150		diamond breakland	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-c46436fb7065	WR00151		black-heart ridge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-e3febc3e021e	WR00152		ash river	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-54e3fe29e2b0	WR00153		morrow market	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-b498f1b542b7	WR00154		root vale	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-b5490d5191d5	WR00155		ripper tunnel	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-601afdcbcd78	WR00156		cello field	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-ee8d4fb6386c	WR00157		blue-light road	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-1f4fb2fff28a	WR00158		xeth glyph yard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-64209eaafff2	WR00159		stone fen	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-f1c8f7902fb0	WR00160		pocket sanctuary	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-bd1c7d273fd9	WR00161		glass orchard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-e368b0c678a1	WR00162		neith edge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-0c2861c22c64	WR00163		willow-stone county	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-2f8b15f9ce86	WR00164		last open gate	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-0f8afc3671c8	WR00165		diamond breakland	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-2335276a7dca	WR00166		black-heart ridge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-bbe9467a75ae	WR00167		ash river	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-448a6f14eb71	WR00168		morrow market	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-bea58518624c	WR00169		root vale	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-815e5ab6468e	WR00170		ripper tunnel	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-e2e9b9242b73	WR00171		cello field	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-9c49e9676b86	WR00172		blue-light road	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-f342888f8bc6	WR00173		xeth glyph yard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-32c5c35b18b9	WR00174		stone fen	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-9d7ab1a92c4a	WR00175		pocket sanctuary	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-06c2b4080317	WR00176		glass orchard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-55c56894e678	WR00177		neith edge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-6c7581a54733	WR00178		willow-stone county	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-d8746f3c4f7e	WR00179		last open gate	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-5f5054736f53	WR00180		diamond breakland	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-987c085a601d	WR00181		black-heart ridge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-0bef74a0113d	WR00182		ash river	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-f65265cf45a5	WR00183		morrow market	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-3a04ca32d297	WR00184		root vale	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-0a6fa551080f	WR00185		ripper tunnel	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-09b595ba68ff	WR00186		cello field	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-8d7d288fe0d5	WR00187		blue-light road	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-c46edd3c9598	WR00188		xeth glyph yard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-57620dce32c2	WR00189		stone fen	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-45c2104e2a9a	WR00190		pocket sanctuary	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-cee15ebfd440	WR00191		glass orchard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-22bf377ca662	WR00192		neith edge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-f3b930f7a5c1	WR00193		willow-stone county	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-fe5b24a525a7	WR00194		last open gate	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-ecfeec73c55a	WR00195		diamond breakland	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-c02417fca159	WR00196		black-heart ridge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-7b27e6b3a6bb	WR00197		ash river	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-9463235efd6c	WR00198		morrow market	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-b7dfe3ed7cee	WR00199		root vale	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-1a1382d642fc	WR00200		ripper tunnel	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-bb139494b104	WR00201		cello field	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-1031ee5e1a76	WR00202		blue-light road	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-80a74670f957	WR00203		xeth glyph yard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-0527f6d2b3e6	WR00204		stone fen	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-1f8001151a5a	WR00205		pocket sanctuary	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-be0c71e4de1b	WR00206		glass orchard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-d9192848e2f5	WR00207		neith edge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-a533b6c9ee38	WR00208		willow-stone county	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-c84c9c0f9e75	WR00209		last open gate	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-97cae4dd79ac	WR00210		diamond breakland	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-4f86187caea0	WR00211		black-heart ridge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-3025d3cb18e7	WR00212		ash river	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-2484f4eb2cfa	WR00213		morrow market	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-bb9718566a9d	WR00214		root vale	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-2b181f517a3b	WR00215		ripper tunnel	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-4ec3632ebf7a	WR00216		cello field	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-4113c2dfd9dc	WR00217		blue-light road	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-cfd8c520b318	WR00218		xeth glyph yard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-4cb73c7e477c	WR00219		stone fen	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-4118693d685c	WR00220		pocket sanctuary	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-7525bbee7fab	WR00221		glass orchard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-97f9c580f0dd	WR00222		neith edge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-5e0c7b6c1255	WR00223		willow-stone county	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-984bf5634d33	WR00224		last open gate	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-1fd60312ab26	WR00225		diamond breakland	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-a86ff8c0bdd0	WR00226		black-heart ridge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-d72665eae49a	WR00227		ash river	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-c6cf6561fd3f	WR00228		morrow market	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-b93b219e6b7b	WR00229		root vale	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-349b440b6922	WR00230		ripper tunnel	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-2df6d479a046	WR00231		cello field	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-3587317888ac	WR00232		blue-light road	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-b0f450dd8ad6	WR00233		xeth glyph yard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-2275c9cc4c10	WR00234		stone fen	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-b01a1999495b	WR00235		pocket sanctuary	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-ef45d5bce7bb	WR00236		glass orchard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-d29aaf19117d	WR00237		neith edge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-7d6ca0fea132	WR00238		willow-stone county	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-9aa579aaa30a	WR00239		last open gate	ecology_pressure_mode|creature_refs	available_for_scene_linkage
