book_num	book_title	desert_cell_id	population_function	character_anchor	wildlife_anchor	source_inspiration	pressure	route_or_place	memorable_event	use_individually
2	The Diary and the Blue Light	WD02_00012	water witness	Rylos Vayne Johnson / Boojay	Aeranoramararia969	Freddy Krueger	night-cold campfire truth scene	ash dune market	night-cold campfire truth scene at ash dune market forces water witness to matter	yes
3	The First Thread	WD03_00013	wildlife handler	Rylos Vayne Johnson / Boojay	Aeranoramarbelliven3520	Nemesis	predator shadow with no visible body	bone orchard edge	predator shadow with no visible body at bone orchard edge forces wildlife handler to matter	yes
3	The First Thread	WD03_00014	lost-child finder	canonical_id	Aeranoramarbrinael181	Bad Santa	desert market debt ritual	dry river underpass	desert market debt ritual at dry river underpass forces lost-child finder to matter	yes
3	The First Thread	WD03_00015	route judge	P.A.P.I. reveal — Xethrolund's physical form described through diary	Aeranoramarbrinaen742	Elle Woods	dry well that still sings underground	ash dune market	dry well that still sings underground at ash dune market forces route judge to matter	yes
3	The First Thread	WD03_00016	border singer	role	Aeranoramarbrinarel4922	Roseanne	ashstorm shelter negotiation	heat-hum shrine	ashstorm shelter negotiation at heat-hum shrine forces border singer to matter	yes
3	The First Thread	WD03_00017	guide	source_stack	Aeranoramarbrinarel567	Zohan	night-cold campfire truth scene	night well camp	night-cold campfire truth scene at night well camp forces guide to matter	yes
3	The First Thread	WD03_00018	wildlife handler	first_appears	Aeranoramarbrinaria1238	Chip and Dale	oasis mirage that is partly real	red sand switchback	oasis mirage that is partly real at red sand switchback forces wildlife handler to matter	yes
4	Crocodile Smile	WD04_00019	desert healer	Majiskii	Aeranoramardion4422	Kimmy Gibbler	desert market debt ritual	heat-hum shrine	desert market debt ritual at heat-hum shrine forces desert healer to matter	yes
4	Crocodile Smile	WD04_00020	storm listener	Rylos Vayne Johnson / Boojay	Aeranoramardion4451	Giles	dry well that still sings underground	night well camp	dry well that still sings underground at night well camp forces storm listener to matter	yes
4	Crocodile Smile	WD04_00021	camp cook	canonical_id	Aeranoramardion4752	Remus Lupin	ashstorm shelter negotiation	red sand switchback	ashstorm shelter negotiation at red sand switchback forces camp cook to matter	yes
4	Crocodile Smile	WD04_00022	trader	Boojay as full physical presence	Aeranoramardria306	Terry Pratchett Librarian	night-cold campfire truth scene	buried gate trail	night-cold campfire truth scene at buried gate trail forces trader to matter	yes
4	Crocodile Smile	WD04_00023	water witness	Boojay	Aeranoramardria4364	Stitch	oasis mirage that is partly real	salt-glass road	oasis mirage that is partly real at salt-glass road forces water witness to matter	yes
4	Crocodile Smile	WD04_00024	desert healer	role	Aeranoramarel1312	Tasslehoff Burrfoot	bone orchard boundary custom	bone orchard edge	bone orchard boundary custom at bone orchard edge forces desert healer to matter	yes
5	Runes and Wound	WD05_00025	lost-child finder	Xethrolund	Aeranoramarglassiel3558	Asta	dry well that still sings underground	buried gate trail	dry well that still sings underground at buried gate trail forces lost-child finder to matter	yes
5	Runes and Wound	WD05_00026	route judge	canonical_id	Aeranoramargroveael3151	Yuno	ashstorm shelter negotiation	salt-glass road	ashstorm shelter negotiation at salt-glass road forces route judge to matter	yes
5	Runes and Wound	WD05_00027	border singer	role	Aeranoramargroveel2813	Gray Fullbuster	night-cold campfire truth scene	bone orchard edge	night-cold campfire truth scene at bone orchard edge forces border singer to matter	yes
5	Runes and Wound	WD05_00028	guide	source_stack	Aeranoramargroveen2485	High King Lucy Heartfilia	oasis mirage that is partly real	dry river underpass	oasis mirage that is partly real at dry river underpass forces guide to matter	yes
5	Runes and Wound	WD05_00029	wildlife handler	Glass Forge / Glass Palace	Aeranoramargroveiel2151	Drizzt Do'Urden	bone orchard boundary custom	ash dune market	bone orchard boundary custom at ash dune market forces wildlife handler to matter	yes
5	Runes and Wound	WD05_00030	lost-child finder	Daisy May	Aeranoramargroveion3983	Gromph Baenre	heat shimmer memory distortion	heat-hum shrine	heat shimmer memory distortion at heat-hum shrine forces lost-child finder to matter	yes
6	The Refusal and the Wound	WD06_00031	storm listener	canonical_id	Aeranoramarkelanen3808	Menolly	ashstorm shelter negotiation	dry river underpass	ashstorm shelter negotiation at dry river underpass forces storm listener to matter	yes
6	The Refusal and the Wound	WD06_00032	camp cook	role	Aeranoramarkelanen3881	F'nor	night-cold campfire truth scene	ash dune market	night-cold campfire truth scene at ash dune market forces camp cook to matter	yes
6	The Refusal and the Wound	WD06_00033	trader	source_stack	Aeranoramarkelaniel494	Erza Scarlet	oasis mirage that is partly real	heat-hum shrine	oasis mirage that is partly real at heat-hum shrine forces trader to matter	yes
6	The Refusal and the Wound	WD06_00034	water witness	first_appears	Aeranoramarkelanion1718	Jason Stackhouse	bone orchard boundary custom	night well camp	bone orchard boundary custom at night well camp forces water witness to matter	yes
6	The Refusal and the Wound	WD06_00035	desert healer	Pip	Aeranoramarlarkael4283	Charmy	heat shimmer memory distortion	red sand switchback	heat shimmer memory distortion at red sand switchback forces desert healer to matter	yes
6	The Refusal and the Wound	WD06_00036	storm listener	Solvaenkyr	Aeranoramarlarkaen2964	Natsu Dragneel	salt road caravan etiquette	buried gate trail	salt road caravan etiquette at buried gate trail forces storm listener to matter	yes
7	The Rift Widens	WD07_00037	route judge	role	Aeranoramarmossion3758	Ares	night-cold campfire truth scene	night well camp	night-cold campfire truth scene at night well camp forces route judge to matter	yes
7	The Rift Widens	WD07_00038	border singer	source_stack	Aeranoramarmossiven1430	Professor McGonagall	oasis mirage that is partly real	red sand switchback	oasis mirage that is partly real at red sand switchback forces border singer to matter	yes
7	The Rift Widens	WD07_00039	guide	first_appears	Aeranoramarquartzen1502	Freddy Krueger	bone orchard boundary custom	buried gate trail	bone orchard boundary custom at buried gate trail forces guide to matter	yes
7	The Rift Widens	WD07_00040	wildlife handler	Daisy May	Aeranoramarriveren1992	Jason Voorhees	heat shimmer memory distortion	salt-glass road	heat shimmer memory distortion at salt-glass road forces wildlife handler to matter	yes
7	The Rift Widens	WD07_00041	lost-child finder	Mack	Aeranoramarriveriel4311	Nemesis	salt road caravan etiquette	bone orchard edge	salt road caravan etiquette at bone orchard edge forces lost-child finder to matter	yes
7	The Rift Widens	WD07_00042	route judge	Pip	Aeranoramarriverion3826	Bad Santa	buried glass river crossing	dry river underpass	buried glass river crossing at dry river underpass forces route judge to matter	yes
8	The Trap Tightens	WD08_00043	camp cook	source_stack	Aeranoravel3440	Roseanne	oasis mirage that is partly real	salt-glass road	oasis mirage that is partly real at salt-glass road forces camp cook to matter	yes
8	The Trap Tightens	WD08_00044	trader	first_appears	Aeranoravel3567	Zohan	bone orchard boundary custom	bone orchard edge	bone orchard boundary custom at bone orchard edge forces trader to matter	yes
8	The Trap Tightens	WD08_00045	water witness	Daisy May	Aeranoravel3626	Chip and Dale	heat shimmer memory distortion	dry river underpass	heat shimmer memory distortion at dry river underpass forces water witness to matter	yes
8	The Trap Tightens	WD08_00046	desert healer	Pip	Aeranoravel3643	Kelso and Hyde	salt road caravan etiquette	ash dune market	salt road caravan etiquette at ash dune market forces desert healer to matter	yes
8	The Trap Tightens	WD08_00047	storm listener	Wrenath	Aeranoravel3733	Kimmy Gibbler	buried glass river crossing	heat-hum shrine	buried glass river crossing at heat-hum shrine forces storm listener to matter	yes
8	The Trap Tightens	WD08_00048	camp cook	Majiskii	Aeranoravel3767	Giles	predator shadow with no visible body	night well camp	predator shadow with no visible body at night well camp forces camp cook to matter	yes
9	The Diamond Breaks	WD09_00049	border singer	Cockatrice	Aeranorbrookarel1578	Terry Pratchett Librarian	bone orchard boundary custom	ash dune market	bone orchard boundary custom at ash dune market forces border singer to matter	yes
9	The Diamond Breaks	WD09_00050	guide	Daisy May	Aeranorbrookavel3158	Stitch	heat shimmer memory distortion	heat-hum shrine	heat shimmer memory distortion at heat-hum shrine forces guide to matter	yes
9	The Diamond Breaks	WD09_00051	wildlife handler	Pip	Aeranorbrookdion1646	Tasslehoff Burrfoot	salt road caravan etiquette	night well camp	salt road caravan etiquette at night well camp forces wildlife handler to matter	yes
9	The Diamond Breaks	WD09_00052	lost-child finder	Boojay	Aeranorbrookdion4414	Barefoot	buried glass river crossing	red sand switchback	buried glass river crossing at red sand switchback forces lost-child finder to matter	yes
9	The Diamond Breaks	WD09_00053	route judge	Solvaenkyr	Aeranorbrookdria3089	Asta	predator shadow with no visible body	buried gate trail	predator shadow with no visible body at buried gate trail forces route judge to matter	yes
9	The Diamond Breaks	WD09_00054	border singer	Glint	Aeranorbrookel1402	Yuno	desert market debt ritual	salt-glass road	desert market debt ritual at salt-glass road forces border singer to matter	yes
10	Mack Falls	WD10_00055	trader	Mack	Aeranorcinderen3051	High King Lucy Heartfilia	heat shimmer memory distortion	red sand switchback	heat shimmer memory distortion at red sand switchback forces trader to matter	yes
10	Mack Falls	WD10_00056	water witness	Boojay	Aeranorcinderiel1100	Drizzt Do'Urden	salt road caravan etiquette	buried gate trail	salt road caravan etiquette at buried gate trail forces water witness to matter	yes
10	Mack Falls	WD10_00057	desert healer	Pip	Aeranorcinderion3967	Gromph Baenre	buried glass river crossing	salt-glass road	buried glass river crossing at salt-glass road forces desert healer to matter	yes
10	Mack Falls	WD10_00058	storm listener	Xethrolund	Aeranorcinderiven1431	Hermione Granger	predator shadow with no visible body	bone orchard edge	predator shadow with no visible body at bone orchard edge forces storm listener to matter	yes
10	Mack Falls	WD10_00059	camp cook	canonical_id	Aeranorcoriaael937	Menolly	desert market debt ritual	dry river underpass	desert market debt ritual at dry river underpass forces camp cook to matter	yes
10	Mack Falls	WD10_00060	trader	Cockatrice	Aeranorcoriaaelael241	F'nor	dry well that still sings underground	ash dune market	dry well that still sings underground at ash dune market forces trader to matter	yes
11	The Portal Opens	WD11_00061	guide	Xethrolund	Aeranorcoriaashion1883	Jason Stackhouse	salt road caravan etiquette	bone orchard edge	salt road caravan etiquette at bone orchard edge forces guide to matter	yes
11	The Portal Opens	WD11_00062	wildlife handler	Boojay	Aeranorcoriaashiven2156	Charmy	buried glass river crossing	dry river underpass	buried glass river crossing at dry river underpass forces wildlife handler to matter	yes
11	The Portal Opens	WD11_00063	lost-child finder	Mack	Aeranorcoriaavel803	Natsu Dragneel	predator shadow with no visible body	ash dune market	predator shadow with no visible body at ash dune market forces lost-child finder to matter	yes
11	The Portal Opens	WD11_00064	route judge	canonical_id	Aeranorcoriabellael4913	Noelle Silva	desert market debt ritual	heat-hum shrine	desert market debt ritual at heat-hum shrine forces route judge to matter	yes
11	The Portal Opens	WD11_00065	border singer	role	Aeranorcoriabellaen2842	Ares	dry well that still sings underground	night well camp	dry well that still sings underground at night well camp forces border singer to matter	yes
11	The Portal Opens	WD11_00066	guide	source_stack	Aeranorcoriabellen2623	Professor McGonagall	ashstorm shelter negotiation	red sand switchback	ashstorm shelter negotiation at red sand switchback forces guide to matter	yes
12	Stasis	WD12_00067	water witness	Mack	Aeranorcoriaelle462	Jason Voorhees	buried glass river crossing	heat-hum shrine	buried glass river crossing at heat-hum shrine forces water witness to matter	yes
12	Stasis	WD12_00068	desert healer	Majiskii	Aeranorcoriaelle4676	Nemesis	predator shadow with no visible body	night well camp	predator shadow with no visible body at night well camp forces desert healer to matter	yes
12	Stasis	WD12_00069	storm listener	Xethrolund	Aeranorcoriaelle4903	Bad Santa	desert market debt ritual	red sand switchback	desert market debt ritual at red sand switchback forces storm listener to matter	yes
12	Stasis	WD12_00070	camp cook	canonical_id	Aeranorcoriaemberen73	Elle Woods	dry well that still sings underground	buried gate trail	dry well that still sings underground at buried gate trail forces camp cook to matter	yes
12	Stasis	WD12_00071	trader	role	Aeranorcoriaen525	Roseanne	ashstorm shelter negotiation	salt-glass road	ashstorm shelter negotiation at salt-glass road forces trader to matter	yes
12	Stasis	WD12_00072	water witness	source_stack	Aeranorcoriaendarel2738	Zohan	night-cold campfire truth scene	bone orchard edge	night-cold campfire truth scene at bone orchard edge forces water witness to matter	yes
13	The Afterwake	WD13_00073	wildlife handler	Feritha	Aeranorcoriaivydria80	Kelso and Hyde	predator shadow with no visible body	buried gate trail	predator shadow with no visible body at buried gate trail forces wildlife handler to matter	yes
13	The Afterwake	WD13_00074	lost-child finder	Oswyn	Aeranorcoriaivyel4298	Kimmy Gibbler	desert market debt ritual	salt-glass road	desert market debt ritual at salt-glass road forces lost-child finder to matter	yes
13	The Afterwake	WD13_00075	route judge	Pethran	Aeranorcoriaivyelle2931	Giles	dry well that still sings underground	bone orchard edge	dry well that still sings underground at bone orchard edge forces route judge to matter	yes
13	The Afterwake	WD13_00076	border singer	Calla	Aeranorcoriaivyiel2414	Remus Lupin	ashstorm shelter negotiation	dry river underpass	ashstorm shelter negotiation at dry river underpass forces border singer to matter	yes
13	The Afterwake	WD13_00077	guide	Sorra	Aeranorcoriaivyion4643	Terry Pratchett Librarian	night-cold campfire truth scene	ash dune market	night-cold campfire truth scene at ash dune market forces guide to matter	yes
13	The Afterwake	WD13_00078	wildlife handler	Daisy May	Aeranorcoriakelanel2633	Stitch	oasis mirage that is partly real	heat-hum shrine	oasis mirage that is partly real at heat-hum shrine forces wildlife handler to matter	yes
14	The Long Reorientation	WD14_00079	desert healer	Reval	Aeranordion278	Barefoot	desert market debt ritual	dry river underpass	desert market debt ritual at dry river underpass forces desert healer to matter	yes
14	The Long Reorientation	WD14_00080	storm listener	Selwyn	Aeranordria127	Asta	dry well that still sings underground	ash dune market	dry well that still sings underground at ash dune market forces storm listener to matter	yes
14	The Long Reorientation	WD14_00081	camp cook	Daevyn	Aeranorelle83	Yuno	ashstorm shelter negotiation	heat-hum shrine	ashstorm shelter negotiation at heat-hum shrine forces camp cook to matter	yes
14	The Long Reorientation	WD14_00082	trader	Elven	Aeranoremberael3129	Gray Fullbuster	night-cold campfire truth scene	night well camp	night-cold campfire truth scene at night well camp forces trader to matter	yes
14	The Long Reorientation	WD14_00083	water witness	Ithren	Aeranoremberaen2716	High King Lucy Heartfilia	oasis mirage that is partly real	red sand switchback	oasis mirage that is partly real at red sand switchback forces water witness to matter	yes
14	The Long Reorientation	WD14_00084	desert healer	Kyrel	Aeranoremberarel2463	Drizzt Do'Urden	bone orchard boundary custom	buried gate trail	bone orchard boundary custom at buried gate trail forces desert healer to matter	yes
15	Suffocating in Silence	WD15_00085	lost-child finder	Majiskii	Aeranorevaraaeliel4413	Hermione Granger	dry well that still sings underground	night well camp	dry well that still sings underground at night well camp forces lost-child finder to matter	yes
15	Suffocating in Silence	WD15_00086	route judge	Rylos Vayne Johnson / Boojay	Aeranorevaraaelion2581	Menolly	ashstorm shelter negotiation	red sand switchback	ashstorm shelter negotiation at red sand switchback forces route judge to matter	yes
15	Suffocating in Silence	WD15_00087	border singer	canonical_id	Aeranorevaraaeliven26	F'nor	night-cold campfire truth scene	buried gate trail	night-cold campfire truth scene at buried gate trail forces border singer to matter	yes
15	Suffocating in Silence	WD15_00088	guide	Drawn entities	Aeranorevaraaen2093	Erza Scarlet	oasis mirage that is partly real	salt-glass road	oasis mirage that is partly real at salt-glass road forces guide to matter	yes
15	Suffocating in Silence	WD15_00089	wildlife handler	Wrenath	Aeranorevaraarel3753	Jason Stackhouse	bone orchard boundary custom	bone orchard edge	bone orchard boundary custom at bone orchard edge forces wildlife handler to matter	yes
15	Suffocating in Silence	WD15_00090	lost-child finder	Rolzen	Aeranorevaraarel903	Charmy	heat shimmer memory distortion	dry river underpass	heat shimmer memory distortion at dry river underpass forces lost-child finder to matter	yes
16	The Deepening World	WD16_00091	storm listener	canonical_id	Aeranorevaracrownen784	Noelle Silva	ashstorm shelter negotiation	salt-glass road	ashstorm shelter negotiation at salt-glass road forces storm listener to matter	yes
16	The Deepening World	WD16_00092	camp cook	Oswyn	Aeranorevaradion325	Ares	night-cold campfire truth scene	bone orchard edge	night-cold campfire truth scene at bone orchard edge forces camp cook to matter	yes
16	The Deepening World	WD16_00093	trader	Corveth	Aeranorevaradion3274	Professor McGonagall	oasis mirage that is partly real	dry river underpass	oasis mirage that is partly real at dry river underpass forces trader to matter	yes
16	The Deepening World	WD16_00094	water witness	Sorra	Aeranorevaradion3575	Freddy Krueger	bone orchard boundary custom	ash dune market	bone orchard boundary custom at ash dune market forces water witness to matter	yes
16	The Deepening World	WD16_00095	desert healer	Pip	Aeranorevaradion3958	Jason Voorhees	heat shimmer memory distortion	heat-hum shrine	heat shimmer memory distortion at heat-hum shrine forces desert healer to matter	yes
16	The Deepening World	WD16_00096	storm listener	Rolzen	Aeranorevaradion4738	Nemesis	salt road caravan etiquette	night well camp	salt road caravan etiquette at night well camp forces storm listener to matter	yes
17	Black Heart Scar	WD17_00097	route judge	source_stack	Aeranorevaraglassen4564	Elle Woods	night-cold campfire truth scene	ash dune market	night-cold campfire truth scene at ash dune market forces route judge to matter	yes
17	Black Heart Scar	WD17_00098	border singer	first_appears	Aeranorevaragroveen2132	Roseanne	oasis mirage that is partly real	heat-hum shrine	oasis mirage that is partly real at heat-hum shrine forces border singer to matter	yes
17	Black Heart Scar	WD17_00099	guide	book_25	Aeranorevarahaloren2983	Zohan	bone orchard boundary custom	night well camp	bone orchard boundary custom at night well camp forces guide to matter	yes
17	Black Heart Scar	WD17_00100	wildlife handler	Pip	Aeranorevarahaloren416	Chip and Dale	heat shimmer memory distortion	red sand switchback	heat shimmer memory distortion at red sand switchback forces wildlife handler to matter	yes
17	Black Heart Scar	WD17_00101	lost-child finder	Rolzen	Aeranorevaraiel267	Kelso and Hyde	salt road caravan etiquette	buried gate trail	salt road caravan etiquette at buried gate trail forces lost-child finder to matter	yes
17	Black Heart Scar	WD17_00102	route judge	Xethrolund	Aeranorevaraiel3792	Kimmy Gibbler	buried glass river crossing	salt-glass road	buried glass river crossing at salt-glass road forces route judge to matter	yes
18	Strange Gravity	WD18_00103	camp cook	book_25	Aeranorfenarel2553	Remus Lupin	oasis mirage that is partly real	red sand switchback	oasis mirage that is partly real at red sand switchback forces camp cook to matter	yes
18	Strange Gravity	WD18_00104	trader	DAISY MAY	Aeranorfendion2495	Terry Pratchett Librarian	bone orchard boundary custom	buried gate trail	bone orchard boundary custom at buried gate trail forces trader to matter	yes
18	Strange Gravity	WD18_00105	water witness	Pip	Aeranorfendria1896	Stitch	heat shimmer memory distortion	salt-glass road	heat shimmer memory distortion at salt-glass road forces water witness to matter	yes
18	Strange Gravity	WD18_00106	desert healer	Xethrolund	Aeranorfenelle2372	Tasslehoff Burrfoot	salt road caravan etiquette	bone orchard edge	salt road caravan etiquette at bone orchard edge forces desert healer to matter	yes
18	Strange Gravity	WD18_00107	storm listener	Rolzen	Aeranorfenen4889	Barefoot	buried glass river crossing	dry river underpass	buried glass river crossing at dry river underpass forces storm listener to matter	yes
18	Strange Gravity	WD18_00108	camp cook	Rylos Vayne Johnson / Boojay	Aeranorfeniel902	Asta	predator shadow with no visible body	ash dune market	predator shadow with no visible body at ash dune market forces camp cook to matter	yes
19	The Cracking Core	WD19_00109	border singer	role	Aeranorglassiel4390	Gray Fullbuster	bone orchard boundary custom	bone orchard edge	bone orchard boundary custom at bone orchard edge forces border singer to matter	yes
19	The Cracking Core	WD19_00110	guide	Mack	Aeranorglassiel670	High King Lucy Heartfilia	heat shimmer memory distortion	dry river underpass	heat shimmer memory distortion at dry river underpass forces guide to matter	yes
19	The Cracking Core	WD19_00111	wildlife handler	Neith	Aeranorglassion547	Drizzt Do'Urden	salt road caravan etiquette	ash dune market	salt road caravan etiquette at ash dune market forces wildlife handler to matter	yes
19	The Cracking Core	WD19_00112	lost-child finder	Pip	Aeranorglassiven2010	Gromph Baenre	buried glass river crossing	heat-hum shrine	buried glass river crossing at heat-hum shrine forces lost-child finder to matter	yes
19	The Cracking Core	WD19_00113	route judge	Rolzen	Aeranorgroveaen196	Hermione Granger	predator shadow with no visible body	night well camp	predator shadow with no visible body at night well camp forces route judge to matter	yes
19	The Cracking Core	WD19_00114	border singer	Daisy May	Aeranorgrovearel1056	Menolly	desert market debt ritual	red sand switchback	desert market debt ritual at red sand switchback forces border singer to matter	yes
20	The Beforemath	WD20_00115	trader	canonical_id	Aeranorianaelarel853	Erza Scarlet	heat shimmer memory distortion	heat-hum shrine	heat shimmer memory distortion at heat-hum shrine forces trader to matter	yes
20	The Beforemath	WD20_00116	water witness	All core cast. Secondary cast reaching completion points	Aeranorianaelaria3893	Jason Stackhouse	salt road caravan etiquette	night well camp	salt road caravan etiquette at night well camp forces water witness to matter	yes
20	The Beforemath	WD20_00117	desert healer	Neith	Aeranorianaelavel2319	Charmy	buried glass river crossing	red sand switchback	buried glass river crossing at red sand switchback forces desert healer to matter	yes
20	The Beforemath	WD20_00118	storm listener	Pip	Aeranorianaelbellel3650	Natsu Dragneel	predator shadow with no visible body	buried gate trail	predator shadow with no visible body at buried gate trail forces storm listener to matter	yes
20	The Beforemath	WD20_00119	camp cook	Rolzen	Aeranorianaeldion666	Noelle Silva	desert market debt ritual	salt-glass road	desert market debt ritual at salt-glass road forces camp cook to matter	yes
20	The Beforemath	WD20_00120	trader	Xethrolund	Aeranorianaeldria3400	Ares	dry well that still sings underground	bone orchard edge	dry well that still sings underground at bone orchard edge forces trader to matter	yes
21	The Final Descent	WD21_00121	guide	canonical_id	Aeranorianashen1886	Freddy Krueger	salt road caravan etiquette	buried gate trail	salt road caravan etiquette at buried gate trail forces guide to matter	yes
21	The Final Descent	WD21_00122	wildlife handler	Mack	Aeranorianashiven2690	Jason Voorhees	buried glass river crossing	salt-glass road	buried glass river crossing at salt-glass road forces wildlife handler to matter	yes
21	The Final Descent	WD21_00123	lost-child finder	Pip	Aeranorianavel98	Nemesis	predator shadow with no visible body	bone orchard edge	predator shadow with no visible body at bone orchard edge forces lost-child finder to matter	yes
21	The Final Descent	WD21_00124	route judge	Ursula	Aeranorianbellarel1285	Bad Santa	desert market debt ritual	dry river underpass	desert market debt ritual at dry river underpass forces route judge to matter	yes
21	The Final Descent	WD21_00125	border singer	role	Aeranorianbellavel3292	Elle Woods	dry well that still sings underground	ash dune market	dry well that still sings underground at ash dune market forces border singer to matter	yes
21	The Final Descent	WD21_00126	guide	source_stack	Aeranorianbelldion2661	Roseanne	ashstorm shelter negotiation	heat-hum shrine	ashstorm shelter negotiation at heat-hum shrine forces guide to matter	yes
22	The Last Open Gate	WD22_00127	water witness	role	Aeranorianbrinion2993	Chip and Dale	buried glass river crossing	dry river underpass	buried glass river crossing at dry river underpass forces water witness to matter	yes
22	The Last Open Gate	WD22_00128	desert healer	source_stack	Aeranorianbriniven4481	Kelso and Hyde	predator shadow with no visible body	ash dune market	predator shadow with no visible body at ash dune market forces desert healer to matter	yes
22	The Last Open Gate	WD22_00129	storm listener	first_appears	Aeranorianbriniven700	Kimmy Gibbler	desert market debt ritual	heat-hum shrine	desert market debt ritual at heat-hum shrine forces storm listener to matter	yes
22	The Last Open Gate	WD22_00130	camp cook	Renath	Aeranorianbrinivyel2945	Giles	dry well that still sings underground	night well camp	dry well that still sings underground at night well camp forces camp cook to matter	yes
22	The Last Open Gate	WD22_00131	trader	book_25	Aeranorianbrookarel1795	Remus Lupin	ashstorm shelter negotiation	red sand switchback	ashstorm shelter negotiation at red sand switchback forces trader to matter	yes
22	The Last Open Gate	WD22_00132	water witness	DAISY MAY	Aeranorianbrookarel3387	Terry Pratchett Librarian	night-cold campfire truth scene	buried gate trail	night-cold campfire truth scene at buried gate trail forces water witness to matter	yes
23	The Final Resonance	WD23_00133	wildlife handler	Pip	Aeranoriancrowniel4079	Tasslehoff Burrfoot	predator shadow with no visible body	night well camp	predator shadow with no visible body at night well camp forces wildlife handler to matter	yes
23	The Final Resonance	WD23_00134	lost-child finder	Xethrolund	Aeranoriancrowniven1003	Barefoot	desert market debt ritual	red sand switchback	desert market debt ritual at red sand switchback forces lost-child finder to matter	yes
23	The Final Resonance	WD23_00135	route judge	role	Aeranoriandion208	Asta	dry well that still sings underground	buried gate trail	dry well that still sings underground at buried gate trail forces route judge to matter	yes
23	The Final Resonance	WD23_00136	border singer	source_stack	Aeranoriandion4180	Yuno	ashstorm shelter negotiation	salt-glass road	ashstorm shelter negotiation at salt-glass road forces border singer to matter	yes
23	The Final Resonance	WD23_00137	guide	first_appears	Aeranoriandion4832	Gray Fullbuster	night-cold campfire truth scene	bone orchard edge	night-cold campfire truth scene at bone orchard edge forces guide to matter	yes
23	The Final Resonance	WD23_00138	wildlife handler	book_25	Aeranoriandria4548	High King Lucy Heartfilia	oasis mirage that is partly real	dry river underpass	oasis mirage that is partly real at dry river underpass forces wildlife handler to matter	yes
24	Born To Die	WD24_00139	desert healer	Daisy May	Aeranorianendararia4973	Gromph Baenre	desert market debt ritual	salt-glass road	desert market debt ritual at salt-glass road forces desert healer to matter	yes
24	Born To Die	WD24_00140	storm listener	Dervish	Aeranorianendaravel97	Hermione Granger	dry well that still sings underground	bone orchard edge	dry well that still sings underground at bone orchard edge forces storm listener to matter	yes
24	Born To Die	WD24_00141	camp cook	Mack	Aeranorianendardion1649	Menolly	ashstorm shelter negotiation	dry river underpass	ashstorm shelter negotiation at dry river underpass forces camp cook to matter	yes
24	Born To Die	WD24_00142	trader	Majiskii	Aeranorianendardria1033	F'nor	night-cold campfire truth scene	ash dune market	night-cold campfire truth scene at ash dune market forces trader to matter	yes
24	Born To Die	WD24_00143	water witness	Ursula	Aeranorianendardria4046	Erza Scarlet	oasis mirage that is partly real	heat-hum shrine	oasis mirage that is partly real at heat-hum shrine forces water witness to matter	yes
24	Born To Die	WD24_00144	desert healer	Rylos Vayne Johnson / Boojay	Aeranorianendarel3248	Jason Stackhouse	bone orchard boundary custom	night well camp	bone orchard boundary custom at night well camp forces desert healer to matter	yes
