schedule_serial	character_id	character_name	book_num	character_group_id	group_basis	timeline_phase	assigned_scene_id	event_beat_id	relationship_layer	capacity_mode	target_policy
CTS-306a589d7d79	WC01552	Aerfiraorchardiel1552	B01	CG-1e5f645c5cfc	book|tier|role|region	relationship_consequence	B01_C011	EB-RW-00011	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-c9d8ee02ce85	WC01552	Aerfiraorchardiel1552	B01	CG-1e5f645c5cfc	book|tier|role|region	return_or_resolution	B01_C012	EB-RW-00012	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-3aab1b6cb166	WC02212	Aerfiralarkelle2212	B01	CG-1e5f645c5cfc	book|tier|role|region	introduction	B01_C013	EB-RW-00013	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-4c640e4d1ac8	WC02212	Aerfiralarkelle2212	B01	CG-1e5f645c5cfc	book|tier|role|region	development	B01_C014	EB-RW-00014	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-43cb314afdfd	WC02212	Aerfiralarkelle2212	B01	CG-1e5f645c5cfc	book|tier|role|region	relationship_consequence	B01_C015	EB-RW-00015	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-0fa67f9ef217	WC02212	Aerfiralarkelle2212	B01	CG-1e5f645c5cfc	book|tier|role|region	return_or_resolution	B01_C016	EB-RW-00016	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-57bc0de9efab	WC02872	Aerindrabelldion2872	B01	CG-1e5f645c5cfc	book|tier|role|region	introduction	B01_C017	EB-RW-00017	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-9cfe9c543509	WC02872	Aerindrabelldion2872	B01	CG-1e5f645c5cfc	book|tier|role|region	development	B01_C018	EB-RW-00018	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-9e5edd9d0951	WC02872	Aerindrabelldion2872	B01	CG-1e5f645c5cfc	book|tier|role|region	relationship_consequence	B01_C019	EB-RW-00019	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-e70451496d82	WC02872	Aerindrabelldion2872	B01	CG-1e5f645c5cfc	book|tier|role|region	return_or_resolution	B01_C020	EB-RW-00020	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-98e939fa1c92	WC03532	Aeranorcoriabrooken3532	B01	CG-1e5f645c5cfc	book|tier|role|region	introduction	B01_C021	EB-RW-00021	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-2e007a010add	WC03532	Aeranorcoriabrooken3532	B01	CG-1e5f645c5cfc	book|tier|role|region	development	B01_C022	EB-RW-00022	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-99ca50536483	WC03532	Aeranorcoriabrooken3532	B01	CG-1e5f645c5cfc	book|tier|role|region	relationship_consequence	B01_C023	EB-RW-00023	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-4945132d1dab	WC03532	Aeranorcoriabrooken3532	B01	CG-1e5f645c5cfc	book|tier|role|region	return_or_resolution	B01_C024	EB-RW-00024	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-89e35b367d67	WC04192	Aeranoramaremberen4192	B01	CG-1e5f645c5cfc	book|tier|role|region	introduction	B01_C025	EB-RW-00025	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-34cec3fbbe73	WC04192	Aeranoramaremberen4192	B01	CG-1e5f645c5cfc	book|tier|role|region	development	B01_C026	EB-RW-00026	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-d32fef0d77a4	WC04192	Aeranoramaremberen4192	B01	CG-1e5f645c5cfc	book|tier|role|region	relationship_consequence	B01_C027	EB-RW-00027	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-dd777d219b50	WC04192	Aeranoramaremberen4192	B01	CG-1e5f645c5cfc	book|tier|role|region	return_or_resolution	B01_C028	EB-RW-00028	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-5578c913a810	WC04852	Ashaavelfiraaen4852	B01	CG-1e5f645c5cfc	book|tier|role|region	introduction	B01_C029	EB-RW-00029	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-a842d40ebf33	WC04852	Ashaavelfiraaen4852	B01	CG-1e5f645c5cfc	book|tier|role|region	development	B01_C030	EB-RW-00030	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-266881d92cf3	WC04852	Ashaavelfiraaen4852	B01	CG-1e5f645c5cfc	book|tier|role|region	relationship_consequence	B01_C031	EB-RW-00031	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-0c33d6afad22	WC04852	Ashaavelfiraaen4852	B01	CG-1e5f645c5cfc	book|tier|role|region	return_or_resolution	B01_C032	EB-RW-00032	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-16b3252bdd78	WC00166	Aerdalenluthion166	B01	CG-2611a6579b9e	book|tier|role|region	introduction	B01_C001	EB-RW-00001	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-532ced53a8c8	WC00166	Aerdalenluthion166	B01	CG-2611a6579b9e	book|tier|role|region	development	B01_C002	EB-RW-00002	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-cf896e5bf5f6	WC00166	Aerdalenluthion166	B01	CG-2611a6579b9e	book|tier|role|region	relationship_consequence	B01_C003	EB-RW-00003	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-03e1f69902d5	WC00166	Aerdalenluthion166	B01	CG-2611a6579b9e	book|tier|role|region	return_or_resolution	B01_C004	EB-RW-00004	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-c1d0f3942ede	WC00826	Aerfiraamarael826	B01	CG-2611a6579b9e	book|tier|role|region	introduction	B01_C005	EB-RW-00005	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-9788552afbf8	WC00826	Aerfiraamarael826	B01	CG-2611a6579b9e	book|tier|role|region	development	B01_C006	EB-RW-00006	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-753075c7920b	WC00826	Aerfiraamarael826	B01	CG-2611a6579b9e	book|tier|role|region	relationship_consequence	B01_C007	EB-RW-00007	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-17e7d74827ce	WC00826	Aerfiraamarael826	B01	CG-2611a6579b9e	book|tier|role|region	return_or_resolution	B01_C008	EB-RW-00008	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-98111160b692	WC01486	Aerfiraorchardaria1486	B01	CG-2611a6579b9e	book|tier|role|region	introduction	B01_C009	EB-RW-00009	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-97d89f03a82f	WC01486	Aerfiraorchardaria1486	B01	CG-2611a6579b9e	book|tier|role|region	development	B01_C010	EB-RW-00010	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-0bbd372e70db	WC01486	Aerfiraorchardaria1486	B01	CG-2611a6579b9e	book|tier|role|region	relationship_consequence	B01_C011	EB-RW-00011	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-ce4903cfdc8a	WC01486	Aerfiraorchardaria1486	B01	CG-2611a6579b9e	book|tier|role|region	return_or_resolution	B01_C012	EB-RW-00012	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-ec88b1445a8e	WC02146	Ashajoramaelorianel2146	B01	CG-2611a6579b9e	book|tier|role|region	introduction	B01_C013	EB-RW-00013	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-0f120adca9b9	WC02146	Ashajoramaelorianel2146	B01	CG-2611a6579b9e	book|tier|role|region	development	B01_C014	EB-RW-00014	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-7574cf94ad97	WC02146	Ashajoramaelorianel2146	B01	CG-2611a6579b9e	book|tier|role|region	relationship_consequence	B01_C015	EB-RW-00015	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-c3cedf722834	WC02146	Ashajoramaelorianel2146	B01	CG-2611a6579b9e	book|tier|role|region	return_or_resolution	B01_C016	EB-RW-00016	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-f9cb9d0e2665	WC02806	Aeranorcrownion2806	B01	CG-2611a6579b9e	book|tier|role|region	introduction	B01_C017	EB-RW-00017	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-48b44221249d	WC02806	Aeranorcrownion2806	B01	CG-2611a6579b9e	book|tier|role|region	development	B01_C018	EB-RW-00018	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-29a380b580d2	WC02806	Aeranorcrownion2806	B01	CG-2611a6579b9e	book|tier|role|region	relationship_consequence	B01_C019	EB-RW-00019	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-b17880379a03	WC02806	Aeranorcrownion2806	B01	CG-2611a6579b9e	book|tier|role|region	return_or_resolution	B01_C020	EB-RW-00020	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-96e09cd0a30d	WC03466	Aeranorglassaria3466	B01	CG-2611a6579b9e	book|tier|role|region	introduction	B01_C021	EB-RW-00021	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-5928f5c5ec1f	WC03466	Aeranorglassaria3466	B01	CG-2611a6579b9e	book|tier|role|region	development	B01_C022	EB-RW-00022	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-0a56d606ec64	WC03466	Aeranorglassaria3466	B01	CG-2611a6579b9e	book|tier|role|region	relationship_consequence	B01_C023	EB-RW-00023	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-b9290c54f741	WC03466	Aeranorglassaria3466	B01	CG-2611a6579b9e	book|tier|role|region	return_or_resolution	B01_C024	EB-RW-00024	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-ae385727a5d4	WC04126	Aeranoramarion4126	B01	CG-2611a6579b9e	book|tier|role|region	introduction	B01_C025	EB-RW-00025	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-4443552273e3	WC04126	Aeranoramarion4126	B01	CG-2611a6579b9e	book|tier|role|region	development	B01_C026	EB-RW-00026	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-7a4cce2747db	WC04126	Aeranoramarion4126	B01	CG-2611a6579b9e	book|tier|role|region	relationship_consequence	B01_C027	EB-RW-00027	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-a7a4f0ebe4f7	WC04126	Aeranoramarion4126	B01	CG-2611a6579b9e	book|tier|role|region	return_or_resolution	B01_C028	EB-RW-00028	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-52680b72d923	WC04786	Aerdalenbellael4786	B01	CG-2611a6579b9e	book|tier|role|region	introduction	B01_C029	EB-RW-00029	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-bf1fa99b2e4b	WC04786	Aerdalenbellael4786	B01	CG-2611a6579b9e	book|tier|role|region	development	B01_C030	EB-RW-00030	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-ec3d324d2e2f	WC04786	Aerdalenbellael4786	B01	CG-2611a6579b9e	book|tier|role|region	relationship_consequence	B01_C031	EB-RW-00031	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-a1eead28f324	WC04786	Aerdalenbellael4786	B01	CG-2611a6579b9e	book|tier|role|region	return_or_resolution	B01_C032	EB-RW-00032	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-fe5be9ab461a	WC00265	Aerfiraluthel265	B01	CG-2e8ee2d26a8f	book|tier|role|region	introduction	B01_C001	EB-RW-00001	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-411eeba9e5da	WC00265	Aerfiraluthel265	B01	CG-2e8ee2d26a8f	book|tier|role|region	development	B01_C002	EB-RW-00002	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-3bf38783c5c8	WC00265	Aerfiraluthel265	B01	CG-2e8ee2d26a8f	book|tier|role|region	relationship_consequence	B01_C003	EB-RW-00003	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-31e7dbb97480	WC00265	Aerfiraluthel265	B01	CG-2e8ee2d26a8f	book|tier|role|region	return_or_resolution	B01_C004	EB-RW-00004	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-1eff8ed974ba	WC00925	Aerfiraiankelanaen925	B01	CG-2e8ee2d26a8f	book|tier|role|region	introduction	B01_C005	EB-RW-00005	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-2bbbb232db9a	WC00925	Aerfiraiankelanaen925	B01	CG-2e8ee2d26a8f	book|tier|role|region	development	B01_C006	EB-RW-00006	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-7a654b95c4a2	WC00925	Aerfiraiankelanaen925	B01	CG-2e8ee2d26a8f	book|tier|role|region	relationship_consequence	B01_C007	EB-RW-00007	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-d68516a17e6a	WC00925	Aerfiraiankelanaen925	B01	CG-2e8ee2d26a8f	book|tier|role|region	return_or_resolution	B01_C008	EB-RW-00008	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-76011408d1a3	WC01585	Ashajoraiel1585	B01	CG-2e8ee2d26a8f	book|tier|role|region	introduction	B01_C009	EB-RW-00009	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-aac035aefeae	WC01585	Ashajoraiel1585	B01	CG-2e8ee2d26a8f	book|tier|role|region	development	B01_C010	EB-RW-00010	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-16896885e263	WC01585	Ashajoraiel1585	B01	CG-2e8ee2d26a8f	book|tier|role|region	relationship_consequence	B01_C011	EB-RW-00011	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-af7ced9c1984	WC01585	Ashajoraiel1585	B01	CG-2e8ee2d26a8f	book|tier|role|region	return_or_resolution	B01_C012	EB-RW-00012	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-2503a60b0391	WC02245	Aerindraluthashaen2245	B01	CG-2e8ee2d26a8f	book|tier|role|region	introduction	B01_C013	EB-RW-00013	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-a9c8d3c6842a	WC02245	Aerindraluthashaen2245	B01	CG-2e8ee2d26a8f	book|tier|role|region	development	B01_C014	EB-RW-00014	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-13fa54af5d21	WC02245	Aerindraluthashaen2245	B01	CG-2e8ee2d26a8f	book|tier|role|region	relationship_consequence	B01_C015	EB-RW-00015	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-c2ccee7b9cae	WC02245	Aerindraluthashaen2245	B01	CG-2e8ee2d26a8f	book|tier|role|region	return_or_resolution	B01_C016	EB-RW-00016	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-3da87de8cedc	WC02905	Aerdalenarel2905	B01	CG-2e8ee2d26a8f	book|tier|role|region	introduction	B01_C017	EB-RW-00017	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-465891a4a9be	WC02905	Aerdalenarel2905	B01	CG-2e8ee2d26a8f	book|tier|role|region	development	B01_C018	EB-RW-00018	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-7fa09564ea22	WC02905	Aerdalenarel2905	B01	CG-2e8ee2d26a8f	book|tier|role|region	relationship_consequence	B01_C019	EB-RW-00019	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-60a772d08e35	WC02905	Aerdalenarel2905	B01	CG-2e8ee2d26a8f	book|tier|role|region	return_or_resolution	B01_C020	EB-RW-00020	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-c0d35fd10bad	WC03565	Aermaelordria3565	B01	CG-2e8ee2d26a8f	book|tier|role|region	introduction	B01_C021	EB-RW-00021	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-260fc06bd61c	WC03565	Aermaelordria3565	B01	CG-2e8ee2d26a8f	book|tier|role|region	development	B01_C022	EB-RW-00022	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-05e590bf7d7a	WC03565	Aermaelordria3565	B01	CG-2e8ee2d26a8f	book|tier|role|region	relationship_consequence	B01_C023	EB-RW-00023	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-14ab78003014	WC03565	Aermaelordria3565	B01	CG-2e8ee2d26a8f	book|tier|role|region	return_or_resolution	B01_C024	EB-RW-00024	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-f69360f791bc	WC04225	Caelamarbrinavel4225	B01	CG-2e8ee2d26a8f	book|tier|role|region	introduction	B01_C025	EB-RW-00025	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-c4c4c29849db	WC04225	Caelamarbrinavel4225	B01	CG-2e8ee2d26a8f	book|tier|role|region	development	B01_C026	EB-RW-00026	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-49917571b2d9	WC04225	Caelamarbrinavel4225	B01	CG-2e8ee2d26a8f	book|tier|role|region	relationship_consequence	B01_C027	EB-RW-00027	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-ac712aa5cae9	WC04225	Caelamarbrinavel4225	B01	CG-2e8ee2d26a8f	book|tier|role|region	return_or_resolution	B01_C028	EB-RW-00028	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-6c4d8a2fd19a	WC04885	Aerindraamarivyaen4885	B01	CG-2e8ee2d26a8f	book|tier|role|region	introduction	B01_C029	EB-RW-00029	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-bb2e9a10e47c	WC04885	Aerindraamarivyaen4885	B01	CG-2e8ee2d26a8f	book|tier|role|region	development	B01_C030	EB-RW-00030	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-3d5cc2e3ec66	WC04885	Aerindraamarivyaen4885	B01	CG-2e8ee2d26a8f	book|tier|role|region	relationship_consequence	B01_C031	EB-RW-00031	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-f9ed23ec5600	WC04885	Aerindraamarivyaen4885	B01	CG-2e8ee2d26a8f	book|tier|role|region	return_or_resolution	B01_C032	EB-RW-00032	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-29404ae092d3	WC00496	Aeranorglassen496	B01	CG-35d06b571241	book|tier|role|region	introduction	B01_C001	EB-RW-00001	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-e82cb3a587cd	WC00496	Aeranorglassen496	B01	CG-35d06b571241	book|tier|role|region	development	B01_C002	EB-RW-00002	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-4b67a62c661a	WC00496	Aeranorglassen496	B01	CG-35d06b571241	book|tier|role|region	relationship_consequence	B01_C003	EB-RW-00003	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-39fdad7d3c46	WC00496	Aeranorglassen496	B01	CG-35d06b571241	book|tier|role|region	return_or_resolution	B01_C004	EB-RW-00004	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-2e634282566f	WC01156	Ashajoramossael1156	B01	CG-35d06b571241	book|tier|role|region	introduction	B01_C005	EB-RW-00005	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-a51a9adff83b	WC01156	Ashajoramossael1156	B01	CG-35d06b571241	book|tier|role|region	development	B01_C006	EB-RW-00006	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-765eb76c0878	WC01156	Ashajoramossael1156	B01	CG-35d06b571241	book|tier|role|region	relationship_consequence	B01_C007	EB-RW-00007	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-7c634fcd39f1	WC01156	Ashajoramossael1156	B01	CG-35d06b571241	book|tier|role|region	return_or_resolution	B01_C008	EB-RW-00008	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-17d78d7d8213	WC01816	Caelcoriagroveelle1816	B01	CG-35d06b571241	book|tier|role|region	introduction	B01_C009	EB-RW-00009	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-4ed3f88cebae	WC01816	Caelcoriagroveelle1816	B01	CG-35d06b571241	book|tier|role|region	development	B01_C010	EB-RW-00010	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-95dac364a72f	WC01816	Caelcoriagroveelle1816	B01	CG-35d06b571241	book|tier|role|region	relationship_consequence	B01_C011	EB-RW-00011	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-df9d566eb964	WC01816	Caelcoriagroveelle1816	B01	CG-35d06b571241	book|tier|role|region	return_or_resolution	B01_C012	EB-RW-00012	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-35109870cbde	WC02476	Aeranorianmarrowiel2476	B01	CG-35d06b571241	book|tier|role|region	introduction	B01_C013	EB-RW-00013	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-e3d8eb18dc7f	WC02476	Aeranorianmarrowiel2476	B01	CG-35d06b571241	book|tier|role|region	development	B01_C014	EB-RW-00014	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-d266d5f3917b	WC02476	Aeranorianmarrowiel2476	B01	CG-35d06b571241	book|tier|role|region	relationship_consequence	B01_C015	EB-RW-00015	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-e008a985ae75	WC02476	Aeranorianmarrowiel2476	B01	CG-35d06b571241	book|tier|role|region	return_or_resolution	B01_C016	EB-RW-00016	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-0062ce02fb36	WC03136	Ashaavelfiraluthen3136	B01	CG-35d06b571241	book|tier|role|region	introduction	B01_C017	EB-RW-00017	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-c61404597c6f	WC03136	Ashaavelfiraluthen3136	B01	CG-35d06b571241	book|tier|role|region	development	B01_C018	EB-RW-00018	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-5745e79f6ca7	WC03136	Ashaavelfiraluthen3136	B01	CG-35d06b571241	book|tier|role|region	relationship_consequence	B01_C019	EB-RW-00019	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-472aa8e60d65	WC03136	Ashaavelfiraluthen3136	B01	CG-35d06b571241	book|tier|role|region	return_or_resolution	B01_C020	EB-RW-00020	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-9769af7c3b80	WC03796	Aerdalenorchardarel3796	B01	CG-35d06b571241	book|tier|role|region	introduction	B01_C021	EB-RW-00021	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-8dec0e3fb74b	WC03796	Aerdalenorchardarel3796	B01	CG-35d06b571241	book|tier|role|region	development	B01_C022	EB-RW-00022	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-b6da141aa997	WC03796	Aerdalenorchardarel3796	B01	CG-35d06b571241	book|tier|role|region	relationship_consequence	B01_C023	EB-RW-00023	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-cffd3f9f5c15	WC03796	Aerdalenorchardarel3796	B01	CG-35d06b571241	book|tier|role|region	return_or_resolution	B01_C024	EB-RW-00024	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-c37ab0553b64	WC04456	Ashagalenforgeion4456	B01	CG-35d06b571241	book|tier|role|region	introduction	B01_C025	EB-RW-00025	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-cf472f61de00	WC04456	Ashagalenforgeion4456	B01	CG-35d06b571241	book|tier|role|region	development	B01_C026	EB-RW-00026	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-916512603b25	WC04456	Ashagalenforgeion4456	B01	CG-35d06b571241	book|tier|role|region	relationship_consequence	B01_C027	EB-RW-00027	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-86da65a6a9ce	WC04456	Ashagalenforgeion4456	B01	CG-35d06b571241	book|tier|role|region	return_or_resolution	B01_C028	EB-RW-00028	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-852b6f7967b0	WC00331	Aermaelordria331	B01	CG-4200c1585aa6	book|tier|role|region	introduction	B01_C001	EB-RW-00001	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-5c186cb351ba	WC00331	Aermaelordria331	B01	CG-4200c1585aa6	book|tier|role|region	development	B01_C002	EB-RW-00002	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-95582485512e	WC00331	Aermaelordria331	B01	CG-4200c1585aa6	book|tier|role|region	relationship_consequence	B01_C003	EB-RW-00003	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-eceb50596fdb	WC00331	Aermaelordria331	B01	CG-4200c1585aa6	book|tier|role|region	return_or_resolution	B01_C004	EB-RW-00004	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-4086b7e5c483	WC00991	Ashajorafiraamarael991	B01	CG-4200c1585aa6	book|tier|role|region	introduction	B01_C005	EB-RW-00005	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-7e88a4d25f33	WC00991	Ashajorafiraamarael991	B01	CG-4200c1585aa6	book|tier|role|region	development	B01_C006	EB-RW-00006	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-21eedb252fd5	WC00991	Ashajorafiraamarael991	B01	CG-4200c1585aa6	book|tier|role|region	relationship_consequence	B01_C007	EB-RW-00007	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-7e38ea7a475e	WC00991	Ashajorafiraamarael991	B01	CG-4200c1585aa6	book|tier|role|region	return_or_resolution	B01_C008	EB-RW-00008	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
