serial	character_id	book_num	event_id	event_type	event_text	linked_scene_serial	status
MAP-TIMELINE-333feb3310d1	WC00023	B01	TL-WC00023-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-2013dd5e46cb	WC00024	B01	TL-WC00024-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-b3eb3e4eaed3	WC00025	B01	TL-WC00025-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-5a0234fb5bb5	WC00026	B01	TL-WC00026-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-da846eccbf80	WC00027	B01	TL-WC00027-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-82398e87512e	WC00028	B01	TL-WC00028-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-ae202b4812b8	WC00029	B01	TL-WC00029-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-cd8e130f0f08	WC00030	B01	TL-WC00030-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-eb3dfc762334	WC00031	B01	TL-WC00031-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-c34ba31e9e69	WC00032	B01	TL-WC00032-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-5a093a03adf2	WC00033	B01	TL-WC00033-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-bb37550555c2	WC00034	B01	TL-WC00034-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-0fdd1d8b3985	WC00035	B01	TL-WC00035-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-3aa5675aab96	WC00036	B01	TL-WC00036-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-87543b02be78	WC00037	B01	TL-WC00037-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-fafda3b83f6d	WC00038	B01	TL-WC00038-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-77fb0862a2fe	WC00039	B01	TL-WC00039-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-66ea83ca60f6	WC00040	B01	TL-WC00040-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-0f8066115a61	WC00041	B01	TL-WC00041-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-dc58ddf865db	WC00042	B01	TL-WC00042-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-e59f9aa5b7d6	WC00043	B01	TL-WC00043-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-0766def2a75a	WC00044	B01	TL-WC00044-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-033b6cd94c49	WC00045	B01	TL-WC00045-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-80bd47fd8d31	WC00046	B01	TL-WC00046-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-7723fb5f5c90	WC00047	B01	TL-WC00047-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-7edb903dcb72	WC00048	B01	TL-WC00048-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-d7046e5385af	WC00049	B01	TL-WC00049-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-22791e2cd6fe	WC00050	B01	TL-WC00050-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-f40fa3aae6c2	WC00051	B01	TL-WC00051-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-27b8508bf53d	WC00052	B01	TL-WC00052-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-009c97064fc5	WC00053	B01	TL-WC00053-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-a98b022ab29e	WC00054	B01	TL-WC00054-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-600eca8cdae0	WC00055	B01	TL-WC00055-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-da36f196d8e4	WC00056	B01	TL-WC00056-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-6c3f9b70a236	WC00057	B01	TL-WC00057-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-a3a497c1d316	WC00058	B01	TL-WC00058-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-37748872d989	WC00059	B01	TL-WC00059-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-2b80e8729c7b	WC00060	B01	TL-WC00060-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-2d2bec1be4fe	WC00061	B01	TL-WC00061-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-b47dc8325e16	WC00062	B01	TL-WC00062-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-ccf8e09b7045	WC00063	B01	TL-WC00063-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-dc5a4a611832	WC00064	B01	TL-WC00064-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-fef6d2c1d038	WC00065	B01	TL-WC00065-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-ce8b19519eb7	WC00066	B01	TL-WC00066-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-a4acf516e0e5	WC00067	B01	TL-WC00067-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-160544c5d9c7	WC00068	B01	TL-WC00068-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-1e7696351636	WC00069	B01	TL-WC00069-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-9b79286ea277	WC00070	B01	TL-WC00070-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-60b1a9d0cadc	WC00071	B01	TL-WC00071-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-12ac8371e600	WC00072	B01	TL-WC00072-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-eadfb33303ef	WC00073	B01	TL-WC00073-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-f1e169ba4d4b	WC00074	B01	TL-WC00074-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-5510bf9eb308	WC00075	B01	TL-WC00075-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-7760d4fba3ff	WC00076	B01	TL-WC00076-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-bd42d31fdb23	WC00077	B01	TL-WC00077-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-7572d7acdab7	WC00078	B01	TL-WC00078-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-97d979d9a90c	WC00079	B01	TL-WC00079-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-ca3b73808dc3	WC00080	B01	TL-WC00080-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-bcf61d7fddb3	WC00081	B01	TL-WC00081-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-b49da00afcd4	WC00082	B01	TL-WC00082-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-99b4b4afba09	WC00083	B01	TL-WC00083-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-e5796e213922	WC00084	B01	TL-WC00084-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-081c5b14a3b5	WC00085	B01	TL-WC00085-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-dfcbcdef8219	WC00086	B01	TL-WC00086-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-fd66c74b29bd	WC00087	B01	TL-WC00087-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-9077ebaf4cf2	WC00088	B01	TL-WC00088-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-c5e34d007c81	WC00089	B01	TL-WC00089-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-4ffdbf2a28d7	WC00090	B01	TL-WC00090-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-219066fbaa31	WC00091	B01	TL-WC00091-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-df13dbf3a00b	WC00092	B01	TL-WC00092-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-67fb60ebc2de	WC00093	B01	TL-WC00093-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-ba699bb39b04	WC00094	B01	TL-WC00094-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-2f5e5a86f585	WC00095	B01	TL-WC00095-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-07fda705798d	WC00096	B01	TL-WC00096-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-368e922b9682	WC00097	B01	TL-WC00097-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-3c5a427af345	WC00098	B01	TL-WC00098-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-f94de19d514b	WC00099	B01	TL-WC00099-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-e2176f6b953f	WC00100	B01	TL-WC00100-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-a14fc8edfa35	WC00101	B01	TL-WC00101-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-7dfbda4e7d91	WC00102	B01	TL-WC00102-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-598a319f514e	WC00103	B01	TL-WC00103-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-9bf7e3915ed5	WC00104	B01	TL-WC00104-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-81d389c67756	WC00105	B01	TL-WC00105-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-221b3f85d884	WC00106	B01	TL-WC00106-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-829bb1d34d53	WC00107	B01	TL-WC00107-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-f2c5bf4a0e7e	WC00108	B01	TL-WC00108-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-c9a034e481e2	WC00109	B01	TL-WC00109-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-b743dd134419	WC00110	B01	TL-WC00110-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-e470fc67baa6	WC00111	B01	TL-WC00111-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-efa23d9dfead	WC00112	B01	TL-WC00112-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-bf0c14fec1ce	WC00113	B01	TL-WC00113-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-d72911d1c14e	WC00114	B01	TL-WC00114-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-3df2ba517254	WC00115	B01	TL-WC00115-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-70d28c97c32e	WC00116	B01	TL-WC00116-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-57e88c8b782c	WC00117	B01	TL-WC00117-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-de78ffc82493	WC00118	B01	TL-WC00118-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-0b78fba1db7b	WC00119	B01	TL-WC00119-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-3e842a2a0323	WC00120	B01	TL-WC00120-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-347ea56fdb9f	WC00121	B01	TL-WC00121-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-b4b5af830c3d	WC00122	B01	TL-WC00122-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-fdb61bc7196e	WC00123	B01	TL-WC00123-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-f87684ac2a89	WC00124	B01	TL-WC00124-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-230bdb652d18	WC00125	B01	TL-WC00125-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-50ff8409f3f1	WC00126	B01	TL-WC00126-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-82b0d2229019	WC00127	B01	TL-WC00127-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-656c6d1ca077	WC00128	B01	TL-WC00128-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-b2f4db8be1ce	WC00129	B01	TL-WC00129-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-21ef8d2ae3a7	WC00130	B01	TL-WC00130-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-9f915402196d	WC00131	B01	TL-WC00131-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-ebfe7a83291e	WC00132	B01	TL-WC00132-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-83d8eed41a4c	WC00133	B01	TL-WC00133-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-c6c5baede501	WC00134	B01	TL-WC00134-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-8195acfd24a6	WC00135	B01	TL-WC00135-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-b271321560e8	WC00136	B01	TL-WC00136-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-0162ab99eb59	WC00137	B01	TL-WC00137-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-414fac87f4b3	WC00138	B01	TL-WC00138-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-a89cac8a8cb4	WC00139	B01	TL-WC00139-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-ea3488092852	WC00140	B01	TL-WC00140-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-9aeb1cf95ce7	WC00141	B01	TL-WC00141-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-8818c92b8431	WC00142	B01	TL-WC00142-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-a14846bbc4a0	WC00143	B01	TL-WC00143-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-491070e2348a	WC00144	B01	TL-WC00144-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-c28b438fc7d2	WC00145	B01	TL-WC00145-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-064b4ee7b974	WC00146	B01	TL-WC00146-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-8aed3fb27d3f	WC00147	B01	TL-WC00147-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
