alignment_serial	source_serial	source_name	source_type	scene_id	event_beat_id	book_num	beat_kind	wowas_transform_options	transform_status	fact_status	citation_url	reader_projection	attention_triggers	digital_variance_policy	max_reader_detail	provenance_status
RWA-fc7708984dd0	RWS-3b802b010cf6	Cape Town	city	B01_C011	EB-RW-00011	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q5465	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-75539437e1d2	RWS-50aef7261475	Sydney	city	B01_C012	EB-RW-00012	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q3130	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-0d67c2c60df2	RWS-d0c7e274119b	Melbourne	city	B01_C013	EB-RW-00013	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q3141	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-9fcfff2af02e	RWS-63375eff5fcc	Singapore	city	B01_C014	EB-RW-00014	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q334	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-0479edac9348	RWS-8c25ea70e311	Bangkok	city	B01_C015	EB-RW-00015	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q1861	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-b0ca0b6d55cf	RWS-6ab20b5bd386	Jakarta	city	B01_C016	EB-RW-00016	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q3630	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-e25309987dee	RWS-16d8a3032d1a	Seoul	city	B01_C017	EB-RW-00017	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q8684	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-77b5b78435d6	RWS-4bea0700f49a	Beijing	city	B01_C018	EB-RW-00018	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q956	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-81f02f33be71	RWS-d90712596b7c	Mexico City	city	B01_C019	EB-RW-00019	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q1489	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-7213f0b7da95	RWS-f0e14c70e8c1	São Paulo	city	B01_C020	EB-RW-00020	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q174	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-26474d75b93c	RWS-86b0a21efd87	Toronto	city	B01_C021	EB-RW-00021	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q172	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-b79ece898cb1	RWS-ccd49923d9b4	New Delhi	city	B01_C022	EB-RW-00022	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q987	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-ed3de8edc9c9	RWS-6101ccd47bb8	Istanbul	city	B01_C023	EB-RW-00023	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q406	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-a1d07384546b	RWS-33a583f20aa5	Rome	city	B01_C024	EB-RW-00024	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q220	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-667550e32ba7	RWS-46eea12e7e88	Berlin	city	B01_C025	EB-RW-00025	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q64	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-2c0e751d54f7	RWS-d8e88c01ec00	Madrid	city	B01_C026	EB-RW-00026	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q280	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-10e2b74a9803	RWS-05d6adfacee7	Moscow	city	B01_C027	EB-RW-00027	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q649	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-82921ecdb728	RWS-ec7c27ccda23	Dubai	city	B01_C028	EB-RW-00028	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q612	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-b14d212945fe	RWS-946164ffe75c	Lima	city	B01_C029	EB-RW-00029	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q2868	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-1ebea2d9046a	RWS-feb128274578	Bogotá	city	B01_C030	EB-RW-00030	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q2841	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-983fb2d1e4d2	RWS-d005a5afa3aa	Great Barrier Reef	landmark	B01_C031	EB-RW-00031	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/154	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-8cf0db585346	RWS-6c14fcc1b51b	Kakadu National Park	landmark	B01_C032	EB-RW-00032	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/147	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-2f2fa4ef318e	RWS-b760b5585d64	Uluru-Kata Tjuta National Park	landmark	B01_C033	EB-RW-00033	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/447	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-3012799e11dc	RWS-faeb64b65584	Sydney Opera House	landmark	B01_C034	EB-RW-00034	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/166	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-1cc0131ecd52	RWS-79265b9faa20	Historic Centre of the City of Salzburg	landmark	B01_C035	EB-RW-00035	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/784	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-5bafd6464d44	RWS-5d2f907d061a	Palace and Gardens of Schönbrunn	landmark	B01_C036	EB-RW-00036	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/786	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-da1234250d0c	RWS-27ee6ab85ffc	Butrint	landmark	B01_C037	EB-RW-00037	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/570	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-2e74f84b410d	RWS-b26c2cb5a434	Djémila	landmark	B01_C038	EB-RW-00038	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/191	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-fce5c4a22af4	RWS-7fb8161a0bbb	Tassili n'Ajjer	landmark	B01_C039	EB-RW-00039	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/179	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-58b6c823d72d	RWS-7dd35d6f7a92	Los Glaciares National Park	landmark	B01_C040	EB-RW-00040	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/145	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-efc7664e2135	RWS-0a85910ef6d5	Iguazu National Park	landmark	B01_C041	EB-RW-00041	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/303	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-3b71685fdfb4	RWS-7eaad7bd8328	Cueva de las Manos, Río Pinturas	landmark	B01_C042	EB-RW-00042	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/936	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-c5b1115ef167	RWS-941ab3130755	Los Alerces National Park	landmark	B01_C043	EB-RW-00043	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/1526	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-a7d7e2868899	RWS-1e503c01299d	ESMA Museum and Site of Memory	landmark	B01_C044	EB-RW-00044	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/1681	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-550c3115b91d	RWS-101ce44f4817	Qhapaq Ñan, Andean Road System	landmark	B01_C045	EB-RW-00045	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/1459	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-ab147455cffe	RWS-62f8f95c46c6	Madriu-Perafita-Claror Valley	landmark	B01_C046	EB-RW-00046	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/1160	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-cccd2dbbc10a	RWS-34315ef14af6	Mbanza Kongo	landmark	B01_C047	EB-RW-00047	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/1511	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-81b8caf1ea4e	RWS-332db0e94c96	Historic Centres of Berat and Gjirokastra	landmark	B01_C048	EB-RW-00048	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/569	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-114d7967c321	RWS-3c021c24f074	Monastery of Geghard and the Upper Azat Valley	landmark	B01_000	EB-RW-00049	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/960	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-e428ea5e099c	RWS-989b07fd9113	Royal Exhibition Building and Carlton Gardens	landmark	B01_001	EB-RW-00050	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://whc.unesco.org/en/list/1131	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
