scene_id	character_group_count	character_assignment_count	character_group_assignments	capacity_mode
B01_C011	20	20	WC01321:CG-b3a511b50876:relationship_consequence|WC01354:CG-e973bdba8a6c:relationship_consequence|WC01387:CG-bb46cbe06008:relationship_consequence|WC01420:CG-739d77b52be1:relationship_consequence|WC01453:CG-6ed1f4b6ec43:relationship_consequence|WC01486:CG-2611a6579b9e:relationship_consequence|WC01519:CG-728031c8601c:relationship_consequence|WC01552:CG-1e5f645c5cfc:relationship_consequence|WC01585:CG-2e8ee2d26a8f:relationship_consequence|WC01618:CG-ed298b5a8417:relationship_consequence|WC01651:CG-4200c1585aa6:relationship_consequence|WC01684:CG-ff1bc92781e3:relationship_consequence|WC01717:CG-47ad0c416381:relationship_consequence|WC01750:CG-60d4454e5c5c:relationship_consequence|WC01783:CG-f178b2db44da:relationship_consequence|WC01816:CG-35d06b571241:relationship_consequence|WC01849:CG-e0cfe8a2dbaa:relationship_consequence|WC01882:CG-98eab09df23e:relationship_consequence|WC01915:CG-bc1a6eec10a0:relationship_consequence|WC01948:CG-aa026c55863d:relationship_consequence	shared_existing_scene
B01_C012	20	20	WC01321:CG-b3a511b50876:return_or_resolution|WC01354:CG-e973bdba8a6c:return_or_resolution|WC01387:CG-bb46cbe06008:return_or_resolution|WC01420:CG-739d77b52be1:return_or_resolution|WC01453:CG-6ed1f4b6ec43:return_or_resolution|WC01486:CG-2611a6579b9e:return_or_resolution|WC01519:CG-728031c8601c:return_or_resolution|WC01552:CG-1e5f645c5cfc:return_or_resolution|WC01585:CG-2e8ee2d26a8f:return_or_resolution|WC01618:CG-ed298b5a8417:return_or_resolution|WC01651:CG-4200c1585aa6:return_or_resolution|WC01684:CG-ff1bc92781e3:return_or_resolution|WC01717:CG-47ad0c416381:return_or_resolution|WC01750:CG-60d4454e5c5c:return_or_resolution|WC01783:CG-f178b2db44da:return_or_resolution|WC01816:CG-35d06b571241:return_or_resolution|WC01849:CG-e0cfe8a2dbaa:return_or_resolution|WC01882:CG-98eab09df23e:return_or_resolution|WC01915:CG-bc1a6eec10a0:return_or_resolution|WC01948:CG-aa026c55863d:return_or_resolution	shared_existing_scene
B01_C013	20	20	WC01981:CG-b3a511b50876:introduction|WC02014:CG-e973bdba8a6c:introduction|WC02047:CG-bb46cbe06008:introduction|WC02080:CG-739d77b52be1:introduction|WC02113:CG-6ed1f4b6ec43:introduction|WC02146:CG-2611a6579b9e:introduction|WC02179:CG-728031c8601c:introduction|WC02212:CG-1e5f645c5cfc:introduction|WC02245:CG-2e8ee2d26a8f:introduction|WC02278:CG-ed298b5a8417:introduction|WC02311:CG-4200c1585aa6:introduction|WC02344:CG-ff1bc92781e3:introduction|WC02377:CG-47ad0c416381:introduction|WC02410:CG-60d4454e5c5c:introduction|WC02443:CG-f178b2db44da:introduction|WC02476:CG-35d06b571241:introduction|WC02509:CG-e0cfe8a2dbaa:introduction|WC02542:CG-98eab09df23e:introduction|WC02575:CG-bc1a6eec10a0:introduction|WC02608:CG-aa026c55863d:introduction	shared_existing_scene
B01_C014	20	20	WC01981:CG-b3a511b50876:development|WC02014:CG-e973bdba8a6c:development|WC02047:CG-bb46cbe06008:development|WC02080:CG-739d77b52be1:development|WC02113:CG-6ed1f4b6ec43:development|WC02146:CG-2611a6579b9e:development|WC02179:CG-728031c8601c:development|WC02212:CG-1e5f645c5cfc:development|WC02245:CG-2e8ee2d26a8f:development|WC02278:CG-ed298b5a8417:development|WC02311:CG-4200c1585aa6:development|WC02344:CG-ff1bc92781e3:development|WC02377:CG-47ad0c416381:development|WC02410:CG-60d4454e5c5c:development|WC02443:CG-f178b2db44da:development|WC02476:CG-35d06b571241:development|WC02509:CG-e0cfe8a2dbaa:development|WC02542:CG-98eab09df23e:development|WC02575:CG-bc1a6eec10a0:development|WC02608:CG-aa026c55863d:development	shared_existing_scene
B01_C015	20	20	WC01981:CG-b3a511b50876:relationship_consequence|WC02014:CG-e973bdba8a6c:relationship_consequence|WC02047:CG-bb46cbe06008:relationship_consequence|WC02080:CG-739d77b52be1:relationship_consequence|WC02113:CG-6ed1f4b6ec43:relationship_consequence|WC02146:CG-2611a6579b9e:relationship_consequence|WC02179:CG-728031c8601c:relationship_consequence|WC02212:CG-1e5f645c5cfc:relationship_consequence|WC02245:CG-2e8ee2d26a8f:relationship_consequence|WC02278:CG-ed298b5a8417:relationship_consequence|WC02311:CG-4200c1585aa6:relationship_consequence|WC02344:CG-ff1bc92781e3:relationship_consequence|WC02377:CG-47ad0c416381:relationship_consequence|WC02410:CG-60d4454e5c5c:relationship_consequence|WC02443:CG-f178b2db44da:relationship_consequence|WC02476:CG-35d06b571241:relationship_consequence|WC02509:CG-e0cfe8a2dbaa:relationship_consequence|WC02542:CG-98eab09df23e:relationship_consequence|WC02575:CG-bc1a6eec10a0:relationship_consequence|WC02608:CG-aa026c55863d:relationship_consequence	shared_existing_scene
B01_C016	20	20	WC01981:CG-b3a511b50876:return_or_resolution|WC02014:CG-e973bdba8a6c:return_or_resolution|WC02047:CG-bb46cbe06008:return_or_resolution|WC02080:CG-739d77b52be1:return_or_resolution|WC02113:CG-6ed1f4b6ec43:return_or_resolution|WC02146:CG-2611a6579b9e:return_or_resolution|WC02179:CG-728031c8601c:return_or_resolution|WC02212:CG-1e5f645c5cfc:return_or_resolution|WC02245:CG-2e8ee2d26a8f:return_or_resolution|WC02278:CG-ed298b5a8417:return_or_resolution|WC02311:CG-4200c1585aa6:return_or_resolution|WC02344:CG-ff1bc92781e3:return_or_resolution|WC02377:CG-47ad0c416381:return_or_resolution|WC02410:CG-60d4454e5c5c:return_or_resolution|WC02443:CG-f178b2db44da:return_or_resolution|WC02476:CG-35d06b571241:return_or_resolution|WC02509:CG-e0cfe8a2dbaa:return_or_resolution|WC02542:CG-98eab09df23e:return_or_resolution|WC02575:CG-bc1a6eec10a0:return_or_resolution|WC02608:CG-aa026c55863d:return_or_resolution	shared_existing_scene
B01_C017	20	20	WC02641:CG-b3a511b50876:introduction|WC02674:CG-e973bdba8a6c:introduction|WC02707:CG-bb46cbe06008:introduction|WC02740:CG-739d77b52be1:introduction|WC02773:CG-6ed1f4b6ec43:introduction|WC02806:CG-2611a6579b9e:introduction|WC02839:CG-728031c8601c:introduction|WC02872:CG-1e5f645c5cfc:introduction|WC02905:CG-2e8ee2d26a8f:introduction|WC02938:CG-ed298b5a8417:introduction|WC02971:CG-4200c1585aa6:introduction|WC03004:CG-ff1bc92781e3:introduction|WC03037:CG-47ad0c416381:introduction|WC03070:CG-60d4454e5c5c:introduction|WC03103:CG-f178b2db44da:introduction|WC03136:CG-35d06b571241:introduction|WC03169:CG-e0cfe8a2dbaa:introduction|WC03202:CG-98eab09df23e:introduction|WC03235:CG-bc1a6eec10a0:introduction|WC03268:CG-aa026c55863d:introduction	shared_existing_scene
B01_C018	20	20	WC02641:CG-b3a511b50876:development|WC02674:CG-e973bdba8a6c:development|WC02707:CG-bb46cbe06008:development|WC02740:CG-739d77b52be1:development|WC02773:CG-6ed1f4b6ec43:development|WC02806:CG-2611a6579b9e:development|WC02839:CG-728031c8601c:development|WC02872:CG-1e5f645c5cfc:development|WC02905:CG-2e8ee2d26a8f:development|WC02938:CG-ed298b5a8417:development|WC02971:CG-4200c1585aa6:development|WC03004:CG-ff1bc92781e3:development|WC03037:CG-47ad0c416381:development|WC03070:CG-60d4454e5c5c:development|WC03103:CG-f178b2db44da:development|WC03136:CG-35d06b571241:development|WC03169:CG-e0cfe8a2dbaa:development|WC03202:CG-98eab09df23e:development|WC03235:CG-bc1a6eec10a0:development|WC03268:CG-aa026c55863d:development	shared_existing_scene
B01_C019	20	20	WC02641:CG-b3a511b50876:relationship_consequence|WC02674:CG-e973bdba8a6c:relationship_consequence|WC02707:CG-bb46cbe06008:relationship_consequence|WC02740:CG-739d77b52be1:relationship_consequence|WC02773:CG-6ed1f4b6ec43:relationship_consequence|WC02806:CG-2611a6579b9e:relationship_consequence|WC02839:CG-728031c8601c:relationship_consequence|WC02872:CG-1e5f645c5cfc:relationship_consequence|WC02905:CG-2e8ee2d26a8f:relationship_consequence|WC02938:CG-ed298b5a8417:relationship_consequence|WC02971:CG-4200c1585aa6:relationship_consequence|WC03004:CG-ff1bc92781e3:relationship_consequence|WC03037:CG-47ad0c416381:relationship_consequence|WC03070:CG-60d4454e5c5c:relationship_consequence|WC03103:CG-f178b2db44da:relationship_consequence|WC03136:CG-35d06b571241:relationship_consequence|WC03169:CG-e0cfe8a2dbaa:relationship_consequence|WC03202:CG-98eab09df23e:relationship_consequence|WC03235:CG-bc1a6eec10a0:relationship_consequence|WC03268:CG-aa026c55863d:relationship_consequence	shared_existing_scene
B01_C020	20	20	WC02641:CG-b3a511b50876:return_or_resolution|WC02674:CG-e973bdba8a6c:return_or_resolution|WC02707:CG-bb46cbe06008:return_or_resolution|WC02740:CG-739d77b52be1:return_or_resolution|WC02773:CG-6ed1f4b6ec43:return_or_resolution|WC02806:CG-2611a6579b9e:return_or_resolution|WC02839:CG-728031c8601c:return_or_resolution|WC02872:CG-1e5f645c5cfc:return_or_resolution|WC02905:CG-2e8ee2d26a8f:return_or_resolution|WC02938:CG-ed298b5a8417:return_or_resolution|WC02971:CG-4200c1585aa6:return_or_resolution|WC03004:CG-ff1bc92781e3:return_or_resolution|WC03037:CG-47ad0c416381:return_or_resolution|WC03070:CG-60d4454e5c5c:return_or_resolution|WC03103:CG-f178b2db44da:return_or_resolution|WC03136:CG-35d06b571241:return_or_resolution|WC03169:CG-e0cfe8a2dbaa:return_or_resolution|WC03202:CG-98eab09df23e:return_or_resolution|WC03235:CG-bc1a6eec10a0:return_or_resolution|WC03268:CG-aa026c55863d:return_or_resolution	shared_existing_scene
B01_C021	20	20	WC03301:CG-b3a511b50876:introduction|WC03334:CG-e973bdba8a6c:introduction|WC03367:CG-bb46cbe06008:introduction|WC03400:CG-739d77b52be1:introduction|WC03433:CG-6ed1f4b6ec43:introduction|WC03466:CG-2611a6579b9e:introduction|WC03499:CG-728031c8601c:introduction|WC03532:CG-1e5f645c5cfc:introduction|WC03565:CG-2e8ee2d26a8f:introduction|WC03598:CG-ed298b5a8417:introduction|WC03631:CG-4200c1585aa6:introduction|WC03664:CG-ff1bc92781e3:introduction|WC03697:CG-47ad0c416381:introduction|WC03730:CG-60d4454e5c5c:introduction|WC03763:CG-f178b2db44da:introduction|WC03796:CG-35d06b571241:introduction|WC03829:CG-e0cfe8a2dbaa:introduction|WC03862:CG-98eab09df23e:introduction|WC03895:CG-bc1a6eec10a0:introduction|WC03928:CG-aa026c55863d:introduction	shared_existing_scene
B01_C022	20	20	WC03301:CG-b3a511b50876:development|WC03334:CG-e973bdba8a6c:development|WC03367:CG-bb46cbe06008:development|WC03400:CG-739d77b52be1:development|WC03433:CG-6ed1f4b6ec43:development|WC03466:CG-2611a6579b9e:development|WC03499:CG-728031c8601c:development|WC03532:CG-1e5f645c5cfc:development|WC03565:CG-2e8ee2d26a8f:development|WC03598:CG-ed298b5a8417:development|WC03631:CG-4200c1585aa6:development|WC03664:CG-ff1bc92781e3:development|WC03697:CG-47ad0c416381:development|WC03730:CG-60d4454e5c5c:development|WC03763:CG-f178b2db44da:development|WC03796:CG-35d06b571241:development|WC03829:CG-e0cfe8a2dbaa:development|WC03862:CG-98eab09df23e:development|WC03895:CG-bc1a6eec10a0:development|WC03928:CG-aa026c55863d:development	shared_existing_scene
B01_C023	20	20	WC03301:CG-b3a511b50876:relationship_consequence|WC03334:CG-e973bdba8a6c:relationship_consequence|WC03367:CG-bb46cbe06008:relationship_consequence|WC03400:CG-739d77b52be1:relationship_consequence|WC03433:CG-6ed1f4b6ec43:relationship_consequence|WC03466:CG-2611a6579b9e:relationship_consequence|WC03499:CG-728031c8601c:relationship_consequence|WC03532:CG-1e5f645c5cfc:relationship_consequence|WC03565:CG-2e8ee2d26a8f:relationship_consequence|WC03598:CG-ed298b5a8417:relationship_consequence|WC03631:CG-4200c1585aa6:relationship_consequence|WC03664:CG-ff1bc92781e3:relationship_consequence|WC03697:CG-47ad0c416381:relationship_consequence|WC03730:CG-60d4454e5c5c:relationship_consequence|WC03763:CG-f178b2db44da:relationship_consequence|WC03796:CG-35d06b571241:relationship_consequence|WC03829:CG-e0cfe8a2dbaa:relationship_consequence|WC03862:CG-98eab09df23e:relationship_consequence|WC03895:CG-bc1a6eec10a0:relationship_consequence|WC03928:CG-aa026c55863d:relationship_consequence	shared_existing_scene
B01_C024	20	20	WC03301:CG-b3a511b50876:return_or_resolution|WC03334:CG-e973bdba8a6c:return_or_resolution|WC03367:CG-bb46cbe06008:return_or_resolution|WC03400:CG-739d77b52be1:return_or_resolution|WC03433:CG-6ed1f4b6ec43:return_or_resolution|WC03466:CG-2611a6579b9e:return_or_resolution|WC03499:CG-728031c8601c:return_or_resolution|WC03532:CG-1e5f645c5cfc:return_or_resolution|WC03565:CG-2e8ee2d26a8f:return_or_resolution|WC03598:CG-ed298b5a8417:return_or_resolution|WC03631:CG-4200c1585aa6:return_or_resolution|WC03664:CG-ff1bc92781e3:return_or_resolution|WC03697:CG-47ad0c416381:return_or_resolution|WC03730:CG-60d4454e5c5c:return_or_resolution|WC03763:CG-f178b2db44da:return_or_resolution|WC03796:CG-35d06b571241:return_or_resolution|WC03829:CG-e0cfe8a2dbaa:return_or_resolution|WC03862:CG-98eab09df23e:return_or_resolution|WC03895:CG-bc1a6eec10a0:return_or_resolution|WC03928:CG-aa026c55863d:return_or_resolution	shared_existing_scene
B01_C025	20	20	WC03961:CG-b3a511b50876:introduction|WC03994:CG-e973bdba8a6c:introduction|WC04027:CG-bb46cbe06008:introduction|WC04060:CG-739d77b52be1:introduction|WC04093:CG-6ed1f4b6ec43:introduction|WC04126:CG-2611a6579b9e:introduction|WC04159:CG-728031c8601c:introduction|WC04192:CG-1e5f645c5cfc:introduction|WC04225:CG-2e8ee2d26a8f:introduction|WC04258:CG-ed298b5a8417:introduction|WC04291:CG-4200c1585aa6:introduction|WC04324:CG-ff1bc92781e3:introduction|WC04357:CG-47ad0c416381:introduction|WC04390:CG-60d4454e5c5c:introduction|WC04423:CG-f178b2db44da:introduction|WC04456:CG-35d06b571241:introduction|WC04489:CG-e0cfe8a2dbaa:introduction|WC04522:CG-98eab09df23e:introduction|WC04555:CG-bc1a6eec10a0:introduction|WC04588:CG-aa026c55863d:introduction	shared_existing_scene
B01_C026	20	20	WC03961:CG-b3a511b50876:development|WC03994:CG-e973bdba8a6c:development|WC04027:CG-bb46cbe06008:development|WC04060:CG-739d77b52be1:development|WC04093:CG-6ed1f4b6ec43:development|WC04126:CG-2611a6579b9e:development|WC04159:CG-728031c8601c:development|WC04192:CG-1e5f645c5cfc:development|WC04225:CG-2e8ee2d26a8f:development|WC04258:CG-ed298b5a8417:development|WC04291:CG-4200c1585aa6:development|WC04324:CG-ff1bc92781e3:development|WC04357:CG-47ad0c416381:development|WC04390:CG-60d4454e5c5c:development|WC04423:CG-f178b2db44da:development|WC04456:CG-35d06b571241:development|WC04489:CG-e0cfe8a2dbaa:development|WC04522:CG-98eab09df23e:development|WC04555:CG-bc1a6eec10a0:development|WC04588:CG-aa026c55863d:development	shared_existing_scene
B01_C027	20	20	WC03961:CG-b3a511b50876:relationship_consequence|WC03994:CG-e973bdba8a6c:relationship_consequence|WC04027:CG-bb46cbe06008:relationship_consequence|WC04060:CG-739d77b52be1:relationship_consequence|WC04093:CG-6ed1f4b6ec43:relationship_consequence|WC04126:CG-2611a6579b9e:relationship_consequence|WC04159:CG-728031c8601c:relationship_consequence|WC04192:CG-1e5f645c5cfc:relationship_consequence|WC04225:CG-2e8ee2d26a8f:relationship_consequence|WC04258:CG-ed298b5a8417:relationship_consequence|WC04291:CG-4200c1585aa6:relationship_consequence|WC04324:CG-ff1bc92781e3:relationship_consequence|WC04357:CG-47ad0c416381:relationship_consequence|WC04390:CG-60d4454e5c5c:relationship_consequence|WC04423:CG-f178b2db44da:relationship_consequence|WC04456:CG-35d06b571241:relationship_consequence|WC04489:CG-e0cfe8a2dbaa:relationship_consequence|WC04522:CG-98eab09df23e:relationship_consequence|WC04555:CG-bc1a6eec10a0:relationship_consequence|WC04588:CG-aa026c55863d:relationship_consequence	shared_existing_scene
B01_C028	20	20	WC03961:CG-b3a511b50876:return_or_resolution|WC03994:CG-e973bdba8a6c:return_or_resolution|WC04027:CG-bb46cbe06008:return_or_resolution|WC04060:CG-739d77b52be1:return_or_resolution|WC04093:CG-6ed1f4b6ec43:return_or_resolution|WC04126:CG-2611a6579b9e:return_or_resolution|WC04159:CG-728031c8601c:return_or_resolution|WC04192:CG-1e5f645c5cfc:return_or_resolution|WC04225:CG-2e8ee2d26a8f:return_or_resolution|WC04258:CG-ed298b5a8417:return_or_resolution|WC04291:CG-4200c1585aa6:return_or_resolution|WC04324:CG-ff1bc92781e3:return_or_resolution|WC04357:CG-47ad0c416381:return_or_resolution|WC04390:CG-60d4454e5c5c:return_or_resolution|WC04423:CG-f178b2db44da:return_or_resolution|WC04456:CG-35d06b571241:return_or_resolution|WC04489:CG-e0cfe8a2dbaa:return_or_resolution|WC04522:CG-98eab09df23e:return_or_resolution|WC04555:CG-bc1a6eec10a0:return_or_resolution|WC04588:CG-aa026c55863d:return_or_resolution	shared_existing_scene
B01_C029	12	12	WC04621:CG-b3a511b50876:introduction|WC04654:CG-e973bdba8a6c:introduction|WC04687:CG-bb46cbe06008:introduction|WC04720:CG-739d77b52be1:introduction|WC04753:CG-6ed1f4b6ec43:introduction|WC04786:CG-2611a6579b9e:introduction|WC04819:CG-728031c8601c:introduction|WC04852:CG-1e5f645c5cfc:introduction|WC04885:CG-2e8ee2d26a8f:introduction|WC04918:CG-ed298b5a8417:introduction|WC04951:CG-4200c1585aa6:introduction|WC04984:CG-ff1bc92781e3:introduction	shared_existing_scene
B01_C030	12	12	WC04621:CG-b3a511b50876:development|WC04654:CG-e973bdba8a6c:development|WC04687:CG-bb46cbe06008:development|WC04720:CG-739d77b52be1:development|WC04753:CG-6ed1f4b6ec43:development|WC04786:CG-2611a6579b9e:development|WC04819:CG-728031c8601c:development|WC04852:CG-1e5f645c5cfc:development|WC04885:CG-2e8ee2d26a8f:development|WC04918:CG-ed298b5a8417:development|WC04951:CG-4200c1585aa6:development|WC04984:CG-ff1bc92781e3:development	shared_existing_scene
