projection_serial	canonical_character_id	character_id	default_attention_tier	promotion_triggers	demotion_triggers	max_reader_cast_weight	variant_dimensions	identity_mutation	timeline_mutation	consent_required	age_gate_required	reader_load_policy	reversible
VAR-PROJECTION-6e8fee91e6dd	VAR-CANON-320e8d9b8add	WC00011	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-7f98f2a67321	VAR-CANON-02a7bed53e33	WC00012	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-2c7bde5ad49c	VAR-CANON-6e32c48338a8	WC00013	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-6c3052c0a44f	VAR-CANON-d24176c5848d	WC00014	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-99e2e2b470f8	VAR-CANON-1316fd9c0703	WC00015	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-116019cb031c	VAR-CANON-84072e0487c4	WC00016	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-fccaf35723b5	VAR-CANON-7acf06a023e1	WC00017	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-8483c329ccf8	VAR-CANON-e267149ad13a	WC00018	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-a807a830c5e2	VAR-CANON-7d063521d065	WC00019	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-2cd6060cdf38	VAR-CANON-6879903639c9	WC00020	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-7d301b3e2c17	VAR-CANON-74a9e484e28f	WC00021	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-966c9f93a7fa	VAR-CANON-276e63184774	WC00022	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-7b19ccd32d4e	VAR-CANON-dcc852d26134	WC00023	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-ed666108c8d6	VAR-CANON-ee0eb1deb866	WC00024	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-2b4eca5eb56d	VAR-CANON-c3079abc0a17	WC00025	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-dd58861961d5	VAR-CANON-6a3d5610366c	WC00026	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-16b4248f5d9c	VAR-CANON-f139520e5a15	WC00027	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-03a16e705a76	VAR-CANON-1b661f7e8669	WC00028	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-cd6904bbe0a7	VAR-CANON-5e55212dbd19	WC00029	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-f96814408afa	VAR-CANON-458bfe3510d1	WC00030	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-80aa49aa5111	VAR-CANON-afc79d35163e	WC00031	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-7d6bce473ec9	VAR-CANON-068d9f3c394a	WC00032	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-1b12c89178ae	VAR-CANON-6ac9c53e795d	WC00033	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-7c9bfed92cad	VAR-CANON-bacf26ec0ccd	WC00034	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-9b85326fa366	VAR-CANON-3706262594a6	WC00035	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-0f9662a8c84c	VAR-CANON-8a4d166515eb	WC00036	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-d51a4a11ab50	VAR-CANON-4654ffcd49b0	WC00037	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-f49d03ddc13f	VAR-CANON-6644480019db	WC00038	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-5e74352caac1	VAR-CANON-6a42f46eebf8	WC00039	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-e6c4796f09d9	VAR-CANON-1591a22b5b76	WC00040	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-94f5555969b3	VAR-CANON-14770a5d9eb2	WC00041	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-55edd69db187	VAR-CANON-682ad25bf76f	WC00042	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-1b2392521bd3	VAR-CANON-c33c2aeb9776	WC00043	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-9e4270681f04	VAR-CANON-5dff7a886097	WC00044	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-a788fb13d037	VAR-CANON-46f903ef912f	WC00045	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-0064210ab40b	VAR-CANON-5f7580fcb5a7	WC00046	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-ea9ae75853b3	VAR-CANON-1ef69f4b4303	WC00047	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-8dcb3d04bc9e	VAR-CANON-cce1e731185e	WC00048	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-3ea829ef1322	VAR-CANON-c76188b7ae24	WC00049	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-4b842e08445e	VAR-CANON-e51dcbea7294	WC00050	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-c5708ef43544	VAR-CANON-764b46eb0db6	WC00051	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-6497340cd381	VAR-CANON-c4caf67c48ed	WC00052	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-91d816208f42	VAR-CANON-720cb73cd2cb	WC00053	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-3035182ac2de	VAR-CANON-cf9d1e2b96eb	WC00054	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-000a6ec396e3	VAR-CANON-25f2336f1fb1	WC00055	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-f7e73a99693a	VAR-CANON-c227def3f897	WC00056	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-e40b183e929d	VAR-CANON-4d93b7ed247e	WC00057	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-b4efbab7ec2e	VAR-CANON-4e685c6956c8	WC00058	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-24cebc606553	VAR-CANON-3499dcfb7778	WC00059	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-4e610c32e839	VAR-CANON-d3bb53fdc844	WC00060	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-c55a4fe70f8e	VAR-CANON-3ecc1d6d7f61	WC00061	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-e6dd2f1f33b1	VAR-CANON-1f997aefb410	WC00062	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-dce7e0494306	VAR-CANON-ce0ec1fd142c	WC00063	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-efd8b6127827	VAR-CANON-b1228a208930	WC00064	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-e726e0b501a2	VAR-CANON-0972f6814d8f	WC00065	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-50236dec067e	VAR-CANON-faa32ce5aa6a	WC00066	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-269b85bac33e	VAR-CANON-fbda1b366668	WC00067	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-5bbe390a2fec	VAR-CANON-8228ea7132c3	WC00068	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-60b6c2950639	VAR-CANON-e7f9aa9638d4	WC00069	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-56d4290b0691	VAR-CANON-c48f00831101	WC00070	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-2e2d71b080f8	VAR-CANON-b1a8d103f171	WC00071	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-da380c643ec0	VAR-CANON-f3e0e8252ea8	WC00072	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-7e423ad52af2	VAR-CANON-be9a25a43d9b	WC00073	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-153d049bc397	VAR-CANON-04ac3e835e50	WC00074	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-83527b2233b8	VAR-CANON-30635b47502a	WC00075	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-97cac50676f8	VAR-CANON-77ad46a019cb	WC00076	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-c8d730ecbc57	VAR-CANON-3910a08d2948	WC00077	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-d3a384d4718c	VAR-CANON-f654e5421c8f	WC00078	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-390f0ec73e52	VAR-CANON-69dfedf4f333	WC00079	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
