book_num	book_title	encounter_id	character_anchor	creature_id	species_name	biome	danger	ecology_role	event_shape	plot_use
7	The Rift Widens	WW07_00028	Pip	WR01900	Aeranoramariel1900	pocket sanctuary	gentle	burrow architect	small species reacts to magic before people understand the threat	wildlife encounter may carry humor, ecology, or local culture
8	The Trap Tightens	WW08_00029	Daisy May	WR01683	Aeranoramarfendion1683	morrow market	predatory	carrion recycler	animal blocks the obvious path and saves the party from a worse route	wildlife pressure should expose hidden route, social cost, or magical imbalance
8	The Trap Tightens	WW08_00030	Pip	WR02151	Aeranoramargroveiel2151	cello field	watchful	root spreader	creature comedy turns into ecological warning	wildlife encounter may carry humor, ecology, or local culture
8	The Trap Tightens	WW08_00031	Wrenath	WR00419	Aeranoramariven419	last open gate	sacred-dangerous	healing symbiote	small species reacts to magic before people understand the threat	wildlife pressure should expose hidden route, social cost, or magical imbalance
8	The Trap Tightens	WW08_00032	Majiskii	WR03881	Aeranoramarkelanen3881	glass orchard	watchful	soil restorer	pack behavior mirrors the cast relationship under pressure	wildlife encounter may carry humor, ecology, or local culture
9	The Diamond Breaks	WW09_00033	Pip	WR01144	Aeranoramarhaloren1144	root vale	sacred-dangerous	glass cleaner	creature comedy turns into ecological warning	wildlife pressure should expose hidden route, social cost, or magical imbalance
9	The Diamond Breaks	WW09_00034	Boojay	WR04428	Aeranoramarivyelle4428	morrow market	predatory	carrion recycler	small species reacts to magic before people understand the threat	wildlife pressure should expose hidden route, social cost, or magical imbalance
9	The Diamond Breaks	WW09_00035	Solvaenkyr	WR02964	Aeranoramarlarkaen2964	stone fen	sacred-dangerous	weather listener	pack behavior mirrors the cast relationship under pressure	wildlife pressure should expose hidden route, social cost, or magical imbalance
9	The Diamond Breaks	WW09_00036	Glint	WR03539	Aeranoramarmiredion3539	last open gate	sacred-dangerous	healing symbiote	predator encounter reveals a hidden wounded character	wildlife pressure should expose hidden route, social cost, or magical imbalance
10	Mack Falls	WW10_00037	Pip	WR02701	Aeranoramarkelanael2701	black-heart ridge	watchful	warning species	small species reacts to magic before people understand the threat	wildlife encounter may carry humor, ecology, or local culture
10	Mack Falls	WW10_00038	Xethrolund	WR00538	Aeranoramarlarkdria538	willow-stone county	predatory	song amplifier	pack behavior mirrors the cast relationship under pressure	wildlife pressure should expose hidden route, social cost, or magical imbalance
10	Mack Falls	WW10_00039	canonical_id	WR02421	Aeranoramarmireiel2421	cello field	watchful	root spreader	predator encounter reveals a hidden wounded character	wildlife encounter may carry humor, ecology, or local culture
10	Mack Falls	WW10_00040	Cockatrice	WR00159	Aeranorarel159	stone fen	sacred-dangerous	weather listener	symbiotic creature creates a temporary shelter or bridge	wildlife pressure should expose hidden route, social cost, or magical imbalance
11	The Portal Opens	WW11_00041	Mack	WR01157	Aeranoramarlarkiven1157	ash river	hazardous	river filter	pack behavior mirrors the cast relationship under pressure	wildlife encounter may carry humor, ecology, or local culture
11	The Portal Opens	WW11_00042	canonical_id	WR02639	Aeranoramarmosselle2639	last open gate	sacred-dangerous	healing symbiote	predator encounter reveals a hidden wounded character	wildlife pressure should expose hidden route, social cost, or magical imbalance
11	The Portal Opens	WW11_00043	role	WR04143	Aeranoraria4143	morrow market	predatory	carrion recycler	symbiotic creature creates a temporary shelter or bridge	wildlife pressure should expose hidden route, social cost, or magical imbalance
11	The Portal Opens	WW11_00044	source_stack	WR00978	Aeranorashiven978	morrow market	predatory	carrion recycler	migration pattern exposes political or magical disruption	wildlife pressure should expose hidden route, social cost, or magical imbalance
12	Stasis	WW12_00045	Xethrolund	WR01430	Aeranoramarmossiven1430	ripper tunnel	gentle	pollinator	predator encounter reveals a hidden wounded character	wildlife encounter may carry humor, ecology, or local culture
12	Stasis	WW12_00046	canonical_id	WR01479	Aeranorasharia1479	stone fen	sacred-dangerous	weather listener	symbiotic creature creates a temporary shelter or bridge	wildlife pressure should expose hidden route, social cost, or magical imbalance
12	Stasis	WW12_00047	role	WR03088	Aeranoravel3088	willow-stone county	predatory	song amplifier	migration pattern exposes political or magical disruption	wildlife pressure should expose hidden route, social cost, or magical imbalance
12	Stasis	WW12_00048	source_stack	WR04573	Aeranoravel4573	willow-stone county	predatory	song amplifier	wildlife panic signals a concealed ripper or Drawn pressure	wildlife pressure should expose hidden route, social cost, or magical imbalance
13	The Afterwake	WW13_00049	Pethran	WR01989	Aeranorashel1989	stone fen	sacred-dangerous	weather listener	symbiotic creature creates a temporary shelter or bridge	wildlife pressure should expose hidden route, social cost, or magical imbalance
13	The Afterwake	WW13_00050	Calla	WR03626	Aeranoravel3626	glass orchard	watchful	soil restorer	migration pattern exposes political or magical disruption	wildlife encounter may carry humor, ecology, or local culture
13	The Afterwake	WW13_00051	Sorra	WR04501	Aeranorbellaen4501	black-heart ridge	watchful	warning species	wildlife panic signals a concealed ripper or Drawn pressure	wildlife encounter may carry humor, ecology, or local culture
13	The Afterwake	WW13_00052	Mack	WR00286	Aeranorbrookaen286	black-heart ridge	watchful	warning species	animal blocks the obvious path and saves the party from a worse route	wildlife encounter may carry humor, ecology, or local culture
14	The Long Reorientation	WW14_00053	Daevyn	WR03769	Aeranoravel3769	root vale	sacred-dangerous	glass cleaner	migration pattern exposes political or magical disruption	wildlife pressure should expose hidden route, social cost, or magical imbalance
14	The Long Reorientation	WW14_00054	Elven	WR00904	Aeranorbelldion904	root vale	sacred-dangerous	glass cleaner	wildlife panic signals a concealed ripper or Drawn pressure	wildlife pressure should expose hidden route, social cost, or magical imbalance
14	The Long Reorientation	WW14_00055	Corveth	WR04414	Aeranorbrookdion4414	root vale	sacred-dangerous	glass cleaner	animal blocks the obvious path and saves the party from a worse route	wildlife pressure should expose hidden route, social cost, or magical imbalance
14	The Long Reorientation	WW14_00056	Thorn	WR01122	Aeranorcairnelle1122	neith edge	hazardous	apex grazer	creature comedy turns into ecological warning	wildlife encounter may carry humor, ecology, or local culture
15	Suffocating in Silence	WW15_00057	canonical_id	WR02880	Aeranorbellen2880	diamond breakland	gentle	gate sentinel	wildlife panic signals a concealed ripper or Drawn pressure	wildlife encounter may carry humor, ecology, or local culture
15	Suffocating in Silence	WW15_00058	Rolzen	WR00899	Aeranorbrooken899	last open gate	sacred-dangerous	healing symbiote	animal blocks the obvious path and saves the party from a worse route	wildlife pressure should expose hidden route, social cost, or magical imbalance
15	Suffocating in Silence	WW15_00059	Pip	WR01109	Aeranorcairniven1109	last open gate	sacred-dangerous	healing symbiote	creature comedy turns into ecological warning	wildlife pressure should expose hidden route, social cost, or magical imbalance
15	Suffocating in Silence	WW15_00060	Xethrolund	WR00937	Aeranorcoriaael937	blue-light road	hazardous	pack companion	small species reacts to magic before people understand the threat	wildlife encounter may carry humor, ecology, or local culture
16	The Deepening World	WW16_00061	Pip	WR02519	Aeranorbrookiven2519	last open gate	sacred-dangerous	healing symbiote	animal blocks the obvious path and saves the party from a worse route	wildlife pressure should expose hidden route, social cost, or magical imbalance
16	The Deepening World	WW16_00062	Rolzen	WR03856	Aeranorcinderavel3856	black-heart ridge	watchful	warning species	creature comedy turns into ecological warning	wildlife encounter may carry humor, ecology, or local culture
16	The Deepening World	WW16_00063	Daisy May	WR04688	Aeranorcoriaaelaria4688	xeth glyph yard	predatory	memory mimic	small species reacts to magic before people understand the threat	wildlife pressure should expose hidden route, social cost, or magical imbalance
16	The Deepening World	WW16_00064	Majiskii	WR01674	Aeranorcoriaaria1674	stone fen	sacred-dangerous	weather listener	pack behavior mirrors the cast relationship under pressure	wildlife pressure should expose hidden route, social cost, or magical imbalance
17	Black Heart Scar	WW17_00065	Rolzen	WR01339	Aeranorcinderelle1339	root vale	sacred-dangerous	glass cleaner	creature comedy turns into ecological warning	wildlife pressure should expose hidden route, social cost, or magical imbalance
17	Black Heart Scar	WW17_00066	Xethrolund	WR03428	Aeranorcoriaaelel3428	xeth glyph yard	predatory	memory mimic	small species reacts to magic before people understand the threat	wildlife pressure should expose hidden route, social cost, or magical imbalance
17	Black Heart Scar	WW17_00067	Rylos Vayne Johnson / Boojay	WR01976	Aeranorcoriaashdria1976	glass orchard	watchful	soil restorer	pack behavior mirrors the cast relationship under pressure	wildlife encounter may carry humor, ecology, or local culture
17	Black Heart Scar	WW17_00068	canonical_id	WR03412	Aeranorcoriabrinaen3412	blue-light road	hazardous	pack companion	predator encounter reveals a hidden wounded character	wildlife encounter may carry humor, ecology, or local culture
18	Strange Gravity	WW18_00069	Rolzen	WR00713	Aeranorcoriaaelion713	xeth glyph yard	predatory	memory mimic	small species reacts to magic before people understand the threat	wildlife pressure should expose hidden route, social cost, or magical imbalance
18	Strange Gravity	WW18_00070	Rylos Vayne Johnson / Boojay	WR01883	Aeranorcoriaashion1883	xeth glyph yard	predatory	memory mimic	pack behavior mirrors the cast relationship under pressure	wildlife pressure should expose hidden route, social cost, or magical imbalance
18	Strange Gravity	WW18_00071	canonical_id	WR00360	Aeranorcoriabriniel360	diamond breakland	gentle	gate sentinel	predator encounter reveals a hidden wounded character	wildlife encounter may carry humor, ecology, or local culture
18	Strange Gravity	WW18_00072	role	WR00277	Aeranorcoriael277	blue-light road	hazardous	pack companion	symbiotic creature creates a temporary shelter or bridge	wildlife encounter may carry humor, ecology, or local culture
19	The Cracking Core	WW19_00073	Rolzen	WR02842	Aeranorcoriabellaen2842	blue-light road	hazardous	pack companion	pack behavior mirrors the cast relationship under pressure	wildlife encounter may carry humor, ecology, or local culture
19	The Cracking Core	WW19_00074	Daisy May	WR00424	Aeranorcoriacairnen424	root vale	sacred-dangerous	glass cleaner	predator encounter reveals a hidden wounded character	wildlife pressure should expose hidden route, social cost, or magical imbalance
19	The Cracking Core	WW19_00075	Majiskii	WR04676	Aeranorcoriaelle4676	glass orchard	watchful	soil restorer	symbiotic creature creates a temporary shelter or bridge	wildlife encounter may carry humor, ecology, or local culture
19	The Cracking Core	WW19_00076	Xethrolund	WR02396	Aeranorcoriaforgeen2396	glass orchard	watchful	soil restorer	migration pattern exposes political or magical disruption	wildlife encounter may carry humor, ecology, or local culture
20	The Beforemath	WW20_00077	Rolzen	WR03484	Aeranorcoriadion3484	root vale	sacred-dangerous	glass cleaner	predator encounter reveals a hidden wounded character	wildlife pressure should expose hidden route, social cost, or magical imbalance
20	The Beforemath	WW20_00078	Xethrolund	WR02738	Aeranorcoriaendarel2738	xeth glyph yard	predatory	memory mimic	symbiotic creature creates a temporary shelter or bridge	wildlife pressure should expose hidden route, social cost, or magical imbalance
20	The Beforemath	WW20_00079	role	WR00437	Aeranorcoriagroveen437	ash river	hazardous	river filter	migration pattern exposes political or magical disruption	wildlife encounter may carry humor, ecology, or local culture
20	The Beforemath	WW20_00080	source_stack	WR02931	Aeranorcoriaivyelle2931	cello field	watchful	root spreader	wildlife panic signals a concealed ripper or Drawn pressure	wildlife encounter may carry humor, ecology, or local culture
21	The Final Descent	WW21_00081	role	WR02619	Aeranorcoriafenavel2619	stone fen	sacred-dangerous	weather listener	symbiotic creature creates a temporary shelter or bridge	wildlife pressure should expose hidden route, social cost, or magical imbalance
21	The Final Descent	WW21_00082	source_stack	WR04692	Aeranorcoriaiel4692	neith edge	hazardous	apex grazer	migration pattern exposes political or magical disruption	wildlife encounter may carry humor, ecology, or local culture
21	The Final Descent	WW21_00083	first_appears	WR00145	Aeranorcoriakelanen145	pocket sanctuary	gentle	burrow architect	wildlife panic signals a concealed ripper or Drawn pressure	wildlife encounter may carry humor, ecology, or local culture
21	The Final Descent	WW21_00084	All core cast + Ursula	WR00869	Aeranorcrownarel869	last open gate	sacred-dangerous	healing symbiote	animal blocks the obvious path and saves the party from a worse route	wildlife pressure should expose hidden route, social cost, or magical imbalance
22	The Last Open Gate	WW22_00085	book_25	WR04700	Aeranorcoriaivyarel4700	ripper tunnel	gentle	pollinator	migration pattern exposes political or magical disruption	wildlife encounter may carry humor, ecology, or local culture
22	The Last Open Gate	WW22_00086	DAISY MAY	WR01833	Aeranorcorialarkiel1833	morrow market	predatory	carrion recycler	wildlife panic signals a concealed ripper or Drawn pressure	wildlife pressure should expose hidden route, social cost, or magical imbalance
22	The Last Open Gate	WW22_00087	canonical_id	WR01521	Aeranorcrowndria1521	cello field	watchful	root spreader	animal blocks the obvious path and saves the party from a worse route	wildlife encounter may carry humor, ecology, or local culture
22	The Last Open Gate	WW22_00088	All core cast. Secondary arcs completing	WR01111	Aeranoremberavel1111	black-heart ridge	watchful	warning species	creature comedy turns into ecological warning	wildlife encounter may carry humor, ecology, or local culture
23	The Final Resonance	WW23_00089	first_appears	WR02292	Aeranorcoriamossen2292	neith edge	hazardous	apex grazer	wildlife panic signals a concealed ripper or Drawn pressure	wildlife encounter may carry humor, ecology, or local culture
23	The Final Resonance	WW23_00090	All core cast. Neith approaching	WR00077	Aeranorcrowniel77	ash river	hazardous	river filter	animal blocks the obvious path and saves the party from a worse route	wildlife encounter may carry humor, ecology, or local culture
23	The Final Resonance	WW23_00091	canonical_id	WR01668	Aeranoremberen1668	morrow market	predatory	carrion recycler	creature comedy turns into ecological warning	wildlife pressure should expose hidden route, social cost, or magical imbalance
23	The Final Resonance	WW23_00092	Neith	WR01583	Aeranorevaraaelel1583	xeth glyph yard	predatory	memory mimic	small species reacts to magic before people understand the threat	wildlife pressure should expose hidden route, social cost, or magical imbalance
24	Born To Die	WW24_00093	Neith	WR00083	Aeranorelle83	xeth glyph yard	predatory	memory mimic	animal blocks the obvious path and saves the party from a worse route	wildlife pressure should expose hidden route, social cost, or magical imbalance
24	Born To Die	WW24_00094	Pip	WR01425	Aeranoremberiven1425	diamond breakland	gentle	gate sentinel	creature comedy turns into ecological warning	wildlife encounter may carry humor, ecology, or local culture
24	Born To Die	WW24_00095	Rolzen	WR00363	Aeranorevaraaeliel363	morrow market	predatory	carrion recycler	small species reacts to magic before people understand the threat	wildlife pressure should expose hidden route, social cost, or magical imbalance
24	Born To Die	WW24_00096	Xethrolund	WR03005	Aeranorevaraashen3005	ripper tunnel	gentle	pollinator	pack behavior mirrors the cast relationship under pressure	wildlife encounter may carry humor, ecology, or local culture
25	Death Is Rebirth (Blood Cello terminus chapter)	WW25_00097	All core cast. Every named character who survived	WR00272	Aeranorevaraaelarel272	ash river	hazardous	river filter	creature comedy turns into ecological warning	wildlife encounter may carry humor, ecology, or local culture
25	Death Is Rebirth (Blood Cello terminus chapter)	WW25_00098	role	WR02093	Aeranorevaraaen2093	xeth glyph yard	predatory	memory mimic	small species reacts to magic before people understand the threat	wildlife pressure should expose hidden route, social cost, or magical imbalance
25	Death Is Rebirth (Blood Cello terminus chapter)	WW25_00099	source_stack	WR03803	Aeranorevarabellael3803	xeth glyph yard	predatory	memory mimic	pack behavior mirrors the cast relationship under pressure	wildlife pressure should expose hidden route, social cost, or magical imbalance
25	Death Is Rebirth (Blood Cello terminus chapter)	WW25_00100	first_appears	WR00784	Aeranorevaracrownen784	root vale	sacred-dangerous	glass cleaner	predator encounter reveals a hidden wounded character	wildlife pressure should expose hidden route, social cost, or magical imbalance
