serial	scene_id	book_num	event_beat_id	character_link	creature_link	quest_link	location_link	world_link	layers	status
MAP-SCENE-663f0ea28192	B01_C011	B01	EB-RW-00011	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce		Pip makes first contact with the silent anomaly and encounters a presence unlike Mack’s living organic warmth: cool, ordered, intelligent, ancient, and non-predatory, a mind that changes the emotional architecture of the story the moment it answers him. Event beat EB-RW-00011: the ecology pushes back against the plan.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-e9fdc211d0e2	B01_C012	B01	EB-RW-00012	wowas::pip_indalwin_willowjayce		Having made first contact, Pip leaves the chamber altered, understanding that the dream may be resisted not by denial but by the existence of a thread it did not account for, and the chapter closes with the first disciplined form of hope. Event beat EB-RW-00012: a world introduction reveals a cost.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-b6228512b4bd	B01_C013	B01	EB-RW-00013	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce		Pip brings the encounter back into Mack’s living interior, where the guardian receives the report with grave attention and both of them confront the possibility that the prophecy has truly missed something for the first time. Event beat EB-RW-00013: the quest objective changes after evidence.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-86d40c423489	B01_C014	B01	EB-RW-00014	wowas::pip_indalwin_willowjayce		The discovery of the blue-light thread immediately creates new duty, because now that possibility exists, Pip can no longer remain safely reactive; he must become an active mover in the braid of outcomes. Event beat EB-RW-00014: a character must trade certainty for movement.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-b0d38b44ef44	B01_C015	B01	EB-RW-00015	wowas::pip_indalwin_willowjayce		After the new thread is recognized, Pip prepares to step out again, but now the Expanse no longer feels like the same patrol ground; it has become a fate-charged field in which prophecy, fear, and possibility are all awake. Event beat EB-RW-00015: a creature signal interrupts the obvious solution.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-da935dc5cd78	B01_C016	B01	EB-RW-00016	wowas::pip_indalwin_willowjayce		The first environmental responses to Pip’s altered condition begin to appear, not as blunt catastrophe but as tonal corruption, biological unease, and pressure in the terrain itself, suggesting that he is now moving through a world that can feel him back. Event beat EB-RW-00016: the group records a consequence before continuing.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-a659bf9f2d02	B01_C017	B01	EB-RW-00017	wowas::pip_indalwin_willowjayce		A more specialized threat enters—something drawn not just to life or power but to fracture-risk itself—forcing Pip to confront an enemy that wants not merely his body, but the breaking point inside him. Event beat EB-RW-00017: choice pressure changes the route.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-36b2f976b84e	B01_C018	B01	EB-RW-00018	wowas::rylos_vayne_johnson | wowas::pip_indalwin_willowjayce		Pip finds a wounded jackrabbit with a broken, poison-lit hind leg in the path of the pursuing threat, and the first appearance of Boojay must land with enough intelligence, beauty, danger, and emotional gravity to justify everything he will later become. Event beat EB-RW-00018: a relationship obligation becomes actionable.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-bc4527fcf5cc	B01_C019	B01	EB-RW-00019	wowas::rylos_vayne_johnson | wowas::pip_indalwin_willowjayce		With danger closing, Pip uses power as shelter rather than weapon and creates the first impossible refuge-space for himself and Boojay, transforming emergency rescue into the first chamber of shared fate. Event beat EB-RW-00019: the ecology pushes back against the plan.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-189fc846425a	B01_C020	B01	EB-RW-00020	wowas::xethrolund_papi | wowas::rylos_vayne_johnson | wowas::mack_willow_father | wowas::pip_indalwin_willowjayce		In the aftermath of the rescue, Pip and Boojay occupy the enclosed refuge together, and Book 1’s opening movement reaches its first great lock: the prophecy is active, Mack is threatened, Xethrolund exists as new thread, and now another central life has been taken into Pip’s fate by direct act. Event beat EB-RW-00020: a world introduction reveals a cost.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-dd3aaeea1b52	B01_C021	B01	EB-RW-00021	wowas::rylos_vayne_johnson | wowas::pip_indalwin_willowjayce		The first enclosed aftermath scene lets the rescue stop being only motion and become bodily reality, as Boojay’s injury, shock, sharpness, and aliveness enter the room fully and Pip must shift from battlefield improvisation into intimate emergency care. Event beat EB-RW-00021: the quest objective changes after evidence.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-246820408b9a	B01_C022	B01	EB-RW-00022	wowas::rylos_vayne_johnson | wowas::pip_indalwin_willowjayce		Still confined together, Pip and Boojay exchange identity in the smallest possible way, and the act of naming in such an impossible chamber becomes the first real bridge between fate and relationship. Event beat EB-RW-00022: a character must trade certainty for movement.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-9b3cf98b807e	B01_C023	B01	EB-RW-00023	wowas::pip_indalwin_willowjayce		Pip examines the leg more closely and discovers that the injury is not merely broken but contaminated by a deeper wrongness, turning bedside care into the first serious diagnostic mystery between them. Event beat EB-RW-00023: a creature signal interrupts the obvious solution.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-75c0b35753a3	B01_C024	B01	EB-RW-00024	wowas::rylos_vayne_johnson | wowas::pip_indalwin_willowjayce		Pip learns that Boojay did not arrive as a random wounded stranger but as someone already caught in a larger violent pattern, and the revelation binds the rescue more tightly to the prophecy-bent world outside. Event beat EB-RW-00024: the group records a consequence before continuing.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-d7c3d4cd50fb	B01_C025	B01	EB-RW-00025			In spite of pain and confinement, a flash of real humor and chemistry cuts through the strain, giving the chamber its first breath of living ease and proving that connection can begin even under extreme pressure. Event beat EB-RW-00025: choice pressure changes the route.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-7fe6b51f05b9	B01_C026	B01	EB-RW-00026			Exhaustion finally forces the question of rest inside the enclosed refuge-space, and the first shared sleep threshold creates a new layer of vulnerability, protection, and unconscious trust neither of them is ready to name. Event beat EB-RW-00026: a relationship obligation becomes actionable.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-6d37d93e25fd	B01_C027	B01	EB-RW-00027			Morning proves the shelter worked, and that proof changes the tone of the enclosed world from desperate improvisation into something more habitable, which makes every emotional development inside it more dangerous. Event beat EB-RW-00027: the ecology pushes back against the plan.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-05742e4fc888	B01_C028	B01	EB-RW-00028			Small practical acts inside the shelter—food, water, rearrangement, treatment, orientation—ground the impossible in ordinary need, and this domesticity inside danger becomes one of the first great relational engines of the series. Event beat EB-RW-00028: a world introduction reveals a cost.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-18e9a0038b88	B01_C029	B01	EB-RW-00029	wowas::rylos_vayne_johnson | wowas::pip_indalwin_willowjayce		Pip tests perception, safety, and the edges of the refuge-space, turning the chamber from miracle into system while Boojay watches, questions, and starts understanding the scale of the person who saved him. Event beat EB-RW-00029: the quest objective changes after evidence.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-daae5698e98f	B01_C030	B01	EB-RW-00030	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce		Pip’s awareness reaches emotionally back toward Mack, and the distance between sanctuary and chamber becomes one of the defining tensions of the middle of Book 1. Event beat EB-RW-00030: a character must trade certainty for movement.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-fd10a4d5066e	B01_C031	B01	EB-RW-00031	wowas::rylos_vayne_johnson | wowas::pip_indalwin_willowjayce		Even trapped in the refuge-space with Boojay, Pip cannot forget the impossible quiet of the blue-light book, and the existence of that thread continues working on him as a second kind of hope. Event beat EB-RW-00031: a creature signal interrupts the obvious solution.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-b6e3b04a0b40	B01_C032	B01	EB-RW-00032			Signs or intuitions from beyond the refuge-space make clear that whatever they are hidden from has not disappeared, keeping urgency alive and preventing comfort from hardening into stasis too early. Event beat EB-RW-00032: the group records a consequence before continuing.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-71aa4eda634d	B01_C033	B01	EB-RW-00033	wowas::rylos_vayne_johnson | wowas::pip_indalwin_willowjayce		Pip recognizes that rescuing Boojay may have been exactly the kind of unpredicted act the prophecy could not account for, and that realization transforms mercy from instinct into world-altering principle. Event beat EB-RW-00033: choice pressure changes the route.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-1ab9474efeb4	B01_C034	B01	EB-RW-00034	wowas::rylos_vayne_johnson | wowas::mack_willow_father		The chamber, the rescue, Mack’s distant danger, the blue-light thread, and Boojay’s presence all lock together into the first stable architecture of the saga, giving Book 1 a real middle-body instead of a string of incidents. Event beat EB-RW-00034: a relationship obligation becomes actionable.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-567aa254105b	B01_C035	B01	EB-RW-00035			The chamber movement closes by refusing contraction; instead of turning inward into a small safe subplot, it launches the book toward its next outward expansion with more weight, more love, and more consequence than before. Event beat EB-RW-00035: the ecology pushes back against the plan.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-2b61d4e3ec92	B01_C036	B01	EB-RW-00036	wowas::pip_indalwin_willowjayce		Pip’s testing of the refuge-space and the returning pressure from outside finally converge into a hard truth: the chamber that saved them cannot remain their whole strategy, and survival now demands movement rather than continued concealment. Event beat EB-RW-00036: a world introduction reveals a cost.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-a9da2cbfbb6b	B01_C037	B01	EB-RW-00037	wowas::rylos_vayne_johnson | wowas::pip_indalwin_willowjayce		Once departure is accepted, the immediate problems become brutally practical: Boojay’s leg, Pip’s available strength, the geography outside, and the reality that rescue only becomes meaningful if it can be sustained beyond the first impossible act. Event beat EB-RW-00037: the quest objective changes after evidence.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-39ffb923b222	B01_C038	B01	EB-RW-00038	wowas::rylos_vayne_johnson | wowas::pip_indalwin_willowjayce		For the first time, Pip and Boojay choose a next move together, and that shared decision transforms their connection from rescuer-and-rescued into the beginning of an actual two-person axis inside the story. Event beat EB-RW-00038: a character must trade certainty for movement.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-efb85b4aadb6	B01_C039	B01	EB-RW-00039	wowas::pip_indalwin_willowjayce		Pip carefully unwinds or releases the impossible refuge-space, and the return of the outer world hits both of them with full sensory and emotional force after the compressed intimacy of the chamber. Event beat EB-RW-00039: a creature signal interrupts the obvious solution.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-84aad1cb5f9f	B01_C040	B01	EB-RW-00040	wowas::rylos_vayne_johnson | wowas::pip_indalwin_willowjayce		The first phase of movement outside the refuge forces Pip and Boojay into physically awkward, emotionally charged cooperation as injury, pride, attraction, danger, and practicality all collide in motion. Event beat EB-RW-00040: the group records a consequence before continuing.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-626300010732	B01_C041	B01	EB-RW-00041			Once they are moving together through the wounded world, the Expanse itself seems to re-read them not as isolated lives but as a joined anomaly, reinforcing that relation changes how fate behaves. Event beat EB-RW-00041: choice pressure changes the route.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-a35544cf294c	B01_C042	B01	EB-RW-00042	wowas::rylos_vayne_johnson | wowas::pip_indalwin_willowjayce		As the journey continues, Boojay’s personality becomes unmistakable through how he speaks, jokes, deflects, and tests while injured, and Pip’s fascination deepens because aliveness keeps breaking through the pain. Event beat EB-RW-00042: a relationship obligation becomes actionable.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-27ba56f23fac	B01_C043	B01	EB-RW-00043	wowas::rylos_vayne_johnson | wowas::pip_indalwin_willowjayce		Boojay draws enough truth out of Pip to make the dream and its emotional force partly speakable again, and the act of saying it to someone new begins transforming prophecy from solitary burden into shared danger. Event beat EB-RW-00043: the ecology pushes back against the plan.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-aa7602c93058	B01_C044	B01	EB-RW-00044	wowas::rylos_vayne_johnson | wowas::mack_willow_father | wowas::pip_indalwin_willowjayce		Through Pip’s telling, Mack enters Boojay’s imagination as more than a tree or shelter and becomes a living vast beloved presence, broadening the emotional world between them and preparing for the future significance of that bond. Event beat EB-RW-00044: a world introduction reveals a cost.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-a6310ac027f9	B01_C045	B01	EB-RW-00045	wowas::rylos_vayne_johnson | wowas::pip_indalwin_willowjayce		Along the road, a smaller immediate problem forces Pip and Boojay to act together on behalf of something vulnerable or endangered, creating the first proof that they function better as a pair than as parallel lives merely sharing route-space. Event beat EB-RW-00045: the quest objective changes after evidence.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-a093dc68d516	B01_C046	B01	EB-RW-00046			Their route finally yields a real directional hope—some sign, orientation line, or tangible indication that sanctuary may be reachable—and that glimpse shifts the emotional weather from pure endurance into dangerous expectation. Event beat EB-RW-00046: a character must trade certainty for movement.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-f45fed4c7433	B01_C047	B01	EB-RW-00047	wowas::rylos_vayne_johnson | wowas::pip_indalwin_willowjayce		As they draw closer to possible safety, the emotional cost of what could still be lost grows sharper, and both Pip and Boojay feel that hope has made them more breakable rather than less. Event beat EB-RW-00047: a creature signal interrupts the obvious solution.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-3366827001f6	B01_C048	B01	EB-RW-00048			This movement closes by consolidating the travel bond, the altered prophecy field, and the possibility of arrival into a stronger middle architecture, so the book can rise into its next expansion without losing what it has already built. Event beat EB-RW-00048: the group records a consequence before continuing.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-3e082b03b343	B01_000	B01	EB-RW-00049			 Event beat EB-RW-00049: choice pressure changes the route.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-73eb2c278240	B01_001	B01	EB-RW-00050			 Event beat EB-RW-00050: a relationship obligation becomes actionable.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-98bfae34d938	B01_002	B01	EB-RW-00051	wowas::mack_willow_father		 Event beat EB-RW-00051: the ecology pushes back against the plan.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-1e4cc5bca1e8	B01_002A	B01	EB-RW-00052			 Event beat EB-RW-00052: a world introduction reveals a cost.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-2de45de7cea2	B01_003	B01	EB-RW-00053			 Event beat EB-RW-00053: the quest objective changes after evidence.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-e468affbdee2	B01_003A	B01	EB-RW-00054			 Event beat EB-RW-00054: a character must trade certainty for movement.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-62159d5346a7	B01_004A	B01	EB-RW-00055			 Event beat EB-RW-00055: a creature signal interrupts the obvious solution.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-1960d5ce8923	B01_004	B01	EB-RW-00056			 Event beat EB-RW-00056: the group records a consequence before continuing.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-1658c5c5643f	B01_005	B01	EB-RW-00057	wowas::xethrolund_papi		 Event beat EB-RW-00057: choice pressure changes the route.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-f11795854252	B01_006	B01	EB-RW-00058			 Event beat EB-RW-00058: a relationship obligation becomes actionable.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-e328458c418d	B01_007	B01	EB-RW-00059			 Event beat EB-RW-00059: the ecology pushes back against the plan.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-7d7ecd6fc24b	B01_008	B01	EB-RW-00060			 Event beat EB-RW-00060: a world introduction reveals a cost.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-1aaff223c151	B01_S246	B01	EB-RW-00061			Future books are loaded through the relationships established here. Event beat EB-RW-00061: the quest objective changes after evidence.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-6199776b47aa	B01_S248	B01	EB-RW-00062			Instead of ending small, Book 1 now points outward toward the larger structure. Event beat EB-RW-00062: a character must trade certainty for movement.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-4323c5877be3	B01_S256	B01	EB-RW-00063			The first book makes clear that rescue did not remove obligation, only redefine it. Event beat EB-RW-00063: a creature signal interrupts the obvious solution.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-50ba927e48c4	B01_S287	B01	EB-RW-00064			Emotional focus sharpens rather than diffuses. Event beat EB-RW-00064: the group records a consequence before continuing.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-4c26e312df6c	B01_S312	B01	EB-RW-00065			Book 1 locks the emotional value of home before the saga asks what it will cost. Event beat EB-RW-00065: choice pressure changes the route.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-f235d3bbe7ef	B01_S353	B01	EB-RW-00066	wowas::rylos_vayne_johnson | wowas::mack_willow_father | wowas::pip_indalwin_willowjayce		The major emotional and symbolic forces of Book 1 finally sit in one structure. Event beat EB-RW-00066: a relationship obligation becomes actionable.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-45d87a59f96e	B01_S360	B01	EB-RW-00067			The emotional sky of the saga is now visibly seeded. Event beat EB-RW-00067: the ecology pushes back against the plan.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-f79f4c060b36	B01_S372	B01	EB-RW-00068			Book 1 makes room for the saga's expansion. Event beat EB-RW-00068: a world introduction reveals a cost.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-111f24cfdfdc	B01_S376	B01	EB-RW-00069			Prophecy remains active beneath the emotional closure. Event beat EB-RW-00069: the quest objective changes after evidence.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-ce536b56e664	B01_S377	B01	EB-RW-00070			The ending gives completion without pretending the danger or longing are over. Event beat EB-RW-00070: a character must trade certainty for movement.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-c88fb2a64c5e	B01_S378	B01	EB-RW-00071			The first book ends with enough emotional, relational, and prophetic force to launch directly into Book 2. Event beat EB-RW-00071: a creature signal interrupts the obvious solution.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-156e11a8f51d	B01_000E	B01	EB-RW-00072			 Event beat EB-RW-00072: the group records a consequence before continuing.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-8cdbcc4efe91	B01_000A	B01	EB-RW-00073	wowas::mack_willow_father		 Event beat EB-RW-00073: choice pressure changes the route.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-472f8a11b449	B01_000H	B01	EB-RW-00075	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce		"Pip's night vision sharpens into a more specific call: the Amethyst Ocean / Amethyst Sea, a feminine ""Find me"" voice, Mack's corruption, betrayal from a familiar shadow, and absolute isolation. This is not just dread; it is the first directional shaping of the long arc. Event beat EB-RW-00075: the ecology pushes back against the plan."		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-4f239644db07	B01_000F	B01	EB-RW-00076			 Event beat EB-RW-00076: a world introduction reveals a cost.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-37752e3a9595	B01_000D	B01	EB-RW-00077			 Event beat EB-RW-00077: the quest objective changes after evidence.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-566c6fd0ac48	B01_000G	B01	EB-RW-00078			 Event beat EB-RW-00078: a character must trade certainty for movement.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-64ed2c19bfdb	B01_003B	B01	EB-RW-00082	wowas::pip_indalwin_willowjayce		Inside the Restricted Section, Pip refuses the obvious loud powers and searches for a different song — finally sensing a black-hole silence in a hidden alcove. Event beat EB-RW-00082: a relationship obligation becomes actionable.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-527221b14a9d	B01_004C	B01	EB-RW-00084	wowas::xethrolund_papi | wowas::pip_indalwin_willowjayce		When Pip writes the prophecy into the blank book, a warm azure channel opens to Xethrolund: ancient synthetic being, former weapon, silent compassionate witness. Event beat EB-RW-00084: a world introduction reveals a cost.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-e101b9912bf5	B01_004B	B01	EB-RW-00085	wowas::pip_indalwin_willowjayce		Pip finds both the obsidian Unmaking scroll case and the anomalous blank book. He rejects the shortcut weapon and chooses the blank book because it demands process, reflection, and creation instead of annihilation. Event beat EB-RW-00085: the quest objective changes after evidence.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-a409ddd4f815	B01_005B	B01	EB-RW-00086	wowas::xethrolund_papi | wowas::pip_indalwin_willowjayce		Xethrolund explains that he cannot simply solve the prophecy from outside the chain. The new thread must be introduced by the current operator — Pip himself. Event beat EB-RW-00086: a character must trade certainty for movement.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-6a3b9b563e23	B01_005A	B01	EB-RW-00087	wowas::xethrolund_papi | wowas::pip_indalwin_willowjayce		For three days Pip and Xethrolund exchange philosophical and technical doctrine. Xethrolund reframes Pip's Oath of Joy as a logical refusal to execute self-destruction. Event beat EB-RW-00087: a creature signal interrupts the obvious solution.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-cee6ac8e5132	B01_17	B01	EB-RW-00103			 Event beat EB-RW-00103: a creature signal interrupts the obvious solution.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-d1ed02f3b573	B01_18	B01	EB-RW-00104			 Event beat EB-RW-00104: the group records a consequence before continuing.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-2057cd5de77f	B01_19	B01	EB-RW-00105			 Event beat EB-RW-00105: choice pressure changes the route.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-b79a598890d6	B01_20	B01	EB-RW-00106	wowas::mack_willow_father		 Event beat EB-RW-00106: a relationship obligation becomes actionable.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-b9e8341acef5	B01_21	B01	EB-RW-00107			 Event beat EB-RW-00107: the ecology pushes back against the plan.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-67a6465e504c	B01_22	B01	EB-RW-00108	wowas::mack_willow_father		 Event beat EB-RW-00108: a world introduction reveals a cost.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-30ebdaa6b2e8	B01_23	B01	EB-RW-00109			 Event beat EB-RW-00109: the quest objective changes after evidence.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-209f20902c96	B01_24	B01	EB-RW-00110			 Event beat EB-RW-00110: a character must trade certainty for movement.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-708a559d83fe	B01_25	B01	EB-RW-00111			 Event beat EB-RW-00111: a creature signal interrupts the obvious solution.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-e74e4d86045b	B01_26	B01	EB-RW-00112	wowas::mack_willow_father		 Event beat EB-RW-00112: the group records a consequence before continuing.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-601dac2748d7	B01_27	B01	EB-RW-00113			 Event beat EB-RW-00113: choice pressure changes the route.		spine-derived-world-anchor	characters|world_introduction|quests	linked
