source_serial	source_type	source_name	source_id	source_url	gazetteer_url	source_claim	source_status	citation_required	pass_1_identity	pass_2_source_claim	pass_3_cross_source_normalization	pass_4_wowas_alignment	pass_5_reader_load	fact_fiction_boundary	seriel_footnote
RWS-79265b9faa20	landmark	Historic Centre of the City of Salzburg	UNESCO-784	https://whc.unesco.org/en/list/784		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-79265b9faa20
RWS-5d2f907d061a	landmark	Palace and Gardens of Schönbrunn	UNESCO-786	https://whc.unesco.org/en/list/786		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-5d2f907d061a
RWS-27ee6ab85ffc	landmark	Butrint	UNESCO-570	https://whc.unesco.org/en/list/570		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-27ee6ab85ffc
RWS-b26c2cb5a434	landmark	Djémila	UNESCO-191	https://whc.unesco.org/en/list/191		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-b26c2cb5a434
RWS-7fb8161a0bbb	landmark	Tassili n'Ajjer	UNESCO-179	https://whc.unesco.org/en/list/179		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-7fb8161a0bbb
RWS-7dd35d6f7a92	landmark	Los Glaciares National Park	UNESCO-145	https://whc.unesco.org/en/list/145		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-7dd35d6f7a92
RWS-0a85910ef6d5	landmark	Iguazu National Park	UNESCO-303	https://whc.unesco.org/en/list/303		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-0a85910ef6d5
RWS-7eaad7bd8328	landmark	Cueva de las Manos, Río Pinturas	UNESCO-936	https://whc.unesco.org/en/list/936		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-7eaad7bd8328
RWS-941ab3130755	landmark	Los Alerces National Park	UNESCO-1526	https://whc.unesco.org/en/list/1526		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-941ab3130755
RWS-1e503c01299d	landmark	ESMA Museum and Site of Memory	UNESCO-1681	https://whc.unesco.org/en/list/1681		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-1e503c01299d
RWS-101ce44f4817	landmark	Qhapaq Ñan, Andean Road System	UNESCO-1459	https://whc.unesco.org/en/list/1459		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-101ce44f4817
RWS-62f8f95c46c6	landmark	Madriu-Perafita-Claror Valley	UNESCO-1160	https://whc.unesco.org/en/list/1160		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-62f8f95c46c6
RWS-34315ef14af6	landmark	Mbanza Kongo	UNESCO-1511	https://whc.unesco.org/en/list/1511		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-34315ef14af6
RWS-332db0e94c96	landmark	Historic Centres of Berat and Gjirokastra	UNESCO-569	https://whc.unesco.org/en/list/569		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-332db0e94c96
RWS-3c021c24f074	landmark	Monastery of Geghard and the Upper Azat Valley	UNESCO-960	https://whc.unesco.org/en/list/960		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-3c021c24f074
RWS-989b07fd9113	landmark	Royal Exhibition Building and Carlton Gardens	UNESCO-1131	https://whc.unesco.org/en/list/1131		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-989b07fd9113
