canonical_character_id	character_id	name	world_role	functional_role	book_anchor	region	house_pressure	background_function	timeline_phases	assigned_scene_count	assigned_scene_ids	relationship_layers	world_state_policy	provenance_status
VAR-CANON-ee0eb1deb866	WC00024	Ashagalendria24	background_actor	threshold mason	B24	xeth glyph yard	Pip-no-path	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B24_OP0001|B24_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-c3079abc0a17	WC00025	Aerdalenevarael25	background_actor	bookbinder	B25	stone fen	Mack-ground	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B25_OP0001|B25_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-6a3d5610366c	WC00026	Aermaelorarel26	background_actor	bridge keeper	B26	pocket sanctuary	Dervish-glass	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B26_OP0001|B26_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-f139520e5a15	WC00027	Aeranorarel27	background_actor	market singer	B27	glass orchard	Vayne	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B27_OP0001|B27_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-1b661f7e8669	WC00028	Aerindradion28	supporting_actor	glass forge worker	B28	neith edge	Null-Heart	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B28_OP0001|B28_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-5e55212dbd19	WC00029	Aerfiracoriaivyiel29	background_actor	ripper survivor	B29	willow-stone county	Iron-Song	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B29_OP0001|B29_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-458bfe3510d1	WC00030	Aeranoriel30	background_actor	map seller	B30	last open gate	Wren-Ash	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B30_OP0001|B30_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-afc79d35163e	WC00031	Aeranorcoriaion31	background_actor	cellar cook	B31	diamond breakland	Thorn-Vayne	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B31_OP0001|B31_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-068d9f3c394a	WC00032	Aeranorluthashdria32	background_actor	triage helper	B32	black-heart ridge	Marso-len	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B32_OP0001|B32_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-6ac9c53e795d	WC00033	Aerindracoriaavel33	supporting_actor	faction runner	B33	ash river	Rolzen-line	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B33_OP0001|B33_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-bacf26ec0ccd	WC00034	Brenendardria34	background_actor	wolf-road scout	B01	morrow market	Kyreal-pack	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B01_C001|B01_C002|B01_C003|B01_C004	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-3706262594a6	WC00035	Aermaelorevaraiel35	background_actor	glyph apprentice	B02	root vale	Xethrolund-glyph	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B02_L001|B02_L002|B02_L003|B02_L004	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-8a4d166515eb	WC00036	Aerfiracoriabrinael36	background_actor	corridor child	B03	ripper tunnel	Pip-no-path	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B03_L001|B03_L002|B03_L003|B03_L004	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-4654ffcd49b0	WC00037	Ashaelionquartziel37	background_actor	field healer	B04	cello field	Mack-ground	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B04_L001|B04_L002|B04_L003|B04_L004	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-6644480019db	WC00038	Aerdalenamardion38	supporting_actor	cavern farmer	B05	blue-light road	Dervish-glass	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B05_001A|B05_001|B05_002|B05_003	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-6a42f46eebf8	WC00039	Aermaeloramaraeliel39	background_actor	garden watcher	B06	xeth glyph yard	Vayne	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B06_OP0001|B06_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-1591a22b5b76	WC00040	Aerindraion40	background_actor	stone archivist	B07	stone fen	Null-Heart	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B07_OP0001	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-14770a5d9eb2	WC00041	Aerdalenamarbriniel41	background_actor	orchard guard	B08	pocket sanctuary	Iron-Song	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B08_OP0001|B08_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-682ad25bf76f	WC00042	Ashaavelindraael42	background_actor	sonomancy listener	B09	glass orchard	Wren-Ash	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B09_OP0001|B09_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-c33c2aeb9776	WC00043	Aerdalenianen43	supporting_actor	tunnel witness	B10	neith edge	Thorn-Vayne	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B10_OP0001|B10_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-5dff7a886097	WC00044	Aerdalenamariel44	background_actor	threshold mason	B11	willow-stone county	Marso-len	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B11_OP0001|B11_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-46f903ef912f	WC00045	Ashajoraarel45	background_actor	bookbinder	B12	last open gate	Rolzen-line	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B12_OP0001|B12_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-5f7580fcb5a7	WC00046	Aerdalenianendaraen46	background_actor	bridge keeper	B13	diamond breakland	Kyreal-pack	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B13_OP0001|B13_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-1ef69f4b4303	WC00047	Aeranoramarelle47	background_actor	market singer	B14	black-heart ridge	Xethrolund-glyph	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B14_OP0001|B14_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-cce1e731185e	WC00048	Aerdalenarel48	supporting_actor	glass forge worker	B15	ash river	Pip-no-path	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B15_OP0001|B15_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-c76188b7ae24	WC00049	Aerdalenevaramossel49	background_actor	ripper survivor	B16	morrow market	Mack-ground	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B16_OP0001|B16_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-e51dcbea7294	WC00050	Aeranoraen50	background_actor	map seller	B17	root vale	Dervish-glass	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B17_OP0001|B17_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-764b46eb0db6	WC00051	Aeranorluthelle51	background_actor	cellar cook	B18	ripper tunnel	Vayne	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B18_OP0001|B18_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-c4caf67c48ed	WC00052	Aeranorluthhaloren52	background_actor	triage helper	B19	cello field	Null-Heart	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B19_OP0001|B19_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-720cb73cd2cb	WC00053	Aerdalenluthaeliven53	supporting_actor	faction runner	B20	blue-light road	Iron-Song	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B20_OP0001|B20_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-cf9d1e2b96eb	WC00054	Aerdalenamardria54	background_actor	wolf-road scout	B21	xeth glyph yard	Wren-Ash	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B21_OP0001|B21_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-25f2336f1fb1	WC00055	Aerdalenevaraion55	background_actor	glyph apprentice	B22	stone fen	Thorn-Vayne	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B22_OP0001|B22_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-c227def3f897	WC00056	Aerindrael56	background_actor	corridor child	B23	pocket sanctuary	Marso-len	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B23_OP0001|B23_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-4d93b7ed247e	WC00057	Aerdalencoriaarel57	background_actor	field healer	B24	glass orchard	Rolzen-line	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B24_OP0001|B24_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-4e685c6956c8	WC00058	Aerdalenamarel58	supporting_actor	cavern farmer	B25	neith edge	Kyreal-pack	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B25_OP0001|B25_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-3499dcfb7778	WC00059	Aerdalenianmossaen59	background_actor	garden watcher	B26	willow-stone county	Xethrolund-glyph	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B26_OP0001|B26_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-d3bb53fdc844	WC00060	Aerdalengroveelle60	background_actor	stone archivist	B27	last open gate	Pip-no-path	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B27_OP0001|B27_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-3ecc1d6d7f61	WC00061	Aerfiraianiven61	background_actor	orchard guard	B28	diamond breakland	Mack-ground	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B28_OP0001|B28_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-1f997aefb410	WC00062	Aerdalenluthaelaria62	background_actor	sonomancy listener	B29	black-heart ridge	Dervish-glass	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B29_OP0001|B29_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-ce0ec1fd142c	WC00063	Aermaelorluthelle63	supporting_actor	tunnel witness	B30	ash river	Vayne	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B30_OP0001|B30_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-b1228a208930	WC00064	Aeranorianhaloraen64	background_actor	threshold mason	B31	morrow market	Null-Heart	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B31_OP0001|B31_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-0972f6814d8f	WC00065	Aermaeloraen65	background_actor	bookbinder	B32	root vale	Iron-Song	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B32_OP0001|B32_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-faa32ce5aa6a	WC00066	Aeranorianendariven66	background_actor	bridge keeper	B33	ripper tunnel	Wren-Ash	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B33_OP0001|B33_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-fbda1b366668	WC00067	Aerdalenmarrowdion67	background_actor	market singer	B01	cello field	Thorn-Vayne	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B01_C001|B01_C002|B01_C003|B01_C004	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-8228ea7132c3	WC00068	Aeranormireiven68	supporting_actor	glass forge worker	B02	blue-light road	Marso-len	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B02_L001|B02_L002|B02_L003|B02_L004	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-e7f9aa9638d4	WC00069	Ashajoradalenen69	background_actor	ripper survivor	B03	xeth glyph yard	Rolzen-line	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B03_L001|B03_L002|B03_L003|B03_L004	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-c48f00831101	WC00070	Aerdalenamarion70	background_actor	map seller	B04	stone fen	Kyreal-pack	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B04_L001|B04_L002|B04_L003|B04_L004	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-b1a8d103f171	WC00071	Aerindracoriaael71	background_actor	cellar cook	B05	pocket sanctuary	Xethrolund-glyph	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B05_001A|B05_001|B05_002|B05_003	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-f3e0e8252ea8	WC00072	Aerindradria72	background_actor	triage helper	B06	glass orchard	Pip-no-path	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B06_OP0001|B06_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-be9a25a43d9b	WC00073	Aeranorcoriael73	supporting_actor	faction runner	B07	neith edge	Mack-ground	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B07_OP0001	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-04ac3e835e50	WC00074	Aeranorianael74	background_actor	wolf-road scout	B08	willow-stone county	Dervish-glass	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B08_OP0001|B08_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-30635b47502a	WC00075	Aerfiraevaraaelael75	background_actor	glyph apprentice	B09	last open gate	Vayne	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B09_OP0001|B09_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
