serial	domain	name	source_refs	term_hits	interaction_layers	generator_status	status
WDM-FACTION-96ce332d7d12	faction	S230 The-Beat-Closes-on-Changed-Home-Law	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-553930059b04	faction	The oasis will not go	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-98b628043a22	faction	back to exactly what it	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-67cc94014259	faction	was before the rescue	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-e287322e40b0	faction	begin to rhyme	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-2d4c87909a7e	faction	S239 Rylos Vayne Johnson-Understands-He-Brought-Danger-But-Is-Not-Only-Danger	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-cd1dd0ddc267	faction	His guilt and value coexist	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-6cf577ef21ad	faction	S240 The-Beat-Ends-on-Preparation-Not-Panic	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-5e01f62e857b	faction	The house is still whole	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-9c46eaf61b75	faction	but everyone is now angled	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house|order	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-699db868ea5d	faction	toward what comes next	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house|order	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-a1cda5466860	faction	B01	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house|order	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-0581f743d459	faction	The First Book Finds Its	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house|order	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-f24dde56cfdd	faction	"Larger Shape
target"	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt|canon/canonical_story_tree/books/Book_16_The_Deepening_World/book_content.txt	house|order	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-7fb9e46ce1f1	faction	scenes	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt|canon/canonical_story_tree/books/Book_02_The_Diary_And_The_Blue_Light/book_content.txt|canon/canonical_story_tree/books/Book_03_The_First_Thread/book_content.txt|canon/canonical_story_tree/books/Book_04_Crocodile_Smile/book_content.txt|canon/canonical_story_tree/books/Book_05_Runes_And_Wound/book_content.txt|canon/canonical_story_tree/books/Book_10_Mack_Falls/book_content.txt|canon/canonical_story_tree/books/Book_11_The_Portal_Opens/book_content.txt|canon/canonical_story_tree/books/Book_12_Stasis/book_content.txt|canon/canonical_story_tree/books/Book_13_The_Afterwake/book_content.txt|canon/canonical_story_tree/books/Book_14_The_Long_Reorientation/book_content.txt|canon/canonical_story_tree/books/Book_15_Suffocating_In_Silence/book_content.txt|canon/canonical_story_tree/books/Book_16_The_Deepening_World/book_content.txt|canon/canonical_story_tree/books/Book_17_Black_Heart_Scar/book_content.txt|canon/canonical_story_tree/books/Book_18_Strange_Gravity/book_content.txt|canon/canonical_story_tree/books/Book_19_The_Cracking_Core/book_content.txt|canon/canonical_story_tree/books/Book_20_The_Beforemath/book_content.txt|canon/canonical_story_tree/books/Book_21_The_Final_Descent/book_content.txt|canon/canonical_story_tree/books/Book_22_The_Last_Open_Gate/book_content.txt|canon/canonical_story_tree/books/Book_23_The_Final_Resonance/book_content.txt|canon/canonical_story_tree/books/Book_24_Born_To_Die/book_content.txt|canon/canonical_story_tree/books/Book_25_Death_Is_Rebirth/book_content.txt	house|order	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-9abda59f2cbc	faction	S241 Pip-Looks-Back-at-the-Road-From-Within-Shelter	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house|order	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-0db6d15fe8d7	faction	to exist in practical daylight	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-aa1cc7e93659	faction	discourse	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-80c0639c27a5	faction	S300 Rylos Vayne Johnson-Hears-the-Blue-Light-Not-as-Fantasy-but-as-Law-in-Formation	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-b946dcb56e76	faction	His understanding deepens beyond curiosity	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-063e76fc0c31	faction	S301 The-Household-Starts-Making-Room-for-Strangeness	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-d1aab03c0cba	faction	Sanctuary becomes	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-b110cf2b3961	faction	place where prophecy can coexist	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-4cf91885582e	faction	with ordinary living	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-73657366a813	faction	S302 Daylight-Does-Not-Make-the-Thread-Less-Magical	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-bdc0db5b1eb4	faction	Instead	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-3f6b8d179e6c	faction	every room he enters	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-6ffc8ab71633	faction	S314 Wit-Becomes-a-Structural-Force	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-d764ff9e8f39	faction	His humor starts cutting tension	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-66d3fe9eac6c	faction	exposing weakness	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-e00c8ff71283	faction	and creating attachment in ways	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-bcaa400e7dd3	faction	nobody can fully control	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-15e0320e22f8	faction	S315 The-Household-Adjusts-to-His-Tempo	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-b80e63c6d01d	faction	Others begin unconsciously timing speech	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-21a0d94729d0	faction	care	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt|canon/canonical_story_tree/books/Book_14_The_Long_Reorientation/book_content.txt	house|order	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-b4c49cdf08bb	faction	and expectation around his rhythms	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-19bbd08831ca	faction	S316 Injury-Does-Not-Reduce-His-Impact	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-1d156e969a31	faction	Even wounded	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-a96949b8f240	faction	he is not passive matter	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-8ebb468c0e5a	faction	as someone who almost died	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-84baeac17b4d	faction	S340 Pip-Realizes-He-Wants-More-Than-Rylos-Survival	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-1a5723c2933f	faction	He wants his healing	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-f3bdfce4c8ce	faction	laughter	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-2526049bce9d	faction	and continued becoming	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-ab5c62848266	faction	S341 Mack-Allows-the-Boy-a-Future-Within-the-Household	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-d0757e81b1b3	faction	Even without full declaration	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-865db595c936	faction	Mack's treatment of him opens	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-6f132a47a70d	faction	future possibility	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-4feb5e325206	faction	S342 Rylos Vayne Johnson-Struggles-to-Trust-Continuance	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-402e2dd44760	faction	Survival was one threshold	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-7e4a7c0c088a	faction	staying	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-7915d78cfd85	faction	book	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt|canon/canonical_story_tree/books/Book_02_The_Diary_And_The_Blue_Light/book_content.txt|canon/canonical_story_tree/books/Book_03_The_First_Thread/book_content.txt|canon/canonical_story_tree/books/Book_04_Crocodile_Smile/book_content.txt|canon/canonical_story_tree/books/Book_05_Runes_And_Wound/book_content.txt|canon/canonical_story_tree/books/Book_10_Mack_Falls/book_content.txt|canon/canonical_story_tree/books/Book_11_The_Portal_Opens/book_content.txt|canon/canonical_story_tree/books/Book_12_Stasis/book_content.txt|canon/canonical_story_tree/books/Book_13_The_Afterwake/book_content.txt|canon/canonical_story_tree/books/Book_14_The_Long_Reorientation/book_content.txt|canon/canonical_story_tree/books/Book_15_Suffocating_In_Silence/book_content.txt|canon/canonical_story_tree/books/Book_16_The_Deepening_World/book_content.txt|canon/canonical_story_tree/books/Book_17_Black_Heart_Scar/book_content.txt|canon/canonical_story_tree/books/Book_18_Strange_Gravity/book_content.txt|canon/canonical_story_tree/books/Book_19_The_Cracking_Core/book_content.txt|canon/canonical_story_tree/books/Book_20_The_Beforemath/book_content.txt|canon/canonical_story_tree/books/Book_21_The_Final_Descent/book_content.txt|canon/canonical_story_tree/books/Book_22_The_Last_Open_Gate/book_content.txt|canon/canonical_story_tree/books/Book_23_The_Final_Resonance/book_content.txt|canon/canonical_story_tree/books/Book_24_Born_To_Die/book_content.txt|canon/canonical_story_tree/books/Book_25_Death_Is_Rebirth/book_content.txt	house|order	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-f586b9ad1ee6	faction	"Choices Make World

Everyone-Adjusts-Differently"	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-519011c6c5a3	faction	Pips	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-99ef9c0ecffd	faction	Role	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt|canon/canonical_story_tree/world/wowas_world_zone_map.json	faction|house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-e2076dcc69b2	faction	Changes	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt|canon/canonical_story_tree/books/Book_03_The_First_Thread/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-da04520159db	faction	Inside	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-5f8cf59eed8e	faction	the	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt|canon/canonical_story_tree/books/Book_02_The_Diary_And_The_Blue_Light/book_content.txt|canon/canonical_story_tree/books/Book_03_The_First_Thread/book_content.txt	house|order	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-0e27c2c68231	faction	"Pips-Role-Changes-Inside-the-Household

scene"	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-FACTION-801fe32dc34d	faction	"S223
beat"	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	house	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
