=== Braxon branches ===
2026-08-17T05:17:41+00:00
origin/worker-execution-final\tb3741fabdac4c10f0ad7848c4e58594a6b58dac5\t2026-08-16 21:06:12 -0500\tAdd end-to-end NSQ/Braxon validation workflow
origin/worker-execution-live\tb3741fabdac4c10f0ad7848c4e58594a6b58dac5\t2026-08-16 21:06:12 -0500\tAdd end-to-end NSQ/Braxon validation workflow
origin/worker-execution\tb3741fabdac4c10f0ad7848c4e58594a6b58dac5\t2026-08-16 21:06:12 -0500\tAdd end-to-end NSQ/Braxon validation workflow
origin/wowas-full-construction-20260816\tbeb43df7ff02e870cc692acc998f4416bc3d5262\t2026-08-16 19:30:46 -0500\tWOWAS: run exhaustive TSV reconstruction on repository checkout
origin/wowas-full-construction\t0a6bfd1246b5d853600f535600c9638571d754f5\t2026-08-16 18:47:39 -0500\tdocs: initialize standalone WOWAS world reconstruction workspace
origin/wowas/full-construction-20260816\t0a6bfd1246b5d853600f535600c9638571d754f5\t2026-08-16 18:47:39 -0500\tdocs: initialize standalone WOWAS world reconstruction workspace
origin\t3108b021d6eb6ebc6b74b5c02c63b3b7e67248d0\t2026-08-16 19:46:50 -0500\tNSQ: add exhaustive sectioned source-to-NSQ ingestion
=== Braxon branch tree metrics ===
branch	commit	files	bytes	ahead_main	behind_main	added	deleted
HEAD	3108b021d6eb	180365	6678	0	0	0	0
Maine	3108b021d6eb	180365	6678	0	0	0	0
audit/diversity-transmedia-2026-08-09	7804fcdccba1	180361	6599	0	4	0	4
braxon-current-preserve-20260507-172011	ced6af253888	11771	2369	0	8	3	168597
braxon-dirty-preserve-20260507-172531	92257c89b7bf	11736	1915	1	24	143	168772
braxon-final-cohesive-stack-20260816	3108b021d6eb	180365	6678	0	0	0	0
codex/seed-citadel-completion	2253f590dabe	180377	6599	20	4	16	4
main	3108b021d6eb	180365	6678	0	0	0	0
nsq-cohesion-rebuild-20260816	ced6af253888	11771	2369	0	8	3	168597
nsq-cohesive-rebuild-20260816	e35e69729f40	11777	2369	1	8	9	168597
nsq-final-reconstruction-20260816	373fbba95919	11779	2369	8	8	11	168597
phone/citadel699-route-gates-20260508_165115	06f7c9abe018	180361	6599	0	6	0	4
reconstruction	4ad8793de373	180398	6831	3	0	33	0
reconstruction-final-20260816	56abe679e12b	180369	6799	8	0	4	0
reconstruction-final-20260816-worker-test	b3741fabdac4	180367	6766	5	0	2	0
triage	b5cbe4f01ae2	180881	7153	1	6	543	27
worker-execution	b3741fabdac4	180367	6766	5	0	2	0
worker-execution-2	b3741fabdac4	180367	6766	5	0	2	0
worker-execution-3	b3741fabdac4	180367	6766	5	0	2	0
worker-execution-final	b3741fabdac4	180367	6766	5	0	2	0
worker-execution-live	b3741fabdac4	180367	6766	5	0	2	0
wowas-full-construction	0a6bfd1246b5	180362	6640	0	3	0	3
wowas-full-construction-20260816	beb43df7ff02	180374	6674	12	3	12	3
wowas/full-construction-20260816	0a6bfd1246b5	180362	6640	0	3	0	3
