dynamic_id	from_character	to_character	relation_type	polarity	orbit_scope	first_book	last_book	active_books	pressure_translation	wonder_fear_effect	source_basis	prose_policy
orbit:00012	Pip (Indalwin Willowjayce)	Dervish	book_copresence	mixed	book_co_presence	1	24	B01,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00013	Pip (Indalwin Willowjayce)	Mack	book_copresence	mixed	book_co_presence	1	24	B01,B02,B03,B04,B05,B06,B07,B09,B10,B11,B12,B13,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00014	Pip (Indalwin Willowjayce)	Majiskii	pack_bond	protective	books_2_25	1	25		Majiskii remains part of Pip’s loyal dog-orbit and later grounds rooms and thresholds.	wonder_from_wreckage	canon_fix_manual	metadata only; no generated prose
orbit:00015	Pip (Indalwin Willowjayce)	Rolzen	unshakable_interdependence	healing	books_15_25	1	25		Rolzen/Pip are the corrective arc to collapse; full return, mutual investment, survival bond.	wonder_from_wreckage	canon_fix_manual	metadata only; no generated prose
orbit:00016	Pip (Indalwin Willowjayce)	Solvaenkyr	book_copresence	mixed	book_co_presence	1	9	B01,B06,B09	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00017	Pip (Indalwin Willowjayce)	Xethrolund	book_copresence	mixed	book_co_presence	1	24	B01,B02,B03,B04,B05,B06,B09,B10,B11,B12,B13,B14,B15,B16,B17,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00018	Rolzen	Xethrolund	co_protector	mixed	books_18_25	1	25		Both become catastrophic counterforce engines when Pip is near collapse.	unstable_mixed_field	canon_fix_manual	metadata only; no generated prose
orbit:00019	Rylos (Rylos Vayne Johnson)	Neith	mother_harvester	corrosive	books_1_25	1	25		Neith created the Diamond and harvested through Rylos; accountability never erases the maternal wound.	fear_through_deformation	canon_fix_manual	metadata only; no generated prose
orbit:00020	Rylos Vane	King of the Cockatrice	damaged_devotion	parasitic	series_spine	1	25		Cockatrice drives control/collapse dynamics; structural decay embodiment.	fear_through_deformation	character_lattice.json	metadata only; no generated prose
orbit:00021	Solvaenkyr	Dervish	book_copresence	mixed	book_co_presence	1	1	B01	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00022	Solvaenkyr	Indalwin Willowjayce	companion_support_loop	mixed	series_spine	1	25		Faith-fixer classmate repeatedly helps others (including Indalwin) to avoid their own pain; refuses receiving help. Appears stable far longer than expected.	unstable_mixed_field	character_lattice.json	metadata only; no generated prose
orbit:00023	Xethrolund	Dervish	book_copresence	mixed	book_co_presence	1	24	B01,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00024	Xethrolund	Rylos (Rylos Vayne Johnson)	strange_gravity_to_late_love	mixed	books_18_25	1	25		Their search for Pip turns fight into alliance, then into a difficult, accountability-bearing love.	unstable_mixed_field	canon_fix_manual	metadata only; no generated prose
orbit:00025	Xethrolund	Solvaenkyr	book_copresence	mixed	book_co_presence	1	9	B01,B06,B09	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00026	Daisy May	Majiskii	book_copresence	mixed	book_co_presence	2	24	B02,B04,B05,B07,B08,B09,B12,B13,B14,B15,B16,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00027	Mack	Daisy May	book_copresence	mixed	book_co_presence	2	9	B02,B04,B05,B06,B07,B09	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00028	Mack	Majiskii	book_copresence	mixed	book_co_presence	2	9	B02,B04,B05,B07,B09	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00029	Mack	Rylos (Rylos Vayne Johnson)	book_copresence	mixed	book_co_presence	2	10	B02,B03,B04,B06,B10	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00030	Pip (Indalwin Willowjayce)	Daisy May	book_copresence	mixed	book_co_presence	2	24	B02,B04,B05,B06,B07,B08,B09,B12,B13,B14,B15,B16,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00031	Pip (Indalwin Willowjayce)	Majiskii	book_copresence	mixed	book_co_presence	2	24	B02,B04,B05,B07,B08,B09,B12,B13,B14,B15,B16,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00032	Pip (Indalwin Willowjayce)	Rylos (Rylos Vayne Johnson)	book_copresence	mixed	book_co_presence	2	24	B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B15,B16,B17,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00033	Rylos (Rylos Vayne Johnson)	Daisy May	book_copresence	mixed	book_co_presence	2	24	B02,B04,B05,B06,B07,B09,B15,B16,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00034	Rylos (Rylos Vayne Johnson)	Majiskii	book_copresence	mixed	book_co_presence	2	24	B02,B04,B05,B07,B09,B15,B16,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00035	Xethrolund	Daisy May	book_copresence	mixed	book_co_presence	2	24	B02,B04,B05,B06,B09,B12,B13,B14,B15,B16,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00036	Xethrolund	Majiskii	book_copresence	mixed	book_co_presence	2	24	B02,B04,B05,B09,B12,B13,B14,B15,B16,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00037	Xethrolund	Rylos (Rylos Vayne Johnson)	book_copresence	mixed	book_co_presence	2	19	B02,B03,B04,B06,B11,B15,B16,B17,B19	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00038	Xethrolund	Mack	book_copresence	mixed	book_co_presence	3	24	B03,B04,B06,B11,B12,B13,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00039	Rylos (Rylos Vayne Johnson)	Mack	book_copresence	mixed	book_co_presence	5	24	B05,B07,B09,B11,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00040	Rylos (Rylos Vayne Johnson)	Xethrolund	book_copresence	mixed	book_co_presence	5	24	B05,B09,B10,B18,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00041	Rylos (Rylos Vayne Johnson)	Solvaenkyr	book_copresence	mixed	book_co_presence	6	9	B06,B09	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00042	Solvaenkyr	Daisy May	book_copresence	mixed	book_co_presence	6	6	B06	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00043	Daisy May	Rylos (Rylos Vayne Johnson)	book_copresence	mixed	book_co_presence	8	8	B08	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00044	Majiskii	Rylos (Rylos Vayne Johnson)	book_copresence	mixed	book_co_presence	8	8	B08	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00045	Daisy May	Solvaenkyr	book_copresence	mixed	book_co_presence	9	9	B09	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00046	Majiskii	Solvaenkyr	book_copresence	mixed	book_co_presence	9	9	B09	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00047	Daisy May	Mack	book_copresence	mixed	book_co_presence	12	24	B12,B13,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00048	Majiskii	Mack	book_copresence	mixed	book_co_presence	12	24	B12,B13,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00049	Pip (Indalwin Willowjayce)	Lincoln County Coast	intuitive_geographic_bond	mythic	books_14_16	14	16	B14,B15,B16	The oceanic dream is not symbolic; Oregon coastal water physically recognizes and claims Pip when touched.	unstable_mixed_field	author_locked_corridor_extension	metadata only; no generated prose
orbit:00050	Pip (Indalwin Willowjayce)	Rolzen	book_copresence	mixed	book_co_presence	15	24	B15,B16,B17,B18,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00051	Rolzen	Daisy May	book_copresence	mixed	book_co_presence	15	24	B15,B16,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00052	Rolzen	Majiskii	book_copresence	mixed	book_co_presence	15	24	B15,B16,B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00053	Rolzen	Rylos (Rylos Vayne Johnson)	book_copresence	mixed	book_co_presence	15	19	B15,B16,B17,B19	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00054	Rolzen	Xethrolund	book_copresence	mixed	book_co_presence	15	19	B15,B16,B17,B19	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00055	Pip (Indalwin Willowjayce)	Ada/Bannock Idaho corridor	dream_to_document_proof	healing	books_16_17	16	17	B16,B17	Pip's intuition is confirmed by ruined brochures and roadside proof, turning dream-pressure into navigable route logic.	wonder_from_wreckage	author_locked_corridor_extension	metadata only; no generated prose
orbit:00056	Pip (Indalwin Willowjayce)	Zaz	revelatory_companion	mixed	books_16_25	16	25	B16,B17,B18,B19,B20,B21,B22,B23,B24,B25	Zaz surfaces what Pip does not focus on: humor, beauty, discomfort, social consequence, and the feeling in the room around the task.	wonder_from_wreckage	author_locked_corridor_extension	metadata only; no generated prose
orbit:00057	Daisy May	Pip (Indalwin Willowjayce)	calm_witness_to_transformation	protective	books_17_18	17	18	B17,B18	Daisy May reads the geode shell and wing-event as belonging rather than emergency and therefore steadies the page while everyone else panics.	wonder_from_wreckage	author_locked_corridor_extension	metadata only; no generated prose
orbit:00058	Majiskii	Pip (Indalwin Willowjayce)	uncanny_witness_to_transformation	mixed	books_17_18	17	18	B17,B18	Majiskii treats the shell event with alert interest rather than fear, marking it as a life-process rather than a prison.	unstable_mixed_field	author_locked_corridor_extension	metadata only; no generated prose
orbit:00059	Pip (Indalwin Willowjayce)	Onondaga geode shell	forced_metamorphosis	mythic	books_17_18	17	18	B17,B18	The dragon-shell geode hardens against rescue attempts because the event must finish internally; it is a metamorphic chamber, not an obstacle.	wonder_from_wreckage	author_locked_corridor_extension	metadata only; no generated prose
orbit:00060	Rolzen	Pip (Indalwin Willowjayce)	protective_response_to_transformation	protective	books_17_19	17	19	B17,B18,B19	Rolzen answers the shell and wing eruption with body-forward guardianship and combat adaptation, not withdrawal.	wonder_from_wreckage	author_locked_corridor_extension	metadata only; no generated prose
orbit:00061	Rylos (Rylos Vayne Johnson)	Pip (Indalwin Willowjayce)	mirror_pressure_under_transformation	mixed	books_17_19	17	19	B17,B18,B19	Rylos is forced to witness a form of Pip that is beautiful, dangerous, and no longer interpretable through the old control grammar.	unstable_mixed_field	author_locked_corridor_extension	metadata only; no generated prose
orbit:00062	Xethrolund	Pip (Indalwin Willowjayce)	coded_witness_to_transformation	protective	books_17_19	17	19	B17,B18,B19	Xethrolund reads the shell and wing event as lawful reality under unfamiliar parameters and stays engaged instead of trying to dominate the process.	wonder_from_wreckage	author_locked_corridor_extension	metadata only; no generated prose
orbit:00063	Rylos (Rylos Vayne Johnson)	Pip (Indalwin Willowjayce)	book_copresence	mixed	book_co_presence	18	18	B18	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00064	Rylos (Rylos Vayne Johnson)	Rolzen	book_copresence	mixed	book_co_presence	18	24	B18,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00065	Xethrolund	Pip (Indalwin Willowjayce)	book_copresence	mixed	book_co_presence	18	18	B18	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00066	Xethrolund	Rolzen	book_copresence	mixed	book_co_presence	18	24	B18,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00067	Daisy May	Neith	book_copresence	mixed	book_co_presence	19	19	B19	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00068	Mack	Neith	book_copresence	mixed	book_co_presence	19	19	B19	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00069	Majiskii	Neith	book_copresence	mixed	book_co_presence	19	19	B19	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00070	Pip (Indalwin Willowjayce)	Neith	book_copresence	mixed	book_co_presence	19	24	B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00071	Pip (Indalwin Willowjayce)	Oklahoma City corridor	return_pressure	mixed	books_19_20	19	20	B19,B20	Oklahoma City receives the cave-state metamorphosis back into survivor density, making return feel like reinsertion into a wounded but still building civic body.	unstable_mixed_field	author_locked_corridor_extension	metadata only; no generated prose
orbit:00072	Rolzen	Mack	book_copresence	mixed	book_co_presence	19	24	B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00073	Rolzen	Neith	book_copresence	mixed	book_co_presence	19	19	B19	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00074	Rylos (Rylos Vayne Johnson)	Neith	book_copresence	mixed	book_co_presence	19	24	B19,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00075	Xethrolund	Neith	book_copresence	mixed	book_co_presence	19	19	B19	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00076	Daisy May	Dervish	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00077	Daisy May	Ursula	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00078	Dervish	Ursula	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00079	Mack	Ursula	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00080	Majiskii	Dervish	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00081	Majiskii	Ursula	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00082	Neith	Daisy May	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00083	Neith	Dervish	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00084	Neith	Mack	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00085	Neith	Majiskii	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00086	Neith	Rolzen	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00087	Neith	Ursula	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00088	Neith	Xethrolund	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00089	Pip (Indalwin Willowjayce)	Ursula	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00090	Rolzen	Dervish	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00091	Rolzen	Ursula	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00092	Rylos (Rylos Vayne Johnson)	Dervish	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00093	Rylos (Rylos Vayne Johnson)	Ursula	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00094	Xethrolund	Ursula	book_copresence	mixed	book_co_presence	24	24	B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
