canonical_id	canonical_name	source_reference	abstract_mechanisms	originality_rule	disallowed_copying	realization_use
wowas::seth_velthane_ironsong	Seth Vel'Thane Iron-Song		unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::ithren_velthane_ashcinder	Ithren Vel'Thane Ash-Cinder	Ollivander | The Ancient One	unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::tavan_velthane_stonehayne	Tavan Vel'Thane Stone-Hayne		unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::glint	Glint		unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::reth_nullheart	Reth Null-Heart		unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::aenwyn	Aenwyn	Lavender Brown	relationship_ambivalence	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::reval	Reval		unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::caera	Caera	Littlefinger inverse | Nathalie/Lupin	unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::pethran	Pethran	Hephaestus | Christopher Wren	unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::feritha	Feritha		unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::selwyn	Selwyn		protective_care	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::renath	Renath		unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::broker_teth_unmarked	Broker Teth Unmarked	Han Solo | Tyrion Lannister	strategic_conflict	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::keeper_olvath_archive	Keeper Olvath of the Resonance Archive		precision_memory	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::trademaster_saven_coalfire	Trade Master Saven Coalfire	Lobelia Sackville-Baggins reformed | Molly Weasley market mode	embodied_place	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::healer_thresh_nightbloom	Healer Thresh Nightbloom	The Ancient One | River Tam	unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::sentry_vreth_ashkoral	Sentry Captain Vreth Ash'Koral	Brienne of Tarth | Sergeant Carter inverse	unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::highwarden_drest	High Warden Drest Ashkoral-Prime		strategic_conflict	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::accord_chair_peln	Accord Chair Peln Ironspoke	Atticus Finch | Arthur Weasley	unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::resonance_elder_maev	Resonance Council Elder Maev	Yoda inverse | Dumbledore	unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::meridian_archhealer_sova	Meridian Arch-Healer Sova		protective_care	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::ferryman_calix_grey	Ferryman Calix the Grey	Charon | Aslan as door-warden	threshold_wonder | embodied_place	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::voice_caster_milo_stillsound	Voice Caster Milo Stillsound		embodied_place	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::alex_market_guardian	Alex		relationship_ambivalence	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::eyeless_city_governor	Eyeless City Governor		embodied_place	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::silence_death_warden	Unnamed Warden Friend (dies Book 15)		comic_relief_with_teeth | voice_restraint	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::ripper_prime	Ripper-Prime	Ungoliant | The Thing	unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::cockatrice_king	King of the Cockatrice		transformation_pressure	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
