canonical_id	canonical_name	aliases	tier	pronouns	age	species	first_book	last_book	faction	role	locked_traits	shadow	magic	sources	voice_constraint	pressure_response	dynamic_function	relationship_functions	timeline_fields	source_registry	prose_policy
wowas::solvaenkyr_faithfixer	Solvaenkyr		1	they/them			1	25	none (Diamond-era classmate)	Faith-Fixer / wraith-state endpoint	Sol+Vaen+Kyr naming fate | rapid threshold NOT gradual | intelligent wraith-state endpoint Book 09 | care still present / capacity to receive care gone			Giles inverse | Susan Pevensie inverse	Faith-Fixer / wraith-state endpoint	active	Rylos hears of Pip's abduction. Launches independent rescue mission. | Xethrolund hears of Pip's abduction. Calculates. Moves. | They encounter each other. Fight. Devastating. Both.		"{""activity_mode"": ""active"", ""book_function_notes"": ""Rylos hears of Pip's abduction. Launches independent rescue mission. | Xethrolund hears of Pip's abduction. Calculates. Moves. | They encounter each other. Fight. Devastating. Both."", ""book_num"": ""18"", ""book_title"": ""Strange Gravity"", ""canonical_name"": ""Solvaenkyr"", ""character_code"": ""wowas::solvaenkyr_faithfixer"", ""dimension_overlay"": ""none"", ""faction"": ""none (Diamond-era classmate)"", ""first_active_scene"": ""B18_M003"", ""last_active_scene"": ""B18_M059"", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""neith_border_silence_realms"", ""role_summary"": ""Faith-Fixer / wraith-state endpoint"", ""source_basis"": ""scene_index_inference"", ""timeline_band_code"": ""B18"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::wrenath_velthane_stillwater	Wrenath Vel'Thane Still-Water		1	he/him			1	25	Resonance	historian / diplomat / Santa Hat	Santa Hat event Book 08 (jock/bandana/hat progression) | floating city diplomat | feature relocated to nose | documents everything through Blood Cello			Sam Gamgee | Bilbo Baggins | Maester Luwin	historian / diplomat / Santa Hat	elevated	Corveth's final reckoning completes. | Sorra's protocol formally established. | Wrenath's record complete through this point.		"{""activity_mode"": ""active"", ""book_function_notes"": ""Corveth's final reckoning completes. | Sorra's protocol formally established. | Wrenath's record complete through this point."", ""book_num"": ""22"", ""book_title"": ""The Last Open Gate"", ""canonical_name"": ""Wrenath Vel'Thane Still-Water"", ""character_code"": ""wowas::wrenath_velthane_stillwater"", ""dimension_overlay"": ""none"", ""faction"": ""Resonance"", ""first_active_scene"": ""B22_002"", ""last_active_scene"": ""B22_R0504"", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""elevated"", ""quest_role"": ""major_recurring"", ""region_code"": ""late_world_thresholds"", ""role_summary"": ""historian / diplomat / Santa Hat"", ""source_basis"": ""scene_index_inference"", ""timeline_band_code"": ""B22"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::corveth_ashkoral_darkcurrent	Corveth Ash'Koral Dark-Current		1	he/him			14	25	Ash-Born	faction lieutenant / reckoning arc	triage decision — saved 800 killed 400 — would do it again | Thorn returns Book 14 — his reckoning			Boromir | Jaime Lannister inverse | Nick Fury	faction lieutenant / reckoning arc	elevated	Corveth's final reckoning completes. | Sorra's protocol formally established. | Wrenath's record complete through this point.		"{""activity_mode"": ""active"", ""book_function_notes"": ""Corveth's final reckoning completes. | Sorra's protocol formally established. | Wrenath's record complete through this point."", ""book_num"": ""22"", ""book_title"": ""The Last Open Gate"", ""canonical_name"": ""Corveth Ash'Koral Dark-Current"", ""character_code"": ""wowas::corveth_ashkoral_darkcurrent"", ""dimension_overlay"": ""none"", ""faction"": ""Ash-Born"", ""first_active_scene"": ""B22_001"", ""last_active_scene"": ""B22_R0503"", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""elevated"", ""quest_role"": ""major_recurring"", ""region_code"": ""late_world_thresholds"", ""role_summary"": ""faction lieutenant / reckoning arc"", ""source_basis"": ""scene_index_inference"", ""timeline_band_code"": ""B22"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::sorra_marsoLen_thorngrace	Sorra Marso'len Thorn-Grace		1	she/her			13	25	Meridian	healer-ethicist / protocol architect	unnamed casualty returns Book 14 | develops stabilization protocol | ethical limits on Pip — productive tension			Madam Pomfrey | Dr. Crusher | Hawkeye Pierce	healer-ethicist / protocol architect	active	Grief for the one lost in the Silence settles. | Quantum field first practical application. | Ripper transformation resisted: Pip keeps healing both himself and Rolzen.		"{""activity_mode"": ""active"", ""book_function_notes"": ""Grief for the one lost in the Silence settles. | Quantum field first practical application. | Ripper transformation resisted: Pip keeps healing both himself and Rolzen."", ""book_num"": ""16"", ""book_title"": ""The Deepening World"", ""canonical_name"": ""Sorra Marso'len Thorn-Grace"", ""character_code"": ""wowas::sorra_marsoLen_thorngrace"", ""dimension_overlay"": ""none"", ""faction"": ""Meridian"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""neith_border_silence_realms"", ""role_summary"": ""healer-ethicist / protocol architect"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B16"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::oswyn	Oswyn		1	he/him			13	25	Unaffiliated	witness / Mack griever	witnesses all returns | found each other with Reth through shared silence			Sam Gamgee | Neville Longbottom	witness / Mack griever	active	Grief for the one lost in the Silence settles. | Quantum field first practical application. | Ripper transformation resisted: Pip keeps healing both himself and Rolzen.		"{""activity_mode"": ""active"", ""book_function_notes"": ""Grief for the one lost in the Silence settles. | Quantum field first practical application. | Ripper transformation resisted: Pip keeps healing both himself and Rolzen."", ""book_num"": ""16"", ""book_title"": ""The Deepening World"", ""canonical_name"": ""Oswyn"", ""character_code"": ""wowas::oswyn"", ""dimension_overlay"": ""none"", ""faction"": ""Unaffiliated"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""neith_border_silence_realms"", ""role_summary"": ""witness / Mack griever"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B16"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::thorn_ashkoral	Thorn Ash'Koral		1	he/him			14	22	Ash-Born (pre-collapse)	returned / Corveth's reckoning	return forces Corveth's reckoning | not vengeful — just present			Banquo's ghost | Fred Weasley inverse	returned / Corveth's reckoning	active	Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures.		"{""activity_mode"": ""introduced"", ""book_function_notes"": ""Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures."", ""book_num"": ""14"", ""book_title"": ""The Long Reorientation"", ""canonical_name"": ""Thorn Ash'Koral"", ""character_code"": ""wowas::thorn_ashkoral"", ""dimension_overlay"": ""none"", ""faction"": ""Ash-Born (pre-collapse)"", ""first_active_scene"": ""B14_002"", ""last_active_scene"": ""B14_R0447"", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""post_diamond_survivor_zones"", ""role_summary"": ""returned / Corveth's reckoning"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B14"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::kyrel_onrylder_ironsong	Kyrel On'Rylder Iron-Song		1	she/her			14	25	Iron Accord	young survivor / future reserve				Neville Longbottom | Ginny Weasley	young survivor / future reserve	active	Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures.		"{""activity_mode"": ""introduced"", ""book_function_notes"": ""Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures."", ""book_num"": ""14"", ""book_title"": ""The Long Reorientation"", ""canonical_name"": ""Kyrel On'Rylder Iron-Song"", ""character_code"": ""wowas::kyrel_onrylder_ironsong"", ""dimension_overlay"": ""none"", ""faction"": ""Iron Accord"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""post_diamond_survivor_zones"", ""role_summary"": ""young survivor / future reserve"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B14"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::daevyn_onrylder_ironsong	Daevyn On'Rylder Iron-Song		1	he/him			13	25	Iron Accord	field medic youth cohort				Hawkeye Pierce young | Bones McCoy	field medic youth cohort	active	Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures.		"{""activity_mode"": ""introduced"", ""book_function_notes"": ""Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures."", ""book_num"": ""14"", ""book_title"": ""The Long Reorientation"", ""canonical_name"": ""Daevyn On'Rylder Iron-Song"", ""character_code"": ""wowas::daevyn_onrylder_ironsong"", ""dimension_overlay"": ""none"", ""faction"": ""Iron Accord"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""post_diamond_survivor_zones"", ""role_summary"": ""field medic youth cohort"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B14"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::elven_onrylder_stonehayne	Elven On'Rylder Stone-Hayne		1	she/her			14	25	Iron Accord	agricultural specialist	'I'll need four days and I'll need to know how many' — complete emotional register				agricultural specialist	active	Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures.		"{""activity_mode"": ""introduced"", ""book_function_notes"": ""Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures."", ""book_num"": ""14"", ""book_title"": ""The Long Reorientation"", ""canonical_name"": ""Elven On'Rylder Stone-Hayne"", ""character_code"": ""wowas::elven_onrylder_stonehayne"", ""dimension_overlay"": ""none"", ""faction"": ""Iron Accord"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""post_diamond_survivor_zones"", ""role_summary"": ""agricultural specialist"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B14"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::verath_onrylder_ashcinder	Verath On'Rylder Ash-Cinder		1	he/him			14	25	Iron Accord	communications relay					communications relay	active	Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures.		"{""activity_mode"": ""introduced"", ""book_function_notes"": ""Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures."", ""book_num"": ""14"", ""book_title"": ""The Long Reorientation"", ""canonical_name"": ""Verath On'Rylder Ash-Cinder"", ""character_code"": ""wowas::verath_onrylder_ashcinder"", ""dimension_overlay"": ""none"", ""faction"": ""Iron Accord"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""post_diamond_survivor_zones"", ""role_summary"": ""communications relay"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B14"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::calla_onrylder_willowjayce	Calla On'Rylder Willow-Jayce		1	she/her			13	25	Iron Accord	elder memory / pre-collapse governance				Minerva McGonagall | Olenna Tyrell	elder memory / pre-collapse governance	active	Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures.		"{""activity_mode"": ""active"", ""book_function_notes"": ""Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures."", ""book_num"": ""14"", ""book_title"": ""The Long Reorientation"", ""canonical_name"": ""Calla On'Rylder Willow-Jayce"", ""character_code"": ""wowas::calla_onrylder_willowjayce"", ""dimension_overlay"": ""none"", ""faction"": ""Iron Accord"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""post_diamond_survivor_zones"", ""role_summary"": ""elder memory / pre-collapse governance"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B14"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::loreth_velthane_darkcurrent	Loreth Vel'Thane Dark-Current		1	he/him			14	25	Resonance	practical researcher					practical researcher	active	Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures.		"{""activity_mode"": ""introduced"", ""book_function_notes"": ""Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures."", ""book_num"": ""14"", ""book_title"": ""The Long Reorientation"", ""canonical_name"": ""Loreth Vel'Thane Dark-Current"", ""character_code"": ""wowas::loreth_velthane_darkcurrent"", ""dimension_overlay"": ""none"", ""faction"": ""Resonance"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""post_diamond_survivor_zones"", ""role_summary"": ""practical researcher"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B14"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::seth_velthane_ironsong	Seth Vel'Thane Iron-Song		1	he/him			13	25	Resonance	cartographer					cartographer	active	Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures.		"{""activity_mode"": ""introduced"", ""book_function_notes"": ""Thorn Ash'Koral returns: Corveth's reckoning. | Sorra's unnamed casualty returns: protocol development begins. | Rippers identified: Neith's spider-humanoid creatures."", ""book_num"": ""14"", ""book_title"": ""The Long Reorientation"", ""canonical_name"": ""Seth Vel'Thane Iron-Song"", ""character_code"": ""wowas::seth_velthane_ironsong"", ""dimension_overlay"": ""none"", ""faction"": ""Resonance"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""major_recurring"", ""peril_state"": ""active"", ""quest_role"": ""major_recurring"", ""region_code"": ""post_diamond_survivor_zones"", ""role_summary"": ""cartographer"", ""source_basis"": ""placement_by_book"", ""timeline_band_code"": ""B14"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
