matrix_id	target_character_id	target_name	viewpoint_character_id	viewpoint_name	book	final_state_rule	death_resurrection_parity	viewpoint_requirement	required_consequence	anti_martyr_rule	source_resolution_status	prose_status
resurrection:wowas::mack_willow_father:wowas::rolzen_warrior_anchor	wowas::mack_willow_father	Mack	wowas::rolzen_warrior_anchor	Rolzen	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::mack_willow_father:wowas::rylos_vayne_johnson	wowas::mack_willow_father	Mack	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::mack_willow_father:wowas::dervish_cosmic_entity	wowas::mack_willow_father	Mack	wowas::dervish_cosmic_entity	Dervish	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::mack_willow_father:wowas::daisy_may_great_dane	wowas::mack_willow_father	Mack	wowas::daisy_may_great_dane	Daisy May	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::mack_willow_father:wowas::majiskii_great_dane	wowas::mack_willow_father	Mack	wowas::majiskii_great_dane	Majiskii	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::xethrolund_papi:wowas::pip_indalwin_willowjayce	wowas::xethrolund_papi	Xethrolund	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::xethrolund_papi:wowas::mack_willow_father	wowas::xethrolund_papi	Xethrolund	wowas::mack_willow_father	Mack	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::xethrolund_papi:wowas::xethrolund_papi	wowas::xethrolund_papi	Xethrolund	wowas::xethrolund_papi	Xethrolund	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::xethrolund_papi:wowas::ursula_cosmic_mother	wowas::xethrolund_papi	Xethrolund	wowas::ursula_cosmic_mother	Ursula	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::xethrolund_papi:wowas::neith_architect_mother	wowas::xethrolund_papi	Xethrolund	wowas::neith_architect_mother	Neith	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::xethrolund_papi:wowas::rolzen_warrior_anchor	wowas::xethrolund_papi	Xethrolund	wowas::rolzen_warrior_anchor	Rolzen	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::xethrolund_papi:wowas::rylos_vayne_johnson	wowas::xethrolund_papi	Xethrolund	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::xethrolund_papi:wowas::dervish_cosmic_entity	wowas::xethrolund_papi	Xethrolund	wowas::dervish_cosmic_entity	Dervish	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::xethrolund_papi:wowas::daisy_may_great_dane	wowas::xethrolund_papi	Xethrolund	wowas::daisy_may_great_dane	Daisy May	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::xethrolund_papi:wowas::majiskii_great_dane	wowas::xethrolund_papi	Xethrolund	wowas::majiskii_great_dane	Majiskii	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::ursula_cosmic_mother:wowas::pip_indalwin_willowjayce	wowas::ursula_cosmic_mother	Ursula	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::ursula_cosmic_mother:wowas::mack_willow_father	wowas::ursula_cosmic_mother	Ursula	wowas::mack_willow_father	Mack	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::ursula_cosmic_mother:wowas::xethrolund_papi	wowas::ursula_cosmic_mother	Ursula	wowas::xethrolund_papi	Xethrolund	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::ursula_cosmic_mother:wowas::ursula_cosmic_mother	wowas::ursula_cosmic_mother	Ursula	wowas::ursula_cosmic_mother	Ursula	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::ursula_cosmic_mother:wowas::neith_architect_mother	wowas::ursula_cosmic_mother	Ursula	wowas::neith_architect_mother	Neith	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::ursula_cosmic_mother:wowas::rolzen_warrior_anchor	wowas::ursula_cosmic_mother	Ursula	wowas::rolzen_warrior_anchor	Rolzen	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::ursula_cosmic_mother:wowas::rylos_vayne_johnson	wowas::ursula_cosmic_mother	Ursula	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::ursula_cosmic_mother:wowas::dervish_cosmic_entity	wowas::ursula_cosmic_mother	Ursula	wowas::dervish_cosmic_entity	Dervish	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::ursula_cosmic_mother:wowas::daisy_may_great_dane	wowas::ursula_cosmic_mother	Ursula	wowas::daisy_may_great_dane	Daisy May	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::ursula_cosmic_mother:wowas::majiskii_great_dane	wowas::ursula_cosmic_mother	Ursula	wowas::majiskii_great_dane	Majiskii	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::neith_architect_mother:wowas::pip_indalwin_willowjayce	wowas::neith_architect_mother	Neith	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::neith_architect_mother:wowas::mack_willow_father	wowas::neith_architect_mother	Neith	wowas::mack_willow_father	Mack	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::neith_architect_mother:wowas::xethrolund_papi	wowas::neith_architect_mother	Neith	wowas::xethrolund_papi	Xethrolund	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::neith_architect_mother:wowas::ursula_cosmic_mother	wowas::neith_architect_mother	Neith	wowas::ursula_cosmic_mother	Ursula	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::neith_architect_mother:wowas::neith_architect_mother	wowas::neith_architect_mother	Neith	wowas::neith_architect_mother	Neith	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::neith_architect_mother:wowas::rolzen_warrior_anchor	wowas::neith_architect_mother	Neith	wowas::rolzen_warrior_anchor	Rolzen	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::neith_architect_mother:wowas::rylos_vayne_johnson	wowas::neith_architect_mother	Neith	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::neith_architect_mother:wowas::dervish_cosmic_entity	wowas::neith_architect_mother	Neith	wowas::dervish_cosmic_entity	Dervish	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::neith_architect_mother:wowas::daisy_may_great_dane	wowas::neith_architect_mother	Neith	wowas::daisy_may_great_dane	Daisy May	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::neith_architect_mother:wowas::majiskii_great_dane	wowas::neith_architect_mother	Neith	wowas::majiskii_great_dane	Majiskii	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rolzen_warrior_anchor:wowas::pip_indalwin_willowjayce	wowas::rolzen_warrior_anchor	Rolzen	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rolzen_warrior_anchor:wowas::mack_willow_father	wowas::rolzen_warrior_anchor	Rolzen	wowas::mack_willow_father	Mack	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rolzen_warrior_anchor:wowas::xethrolund_papi	wowas::rolzen_warrior_anchor	Rolzen	wowas::xethrolund_papi	Xethrolund	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rolzen_warrior_anchor:wowas::ursula_cosmic_mother	wowas::rolzen_warrior_anchor	Rolzen	wowas::ursula_cosmic_mother	Ursula	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rolzen_warrior_anchor:wowas::neith_architect_mother	wowas::rolzen_warrior_anchor	Rolzen	wowas::neith_architect_mother	Neith	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rolzen_warrior_anchor:wowas::rolzen_warrior_anchor	wowas::rolzen_warrior_anchor	Rolzen	wowas::rolzen_warrior_anchor	Rolzen	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rolzen_warrior_anchor:wowas::rylos_vayne_johnson	wowas::rolzen_warrior_anchor	Rolzen	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rolzen_warrior_anchor:wowas::dervish_cosmic_entity	wowas::rolzen_warrior_anchor	Rolzen	wowas::dervish_cosmic_entity	Dervish	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rolzen_warrior_anchor:wowas::daisy_may_great_dane	wowas::rolzen_warrior_anchor	Rolzen	wowas::daisy_may_great_dane	Daisy May	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rolzen_warrior_anchor:wowas::majiskii_great_dane	wowas::rolzen_warrior_anchor	Rolzen	wowas::majiskii_great_dane	Majiskii	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rylos_vayne_johnson:wowas::pip_indalwin_willowjayce	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	25	final_death_only	death must remain consequential and final	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rylos_vayne_johnson:wowas::mack_willow_father	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	wowas::mack_willow_father	Mack	25	final_death_only	death must remain consequential and final	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rylos_vayne_johnson:wowas::xethrolund_papi	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	wowas::xethrolund_papi	Xethrolund	25	final_death_only	death must remain consequential and final	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rylos_vayne_johnson:wowas::ursula_cosmic_mother	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	wowas::ursula_cosmic_mother	Ursula	25	final_death_only	death must remain consequential and final	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rylos_vayne_johnson:wowas::neith_architect_mother	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	wowas::neith_architect_mother	Neith	25	final_death_only	death must remain consequential and final	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rylos_vayne_johnson:wowas::rolzen_warrior_anchor	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	wowas::rolzen_warrior_anchor	Rolzen	25	final_death_only	death must remain consequential and final	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rylos_vayne_johnson:wowas::rylos_vayne_johnson	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	25	final_death_only	death must remain consequential and final	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rylos_vayne_johnson:wowas::dervish_cosmic_entity	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	wowas::dervish_cosmic_entity	Dervish	25	final_death_only	death must remain consequential and final	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rylos_vayne_johnson:wowas::daisy_may_great_dane	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	wowas::daisy_may_great_dane	Daisy May	25	final_death_only	death must remain consequential and final	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::rylos_vayne_johnson:wowas::majiskii_great_dane	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	wowas::majiskii_great_dane	Majiskii	25	final_death_only	death must remain consequential and final	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::dervish_cosmic_entity:wowas::pip_indalwin_willowjayce	wowas::dervish_cosmic_entity	Dervish	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::dervish_cosmic_entity:wowas::mack_willow_father	wowas::dervish_cosmic_entity	Dervish	wowas::mack_willow_father	Mack	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
