encounter_code	story_corridor	phase_window	state	county_anchor	anchor_city	encounter_title	involved_species_codes	primary_threat_tier	threat_signature	adventure_signature	why_edge_of_seat	scene_insertion_note
wowas::canadian_county_encounter_05	westward_solution_run	pre-capture westward solution run	Oklahoma	Canadian County	El Reno	Culvert Rescue	wowas::canadian_county_mammal_02; wowas::canadian_county_arthropod_02; wowas::canadian_county_insect_01	severe	A trapped civilian cluster can only be reached by crossing active nests and contaminated footing.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Canadian County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for prairie transition county west of OKC / wind and silo pressure. Keep survival uncertain until the final exchange.
wowas::canadian_county_encounter_06	westward_solution_run	pre-capture westward solution run	Oklahoma	Canadian County	El Reno	Stormcell Night Push	wowas::canadian_county_mammal_01; wowas::canadian_county_amphibian_01; wowas::canadian_county_microbe_02	high	Lightning, standing water, and glassed asphalt let multiple species chain their attacks.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Canadian County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for prairie transition county west of OKC / wind and silo pressure. Keep survival uncertain until the final exchange.
wowas::cleveland_county_encounter_01	southbound_return_to_okc	return to Oklahoma concentration corridor	Oklahoma	Cleveland County	Norman	Suburb Edge Flare	wowas::cleveland_county_microbe_01; wowas::cleveland_county_bird_01	moderate	The road south looks familiar enough to relax the party, which is when the trap closes.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Cleveland County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for southern return buffer before Oklahoma City concentration. Keep survival uncertain until the final exchange.
wowas::cleveland_county_encounter_02	southbound_return_to_okc	return to Oklahoma concentration corridor	Oklahoma	Cleveland County	Norman	Mesquite Lot Rush	wowas::cleveland_county_arthropod_01; wowas::cleveland_county_fungus_02; wowas::cleveland_county_insect_02	severe	Mob species hit in heat waves and dust gusts that hide the second and third attack lines.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Cleveland County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for southern return buffer before Oklahoma City concentration. Keep survival uncertain until the final exchange.
wowas::cleveland_county_encounter_03	southbound_return_to_okc	return to Oklahoma concentration corridor	Oklahoma	Cleveland County	Norman	Campus Bones Echo	wowas::cleveland_county_insect_01; wowas::cleveland_county_insect_02	moderate	Ruined civic spaces become high-drama fight arenas with too much vertical threat.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Cleveland County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for southern return buffer before Oklahoma City concentration. Keep survival uncertain until the final exchange.
wowas::cleveland_county_encounter_04	southbound_return_to_okc	return to Oklahoma concentration corridor	Oklahoma	Cleveland County	Norman	Red Creek Crossing	wowas::cleveland_county_stone_01; wowas::cleveland_county_mammal_02	severe	The monsters use mud and runoff as if they had rehearsed this exact fight for years.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Cleveland County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for southern return buffer before Oklahoma City concentration. Keep survival uncertain until the final exchange.
wowas::cleveland_county_encounter_05	southbound_return_to_okc	return to Oklahoma concentration corridor	Oklahoma	Cleveland County	Norman	Storm-Gnawed Street Hold	wowas::cleveland_county_arachnid_02; wowas::cleveland_county_fungus_02; wowas::cleveland_county_microbe_02; wowas::cleveland_county_bird_02	severe	The group must hold one block long enough to save a pocket of survivors.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Cleveland County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for southern return buffer before Oklahoma City concentration. Keep survival uncertain until the final exchange.
wowas::cleveland_county_encounter_06	southbound_return_to_okc	return to Oklahoma concentration corridor	Oklahoma	Cleveland County	Norman	Home-Road Trial	wowas::cleveland_county_stone_01; wowas::cleveland_county_insect_01; wowas::cleveland_county_microbe_02	severe	The return corridor proves home is not safety until they make it so by force.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Cleveland County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for southern return buffer before Oklahoma City concentration. Keep survival uncertain until the final exchange.
wowas::larimer_county_encounter_01	rocky_mountain_abduction_band	Pip abduction band / threshold to captivity	Colorado	Larimer County	Front Range	Whiteout Hunt Line	wowas::larimer_county_arthropod_01; wowas::larimer_county_mammal_02; wowas::larimer_county_insect_01; wowas::larimer_county_fungus_02	severe	Altitude, snow glare, and dream-predation force a running fight that never settles into clean formation.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Larimer County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for front-range approach before higher abduction territory. Keep survival uncertain until the final exchange.
wowas::larimer_county_encounter_02	rocky_mountain_abduction_band	Pip abduction band / threshold to captivity	Colorado	Larimer County	Front Range	Scree-Bowl Collapse	wowas::larimer_county_arthropod_01; wowas::larimer_county_mammal_01; wowas::larimer_county_arachnid_02	severe	A wrong step wakes cliff species and turns the slope into moving teeth.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Larimer County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for front-range approach before higher abduction territory. Keep survival uncertain until the final exchange.
wowas::larimer_county_encounter_03	rocky_mountain_abduction_band	Pip abduction band / threshold to captivity	Colorado	Larimer County	Front Range	Lift-Tower Ghost Field	wowas::larimer_county_mammal_01; wowas::larimer_county_bird_01; wowas::larimer_county_fungus_02	severe	Dead resort infrastructure becomes scaffolding for aerial and web ambush.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Larimer County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for front-range approach before higher abduction territory. Keep survival uncertain until the final exchange.
wowas::larimer_county_encounter_04	rocky_mountain_abduction_band	Pip abduction band / threshold to captivity	Colorado	Larimer County	Front Range	Glacial Crossing	wowas::larimer_county_insect_01; wowas::larimer_county_microbe_01; wowas::larimer_county_mammal_02	severe	The monsters attack the ice and the party at the same time, trying to split them with the terrain.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Larimer County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for front-range approach before higher abduction territory. Keep survival uncertain until the final exchange.
wowas::larimer_county_encounter_05	rocky_mountain_abduction_band	Pip abduction band / threshold to captivity	Colorado	Larimer County	Front Range	Abduction Ridge	wowas::larimer_county_mammal_02; wowas::larimer_county_insect_01; wowas::larimer_county_fish_01	severe	The encounter is designed to isolate Pip and drown the party in impossible choices.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Larimer County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for front-range approach before higher abduction territory. Keep survival uncertain until the final exchange.
wowas::larimer_county_encounter_06	rocky_mountain_abduction_band	Pip abduction band / threshold to captivity	Colorado	Larimer County	Front Range	Hot-Spring Throat	wowas::larimer_county_fish_01; wowas::larimer_county_flora_01; wowas::larimer_county_insect_01	moderate	Thermophile monsters weaponize steam and mineral crust to blind and divide the group.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Larimer County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for front-range approach before higher abduction territory. Keep survival uncertain until the final exchange.
wowas::summit_county_encounter_01	rocky_mountain_abduction_band	Pip abduction band / threshold to captivity	Colorado	Summit County	High Rockies	Whiteout Hunt Line	wowas::summit_county_microbe_02; wowas::summit_county_flora_02; wowas::summit_county_stone_01	severe	Altitude, snow glare, and dream-predation force a running fight that never settles into clean formation.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Summit County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for rippers first appear and abduct Pip. Keep survival uncertain until the final exchange.
wowas::summit_county_encounter_02	rocky_mountain_abduction_band	Pip abduction band / threshold to captivity	Colorado	Summit County	High Rockies	Scree-Bowl Collapse	wowas::summit_county_mammal_01; wowas::summit_county_microbe_02; wowas::summit_county_amphibian_01; wowas::summit_county_bird_02	severe	A wrong step wakes cliff species and turns the slope into moving teeth.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Summit County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for rippers first appear and abduct Pip. Keep survival uncertain until the final exchange.
wowas::summit_county_encounter_03	rocky_mountain_abduction_band	Pip abduction band / threshold to captivity	Colorado	Summit County	High Rockies	Lift-Tower Ghost Field	wowas::summit_county_microbe_02; wowas::summit_county_fungus_02; wowas::summit_county_arachnid_01; wowas::summit_county_flora_01	severe	Dead resort infrastructure becomes scaffolding for aerial and web ambush.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Summit County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for rippers first appear and abduct Pip. Keep survival uncertain until the final exchange.
wowas::summit_county_encounter_04	rocky_mountain_abduction_band	Pip abduction band / threshold to captivity	Colorado	Summit County	High Rockies	Glacial Crossing	wowas::summit_county_fungus_01; wowas::summit_county_insect_01; wowas::summit_county_flora_01	moderate	The monsters attack the ice and the party at the same time, trying to split them with the terrain.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Summit County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for rippers first appear and abduct Pip. Keep survival uncertain until the final exchange.
wowas::summit_county_encounter_05	rocky_mountain_abduction_band	Pip abduction band / threshold to captivity	Colorado	Summit County	High Rockies	Abduction Ridge	wowas::summit_county_arthropod_01; wowas::summit_county_mammal_01; wowas::summit_county_microbe_02	severe	The encounter is designed to isolate Pip and drown the party in impossible choices.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Summit County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for rippers first appear and abduct Pip. Keep survival uncertain until the final exchange.
wowas::summit_county_encounter_06	rocky_mountain_abduction_band	Pip abduction band / threshold to captivity	Colorado	Summit County	High Rockies	Hot-Spring Throat	wowas::summit_county_reptile_01; wowas::summit_county_insect_02; wowas::summit_county_fungus_02	severe	Thermophile monsters weaponize steam and mineral crust to blind and divide the group.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Summit County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for rippers first appear and abduct Pip. Keep survival uncertain until the final exchange.
wowas::polk_county_encounter_01	oregon_intuition_coast_return	post-Neith escape / oceanic dream return	Oregon	Polk County	Independence	Agate Beach Drag	wowas::polk_county_fungus_02; wowas::polk_county_arachnid_01; wowas::polk_county_amphibian_01	high	Beauty keeps trying to turn into death, and the party cannot tell which omen is the right one until too late.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Polk County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / pursuit target / valley refuge and cultivated wonder pressure. Keep survival uncertain until the final exchange.
wowas::polk_county_encounter_02	oregon_intuition_coast_return	post-Neith escape / oceanic dream return	Oregon	Polk County	Independence	Fog-Pine Lane	wowas::polk_county_reptile_01; wowas::polk_county_arthropod_02; wowas::polk_county_fish_01	high	Predators move only when the fog shifts, forcing a fight built on trust and auditory cues.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Polk County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / pursuit target / valley refuge and cultivated wonder pressure. Keep survival uncertain until the final exchange.
wowas::polk_county_encounter_03	oregon_intuition_coast_return	post-Neith escape / oceanic dream return	Oregon	Polk County	Independence	Tide Cave Misread	wowas::polk_county_fungus_02; wowas::polk_county_flora_01	moderate	A rescue route looks safe until living stone and shore species change the cave behind the party.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Polk County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / pursuit target / valley refuge and cultivated wonder pressure. Keep survival uncertain until the final exchange.
wowas::polk_county_encounter_04	oregon_intuition_coast_return	post-Neith escape / oceanic dream return	Oregon	Polk County	Independence	Orchard Refuge Breach	wowas::polk_county_flora_01; wowas::polk_county_bird_01; wowas::polk_county_microbe_02; wowas::polk_county_flora_02	moderate	A seemingly kind settlement edge is defended by species that test worth before mercy.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Polk County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / pursuit target / valley refuge and cultivated wonder pressure. Keep survival uncertain until the final exchange.
wowas::polk_county_encounter_05	oregon_intuition_coast_return	post-Neith escape / oceanic dream return	Oregon	Polk County	Independence	Sea Touch Aftermath	wowas::polk_county_bird_02; wowas::polk_county_mammal_02; wowas::polk_county_reptile_01	severe	The coast itself treats Pip as altered, and the local monster ecology reacts first.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Polk County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / pursuit target / valley refuge and cultivated wonder pressure. Keep survival uncertain until the final exchange.
wowas::polk_county_encounter_06	oregon_intuition_coast_return	post-Neith escape / oceanic dream return	Oregon	Polk County	Independence	Riverbottom Dusk Run	wowas::polk_county_mammal_01; wowas::polk_county_arachnid_01; wowas::polk_county_microbe_01; wowas::polk_county_fungus_01	high	A cross-valley push becomes a layered pursuit through pasture, mud, and old campus bones.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Polk County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / pursuit target / valley refuge and cultivated wonder pressure. Keep survival uncertain until the final exchange.
wowas::lincoln_county_encounter_01	oregon_intuition_coast_return	post-Neith escape / oceanic dream return	Oregon	Lincoln County	Oregon Coast	Agate Beach Drag	wowas::lincoln_county_fish_01; wowas::lincoln_county_arthropod_02; wowas::lincoln_county_arthropod_01; wowas::lincoln_county_insect_01	severe	Beauty keeps trying to turn into death, and the party cannot tell which omen is the right one until too late.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Lincoln County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for ocean-touch county where Pip is ripped into deep water. Keep survival uncertain until the final exchange.
wowas::lincoln_county_encounter_02	oregon_intuition_coast_return	post-Neith escape / oceanic dream return	Oregon	Lincoln County	Oregon Coast	Fog-Pine Lane	wowas::lincoln_county_fish_01; wowas::lincoln_county_stone_01	high	Predators move only when the fog shifts, forcing a fight built on trust and auditory cues.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Lincoln County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for ocean-touch county where Pip is ripped into deep water. Keep survival uncertain until the final exchange.
wowas::lincoln_county_encounter_03	oregon_intuition_coast_return	post-Neith escape / oceanic dream return	Oregon	Lincoln County	Oregon Coast	Tide Cave Misread	wowas::lincoln_county_microbe_02; wowas::lincoln_county_insect_01; wowas::lincoln_county_flora_02; wowas::lincoln_county_microbe_01	moderate	A rescue route looks safe until living stone and shore species change the cave behind the party.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Lincoln County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for ocean-touch county where Pip is ripped into deep water. Keep survival uncertain until the final exchange.
wowas::lincoln_county_encounter_04	oregon_intuition_coast_return	post-Neith escape / oceanic dream return	Oregon	Lincoln County	Oregon Coast	Orchard Refuge Breach	wowas::lincoln_county_stone_01; wowas::lincoln_county_fungus_02	high	A seemingly kind settlement edge is defended by species that test worth before mercy.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Lincoln County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for ocean-touch county where Pip is ripped into deep water. Keep survival uncertain until the final exchange.
wowas::lincoln_county_encounter_05	oregon_intuition_coast_return	post-Neith escape / oceanic dream return	Oregon	Lincoln County	Oregon Coast	Sea Touch Aftermath	wowas::lincoln_county_fungus_01; wowas::lincoln_county_arthropod_01; wowas::lincoln_county_bird_01; wowas::lincoln_county_arthropod_02	severe	The coast itself treats Pip as altered, and the local monster ecology reacts first.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Lincoln County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for ocean-touch county where Pip is ripped into deep water. Keep survival uncertain until the final exchange.
wowas::lincoln_county_encounter_06	oregon_intuition_coast_return	post-Neith escape / oceanic dream return	Oregon	Lincoln County	Oregon Coast	Riverbottom Dusk Run	wowas::lincoln_county_fungus_01; wowas::lincoln_county_arachnid_01	high	A cross-valley push becomes a layered pursuit through pasture, mud, and old campus bones.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Lincoln County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for ocean-touch county where Pip is ripped into deep water. Keep survival uncertain until the final exchange.
wowas::ada_county_encounter_01	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Ada County	Boise Corridor	Pit-Stop Omen Swarm	wowas::ada_county_bird_02; wowas::ada_county_insect_02	moderate	The brochure proof site is alive with species that guard memory and punish shallow attention.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Ada County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for ruined pit-stop brochure discovery zone proving the cave image. Keep survival uncertain until the final exchange.
wowas::ada_county_encounter_02	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Ada County	Boise Corridor	Sage Lot Rush	wowas::ada_county_stone_01; wowas::ada_county_reptile_01; wowas::ada_county_fungus_02	severe	Fast low species cut across the road while aerial ones punish hesitation.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Ada County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for ruined pit-stop brochure discovery zone proving the cave image. Keep survival uncertain until the final exchange.
wowas::ada_county_encounter_03	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Ada County	Boise Corridor	Lava Culvert Stand	wowas::ada_county_bird_01; wowas::ada_county_arachnid_02; wowas::ada_county_amphibian_01	high	The party must hold a narrow culvert as pressure builds from both sides.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Ada County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for ruined pit-stop brochure discovery zone proving the cave image. Keep survival uncertain until the final exchange.
wowas::ada_county_encounter_04	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Ada County	Boise Corridor	Falls Overlook Fracture	wowas::ada_county_bird_01; wowas::ada_county_microbe_01; wowas::ada_county_fungus_01; wowas::ada_county_arthropod_01	high	A scenic ruin becomes a killbox once sound and water start carrying hostile signals.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Ada County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for ruined pit-stop brochure discovery zone proving the cave image. Keep survival uncertain until the final exchange.
wowas::ada_county_encounter_05	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Ada County	Boise Corridor	Sign-Reader Ambush	wowas::ada_county_fungus_01; wowas::ada_county_mammal_02	severe	What looks like scavenging is actually a layered lure by multiple intelligent species.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Ada County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for ruined pit-stop brochure discovery zone proving the cave image. Keep survival uncertain until the final exchange.
wowas::ada_county_encounter_06	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Ada County	Boise Corridor	Interstate Night Crawl	wowas::ada_county_fungus_02; wowas::ada_county_reptile_01	high	The monsters use reflective junk, road paint, and exhaust ghosts to scramble group cohesion.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Ada County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for ruined pit-stop brochure discovery zone proving the cave image. Keep survival uncertain until the final exchange.
wowas::bannock_county_encounter_01	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Bannock County	High Desert / Lava Corridor	Pit-Stop Omen Swarm	wowas::bannock_county_microbe_01; wowas::bannock_county_insect_02; wowas::bannock_county_stone_01; wowas::bannock_county_mammal_02	severe	The brochure proof site is alive with species that guard memory and punish shallow attention.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Bannock County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for Idaho continuation county for intuition and highway ruin passage. Keep survival uncertain until the final exchange.
wowas::bannock_county_encounter_02	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Bannock County	High Desert / Lava Corridor	Sage Lot Rush	wowas::bannock_county_fish_01; wowas::bannock_county_arthropod_02; wowas::bannock_county_insect_01	severe	Fast low species cut across the road while aerial ones punish hesitation.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Bannock County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for Idaho continuation county for intuition and highway ruin passage. Keep survival uncertain until the final exchange.
wowas::bannock_county_encounter_03	brochure_trace_inland	proof-to-pursuit corridor	Idaho	Bannock County	High Desert / Lava Corridor	Lava Culvert Stand	wowas::bannock_county_reptile_01; wowas::bannock_county_arachnid_01; wowas::bannock_county_mammal_02; wowas::bannock_county_insect_02	severe	The party must hold a narrow culvert as pressure builds from both sides.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Bannock County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for Idaho continuation county for intuition and highway ruin passage. Keep survival uncertain until the final exchange.
