monster_code	common_name	neo_scientific_name	story_corridor	state	county_anchor	anchor_city	life_domain	base_american_anchor	anchor_scientific_name	wowas_zone_fit	landscape_pressure	american_myth_register	microbiology_register	source_media_register_1	source_media_register_2	source_media_register_3	source_media_register_4	source_trait_stack	pressure_split	encounter_threat_tier	fight_pattern	morph_description	behavior_in_world	ecological_function	danger_to_humans	edge_of_seat_hook	quest_or_scene_use	generator_notes
wowas::oklahoma_county_arachnid_02	Mercy-scorch Spider	Lycoaranea mirata	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	arachnid	orb-weaver	Araneidae	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	storm spinner	mite consortium	Gray Fullbuster	Natsu	Jason Voorhees	Professor McGonagall	ice-veined control and restraint; explosive heat and protective combustion; relentless arrival and implacable pressure; identity-through-transformation discipline	fear_by_stripping	severe	venom feint with retreat	American orb-weaver reimagined through Gray Fullbuster, Natsu, Jason Voorhees, and Professor McGonagall; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It attacks by taking away footing, light, heat, memory, or shelter before closing for the kill.	web, ceiling, and ambush pressure	severe; the fight changes terrain and can break a party if they hesitate	The species attacks by taking away shelter, memory, footing, or coherence before the killing blow.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_arthropod_01	Storm-Spine Crawfish	Cambararhaph sinuata	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	arthropod	crawfish	Cambaridae	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	bone rattler	cave gut flora	Bad Santa	Tommy Pickles	Stitch		profane tenderness under rot; feral childhood nerve and opportunism; engineered ferocity choosing attachment	unstable_mixed_field	high	shock-snap distraction	American crawfish reimagined through Bad Santa, Tommy Pickles, and Stitch; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It helps and harms at once, drawing one survivor toward clarity while exposing another to worse danger.	rattle-shell and burrow pressure	high; a single mistake can cost blood, sight, mobility, or route integrity	The encounter can help one member survive while putting another in worse danger.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_arthropod_02	Overpass Water Bug	Rhaphidozark viridis	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	arthropod	centipede	Chilopoda	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	broadcaster trickster	shell bacteria	Metallica	Roseanne	Sarah Evans		storm-weight aggression and crushing drive; working-class endurance and hard humor; open-throated country ache and lift	fear_by_stripping	severe	shock-snap distraction	American centipede reimagined through Metallica, Roseanne, and Sarah Evans; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It attacks by taking away footing, light, heat, memory, or shelter before closing for the kill.	rattle-shell and burrow pressure	severe; the fight changes terrain and can break a party if they hesitate	The species attacks by taking away shelter, memory, footing, or coherence before the killing blow.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_flora_01	Tide-red-dust Cottonwood	Lupinpanic grypha	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	flora	cottonwood	Populus deltoides	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	thorn mother	leaf-rust logic	Freddy Krueger	Tommy Pickles	Nemesis		dream-penetration and intimate threat; feral childhood nerve and opportunism; bulldozing pursuit through chaos	unstable_mixed_field	moderate	root-snare and pollen veil	American cottonwood reimagined through Freddy Krueger, Tommy Pickles, and Nemesis; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It helps and harms at once, drawing one survivor toward clarity while exposing another to worse danger.	shelter and snare pressure	moderate; survivable with coordination, but punishing to the careless	The encounter can help one member survive while putting another in worse danger.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_flora_02	Dust-gleam Ivy	Artemquerc grypha	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	flora	live oak	Quercus virginiana	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	orchard saint	yeast bloom	Roseanne	Yuno	Tommy Pickles		working-class endurance and hard humor; cold precision under grace; feral childhood nerve and opportunism	wonder_from_wreckage	moderate	root-snare and pollen veil	American live oak reimagined through Roseanne, Yuno, and Tommy Pickles; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It turns wreckage into temporary shelter, omen, or navigable pattern, but that gift can shift into danger if misread.	shelter and snare pressure	moderate; survivable with coordination, but punishing to the careless	The danger comes from beauty turning decisive at the worst possible moment.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_fungus_01	Thunder Toadstool	Mycesokla viridis	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	fungus	morel mushroom	Morchella spp.	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	under-root saint	moonmilk bacterium	Jason Stackhouse	Gray Fullbuster	Roseanne		body-forward sincerity and reckless warmth; ice-veined control and restraint; working-class endurance and hard humor	wonder_from_wreckage	moderate	rot-softening of footing and weapons	American morel mushroom reimagined through Jason Stackhouse, Gray Fullbuster, and Roseanne; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It turns wreckage into temporary shelter, omen, or navigable pattern, but that gift can shift into danger if misread.	rot, bloom, and hallucination pressure	moderate; survivable with coordination, but punishing to the careless	The danger comes from beauty turning decisive at the worst possible moment.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_fungus_02	Dragon-riddle Tail	Amanitsuffol tenebris	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	fungus	turkey tail	Trametes versicolor	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	lantern rot	spore cloud exchange	Menolly	Apocalyptica	Gray Fullbuster		music as shelter and belonging; percussive cello violence and grave beauty; ice-veined control and restraint	wonder_from_wreckage	moderate	rot-softening of footing and weapons	American turkey tail reimagined through Menolly, Apocalyptica, and Gray Fullbuster; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It turns wreckage into temporary shelter, omen, or navigable pattern, but that gift can shift into danger if misread.	rot, bloom, and hallucination pressure	moderate; survivable with coordination, but punishing to the careless	The danger comes from beauty turning decisive at the worst possible moment.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_microbe_01	Storm Film	Sporyeast tenebris	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	microbe	algal film	mixed algal mat	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	sainted film	extremophile lattice	Tasslehoff Burrfoot	Menolly	Drizzt Do'Urden	Lacuna Coil	curiosity ignoring danger boundaries; music as shelter and belonging; underground precision and lonely honor; gothic split-voice beauty and dread	fear_by_stripping	moderate	surface slick and breath steal	American algal film reimagined through Tasslehoff Burrfoot, Menolly, Drizzt Do'Urden, and Lacuna Coil; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It attacks by taking away footing, light, heat, memory, or shelter before closing for the kill.	invisible contamination and field pressure	moderate; survivable with coordination, but punishing to the careless	The species attacks by taking away shelter, memory, footing, or coherence before the killing blow.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_microbe_02	Velvet-rail Colony	Consortalgol cantor	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	microbe	biofilm colony	mixed biofilm	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	ghost bloom	biofilm colony	Erza Scarlet	Bad Santa	Yuno	Natsu	armored love and overwhelming force; profane tenderness under rot; cold precision under grace; explosive heat and protective combustion	unstable_mixed_field	moderate	invisible colony pressure	American biofilm colony reimagined through Erza Scarlet, Bad Santa, Yuno, and Natsu; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It helps and harms at once, drawing one survivor toward clarity while exposing another to worse danger.	invisible contamination and field pressure	moderate; survivable with coordination, but punishing to the careless	The encounter can help one member survive while putting another in worse danger.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_stone_01	Mercy-glaer Shard	Basaltiarcov grypha	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	stone	selenite	Selenite	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	dragon egg	moonmilk bacterium	Jason Voorhees	Charmy	Joey Tribbiani		relentless arrival and implacable pressure; nourishment-driven volatility; social boldness and shameless appetite	fear_by_stripping	severe	shard-burst from impact	American selenite reimagined through Jason Voorhees, Charmy, and Joey Tribbiani; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It attacks by taking away footing, light, heat, memory, or shelter before closing for the kill.	terrain, threshold, and witness pressure	severe; the fight changes terrain and can break a party if they hesitate	The species attacks by taking away shelter, memory, footing, or coherence before the killing blow.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::canadian_county_mammal_01	Whirl-Glaer Otter	Ferrookla ferox	westward_solution_run	Oklahoma	Canadian County	El Reno	mammal	river otter	Lontra canadensis	zone::prairie_transition	wheat flats, torn silos, rail sidings, tornado scars	mountain lion omen	biofilm persistence	Sarah Evans	Nemesis	Gromph Baenre		open-throated country ache and lift; bulldozing pursuit through chaos; cold shadow-intelligence and dangerous reach	wonder_from_wreckage	high	pack misdirection and pounce	American river otter reimagined through Sarah Evans, Nemesis, and Gromph Baenre; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It turns wreckage into temporary shelter, omen, or navigable pattern, but that gift can shift into danger if misread.	mid-to-large fauna pressure anchor	high; a single mistake can cost blood, sight, mobility, or route integrity	The danger comes from beauty turning decisive at the worst possible moment.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Canadian County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::canadian_county_mammal_02	Glaer-spine Bear	Tenaxumbr viridis	westward_solution_run	Oklahoma	Canadian County	El Reno	mammal	American black bear	Ursus americanus	zone::prairie_transition	wheat flats, torn silos, rail sidings, tornado scars	mountain lion omen	gut mutualism	Hermione Granger	Metallica	Noelle Silva		analytic patterning and prepared response; storm-weight aggression and crushing drive; water nobility sharpened by pride	fear_by_stripping	severe	territorial charge through cover	American American black bear reimagined through Hermione Granger, Metallica, and Noelle Silva; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It attacks by taking away footing, light, heat, memory, or shelter before closing for the kill.	mid-to-large fauna pressure anchor	severe; the fight changes terrain and can break a party if they hesitate	The species attacks by taking away shelter, memory, footing, or coherence before the killing blow.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Canadian County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::canadian_county_bird_01	Wheat-Veil Loon	Arcovglaer grypha	westward_solution_run	Oklahoma	Canadian County	El Reno	bird	common loon	Gavia immer	zone::prairie_transition	wheat flats, torn silos, rail sidings, tornado scars	mothman register	slime mold logic	Michael Jackson	Professor McGonagall	Jason Voorhees		precision broadcast and impossible rhythm; identity-through-transformation discipline; relentless arrival and implacable pressure	unstable_mixed_field	moderate	aerial feint then puncture	American common loon reimagined through Michael Jackson, Professor McGonagall, and Jason Voorhees; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It helps and harms at once, drawing one survivor toward clarity while exposing another to worse danger.	skyline omen and aerial pressure	moderate; survivable with coordination, but punishing to the careless	The encounter can help one member survive while putting another in worse danger.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Canadian County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::canadian_county_bird_02	Wheat-Mire Hawk	Sylvalbae cerula	westward_solution_run	Oklahoma	Canadian County	El Reno	bird	red-tailed hawk	Buteo jamaicensis	zone::prairie_transition	wheat flats, torn silos, rail sidings, tornado scars	dust-bowl ghost-light	gut mutualism	Sarah Evans	Tasslehoff Burrfoot	Natsu		open-throated country ache and lift; curiosity ignoring danger boundaries; explosive heat and protective combustion	unstable_mixed_field	moderate	vertical dive and sonic panic	American red-tailed hawk reimagined through Sarah Evans, Tasslehoff Burrfoot, and Natsu; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It helps and harms at once, drawing one survivor toward clarity while exposing another to worse danger.	skyline omen and aerial pressure	moderate; survivable with coordination, but punishing to the careless	The encounter can help one member survive while putting another in worse danger.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Canadian County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::canadian_county_reptile_01	Tide-wheat Snake	Umbraumbr sinuata	westward_solution_run	Oklahoma	Canadian County	El Reno	reptile	gopher snake	Pituophis catenifer	zone::prairie_transition	wheat flats, torn silos, rail sidings, tornado scars	river devil	iron bacteria	Tommy Pickles	Elle Woods	Lucy Heartfilia		feral childhood nerve and opportunism; disarming brightness with hidden steel; radiant summoning poise	fear_by_stripping	severe	heat-lie stillness into violent snap	American gopher snake reimagined through Tommy Pickles, Elle Woods, and Lucy Heartfilia; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It attacks by taking away footing, light, heat, memory, or shelter before closing for the kill.	threshold heat and patience pressure	severe; the fight changes terrain and can break a party if they hesitate	The species attacks by taking away shelter, memory, footing, or coherence before the killing blow.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Canadian County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::canadian_county_amphibian_01	Dust-Riddle Hellbender	Paludecho lucens	westward_solution_run	Oklahoma	Canadian County	El Reno	amphibian	hellbender	Cryptobranchus alleganiensis	zone::prairie_transition	wheat flats, torn silos, rail sidings, tornado scars	mud-angel	skin symbiont bloom	Tommy Pickles	Joey Tribbiani	Menolly		feral childhood nerve and opportunism; social boldness and shameless appetite; music as shelter and belonging	fear_by_stripping	moderate	swarm-fog confusion	American hellbender reimagined through Tommy Pickles, Joey Tribbiani, and Menolly; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It attacks by taking away footing, light, heat, memory, or shelter before closing for the kill.	water-edge swarm and slick pressure	moderate; survivable with coordination, but punishing to the careless	The species attacks by taking away shelter, memory, footing, or coherence before the killing blow.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Canadian County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::canadian_county_fish_01	Glass-rail Trout	Silurrivus viridis	westward_solution_run	Oklahoma	Canadian County	El Reno	fish	paddlefish	Polyodon spathula	zone::prairie_transition	wheat flats, torn silos, rail sidings, tornado scars	water panther	gill biofilm	Tommy Pickles	Noelle Silva	Apocalyptica	Professor McGonagall	feral childhood nerve and opportunism; water nobility sharpened by pride; percussive cello violence and grave beauty; identity-through-transformation discipline	fear_by_stripping	moderate	current-reversal collision	American paddlefish reimagined through Tommy Pickles, Noelle Silva, Apocalyptica, and Professor McGonagall; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It attacks by taking away footing, light, heat, memory, or shelter before closing for the kill.	current and undertow pressure	moderate; survivable with coordination, but punishing to the careless	The species attacks by taking away shelter, memory, footing, or coherence before the killing blow.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Canadian County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
