character_code	canonical_name	book_num	book_title	timeline_band_code	first_active_scene	last_active_scene	activity_mode	narrative_tier	quest_role	faction	role_summary	region_code	dimension_overlay	peril_state	transformation_state	book_function_notes	source_basis
wowas::xethrolund_papi	Xethrolund	4	Crocodile Smile	B04	B04_L002	B04_R0076	active	core	party_core	none	librarian / guide / love interest	diamond_world	none	active	stable	The smile across the crowd. First physical Boojay encounter. | Fleeing the Cockatrice. Boojay diagnoses Pip's magic correctly. | Pocket sanctuary (Void-Fold). Week of golden light. Trauma bond seeds.	placement_by_book
wowas::daisy_may_great_dane	Daisy May	5	Runes and Wound	B05			companion_presence	core	party_core	none	unconditional anchor	diamond_world	none	active	stable	Glass Forge opens HERE. NOT Book 01. This is canon-locked. | Idealization stage. First disappearance. Solitary solstice (Boojay's jealous reaction). | Pip starts seeing praise/silence as control economy.	placement_by_book
wowas::dervish_cosmic_entity	Dervish	5	Runes and Wound	B05			active	core	major_recurring	none	cosmic corrective force	diamond_world	none	active	stable	Glass Forge opens HERE. NOT Book 01. This is canon-locked. | Idealization stage. First disappearance. Solitary solstice (Boojay's jealous reaction). | Pip starts seeing praise/silence as control economy.	character_registry
wowas::mack_willow_father	Mack	5	Runes and Wound	B05			active	core	major_recurring	none	guardian / biological father / planetary anchor	diamond_world	none	active	stable	Glass Forge opens HERE. NOT Book 01. This is canon-locked. | Idealization stage. First disappearance. Solitary solstice (Boojay's jealous reaction). | Pip starts seeing praise/silence as control economy.	placement_by_book
wowas::neith_architect_mother	Neith	5	Runes and Wound	B05			active	core	opposition	none	foundational architect villain / Rylos' mother	diamond_world	none	active	stable	Glass Forge opens HERE. NOT Book 01. This is canon-locked. | Idealization stage. First disappearance. Solitary solstice (Boojay's jealous reaction). | Pip starts seeing praise/silence as control economy.	character_registry
wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	5	Runes and Wound	B05	B05_S098	B05_R0515	active	core	party_core	none	protagonist / sonomancer / world-maker	diamond_world	none	active	stable	Glass Forge opens HERE. NOT Book 01. This is canon-locked. | Idealization stage. First disappearance. Solitary solstice (Boojay's jealous reaction). | Pip starts seeing praise/silence as control economy.	placement_by_book
wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	5	Runes and Wound	B05			active	core	opposition	none	primary antagonist / accountability arc / Xeth love interest	diamond_world	none	active	stable	Glass Forge opens HERE. NOT Book 01. This is canon-locked. | Idealization stage. First disappearance. Solitary solstice (Boojay's jealous reaction). | Pip starts seeing praise/silence as control economy.	placement_by_book
wowas::ursula_cosmic_mother	Ursula	5	Runes and Wound	B05			active	core	major_recurring	none	biological mother / cosmic anchor	diamond_world	none	active	stable	Glass Forge opens HERE. NOT Book 01. This is canon-locked. | Idealization stage. First disappearance. Solitary solstice (Boojay's jealous reaction). | Pip starts seeing praise/silence as control economy.	character_registry
wowas::xethrolund_papi	Xethrolund	5	Runes and Wound	B05			active	core	party_core	none	librarian / guide / love interest	diamond_world	none	active	stable	Glass Forge opens HERE. NOT Book 01. This is canon-locked. | Idealization stage. First disappearance. Solitary solstice (Boojay's jealous reaction). | Pip starts seeing praise/silence as control economy.	placement_by_book
wowas::daisy_may_great_dane	Daisy May	6	The Refusal and the Wound	B06			companion_presence	core	party_core	none	unconditional anchor	diamond_world	none	active	stable	"Hopeful wish. Tragic misunderstanding (""I cannot"" — Xeth believes it, he's wrong). | Solvaenkyr: third refusal of help. Threshold approaching. | Dark Triad textbook. Revelation arrives all at once — like a chord. Complete."	placement_by_book
wowas::dervish_cosmic_entity	Dervish	6	The Refusal and the Wound	B06			active	core	major_recurring	none	cosmic corrective force	diamond_world	none	active	stable	"Hopeful wish. Tragic misunderstanding (""I cannot"" — Xeth believes it, he's wrong). | Solvaenkyr: third refusal of help. Threshold approaching. | Dark Triad textbook. Revelation arrives all at once — like a chord. Complete."	character_registry
wowas::mack_willow_father	Mack	6	The Refusal and the Wound	B06			active	core	major_recurring	none	guardian / biological father / planetary anchor	diamond_world	none	active	stable	"Hopeful wish. Tragic misunderstanding (""I cannot"" — Xeth believes it, he's wrong). | Solvaenkyr: third refusal of help. Threshold approaching. | Dark Triad textbook. Revelation arrives all at once — like a chord. Complete."	placement_by_book
wowas::neith_architect_mother	Neith	6	The Refusal and the Wound	B06			active	core	opposition	none	foundational architect villain / Rylos' mother	diamond_world	none	active	stable	"Hopeful wish. Tragic misunderstanding (""I cannot"" — Xeth believes it, he's wrong). | Solvaenkyr: third refusal of help. Threshold approaching. | Dark Triad textbook. Revelation arrives all at once — like a chord. Complete."	character_registry
wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	6	The Refusal and the Wound	B06			active	core	party_core	none	protagonist / sonomancer / world-maker	diamond_world	none	active	stable	"Hopeful wish. Tragic misunderstanding (""I cannot"" — Xeth believes it, he's wrong). | Solvaenkyr: third refusal of help. Threshold approaching. | Dark Triad textbook. Revelation arrives all at once — like a chord. Complete."	placement_by_book
wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	6	The Refusal and the Wound	B06			active	core	opposition	none	primary antagonist / accountability arc / Xeth love interest	diamond_world	none	active	stable	"Hopeful wish. Tragic misunderstanding (""I cannot"" — Xeth believes it, he's wrong). | Solvaenkyr: third refusal of help. Threshold approaching. | Dark Triad textbook. Revelation arrives all at once — like a chord. Complete."	placement_by_book
wowas::solvaenkyr_faithfixer	Solvaenkyr	6	The Refusal and the Wound	B06	B06_003	B06_R0468	active	major_recurring	major_recurring	none (Diamond-era classmate)	Faith-Fixer / wraith-state endpoint	diamond_world	none	active	wraith_threshold	"Hopeful wish. Tragic misunderstanding (""I cannot"" — Xeth believes it, he's wrong). | Solvaenkyr: third refusal of help. Threshold approaching. | Dark Triad textbook. Revelation arrives all at once — like a chord. Complete."	placement_by_book
wowas::ursula_cosmic_mother	Ursula	6	The Refusal and the Wound	B06			active	core	major_recurring	none	biological mother / cosmic anchor	diamond_world	none	active	stable	"Hopeful wish. Tragic misunderstanding (""I cannot"" — Xeth believes it, he's wrong). | Solvaenkyr: third refusal of help. Threshold approaching. | Dark Triad textbook. Revelation arrives all at once — like a chord. Complete."	character_registry
wowas::xethrolund_papi	Xethrolund	6	The Refusal and the Wound	B06			active	core	party_core	none	librarian / guide / love interest	diamond_world	none	active	stable	"Hopeful wish. Tragic misunderstanding (""I cannot"" — Xeth believes it, he's wrong). | Solvaenkyr: third refusal of help. Threshold approaching. | Dark Triad textbook. Revelation arrives all at once — like a chord. Complete."	placement_by_book
wowas::cockatrice_king	King of the Cockatrice	7	The Rift Widens	B07			active	major_recurring	opposition	none	monster antagonist / corrupted wizard	diamond_world	none	active	stable	Siege defense: Glass Palace seams under Cockatrice pressure. | Mack: third warning. Still overridden. | Daisy May positions herself between Pip and Boojay. THIS TIME PIP NOTICES.	placement_by_book
wowas::daisy_may_great_dane	Daisy May	7	The Rift Widens	B07	B07_003	B07_R0454	companion_presence	core	party_core	none	unconditional anchor	diamond_world	none	active	stable	Siege defense: Glass Palace seams under Cockatrice pressure. | Mack: third warning. Still overridden. | Daisy May positions herself between Pip and Boojay. THIS TIME PIP NOTICES.	placement_by_book
wowas::dervish_cosmic_entity	Dervish	7	The Rift Widens	B07			active	core	major_recurring	none	cosmic corrective force	diamond_world	none	active	stable	Siege defense: Glass Palace seams under Cockatrice pressure. | Mack: third warning. Still overridden. | Daisy May positions herself between Pip and Boojay. THIS TIME PIP NOTICES.	character_registry
wowas::mack_willow_father	Mack	7	The Rift Widens	B07	B07_002	B07_R0450	active	core	major_recurring	none	guardian / biological father / planetary anchor	diamond_world	none	active	stable	Siege defense: Glass Palace seams under Cockatrice pressure. | Mack: third warning. Still overridden. | Daisy May positions herself between Pip and Boojay. THIS TIME PIP NOTICES.	placement_by_book
wowas::majiskii_great_dane	Majiskii	7	The Rift Widens	B07			companion_presence	core	party_core	none	anchor / receives 'Null is Everything' from Pip	diamond_world	none	active	stable	Siege defense: Glass Palace seams under Cockatrice pressure. | Mack: third warning. Still overridden. | Daisy May positions herself between Pip and Boojay. THIS TIME PIP NOTICES.	placement_by_book
wowas::neith_architect_mother	Neith	7	The Rift Widens	B07			active	core	opposition	none	foundational architect villain / Rylos' mother	diamond_world	none	active	stable	Siege defense: Glass Palace seams under Cockatrice pressure. | Mack: third warning. Still overridden. | Daisy May positions herself between Pip and Boojay. THIS TIME PIP NOTICES.	character_registry
wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	7	The Rift Widens	B07	B07_S006	B07_R0457	active	core	party_core	none	protagonist / sonomancer / world-maker	diamond_world	none	active	stable	Siege defense: Glass Palace seams under Cockatrice pressure. | Mack: third warning. Still overridden. | Daisy May positions herself between Pip and Boojay. THIS TIME PIP NOTICES.	placement_by_book
wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	7	The Rift Widens	B07			active	core	opposition	none	primary antagonist / accountability arc / Xeth love interest	diamond_world	none	active	stable	Siege defense: Glass Palace seams under Cockatrice pressure. | Mack: third warning. Still overridden. | Daisy May positions herself between Pip and Boojay. THIS TIME PIP NOTICES.	placement_by_book
wowas::ursula_cosmic_mother	Ursula	7	The Rift Widens	B07			active	core	major_recurring	none	biological mother / cosmic anchor	diamond_world	none	active	stable	Siege defense: Glass Palace seams under Cockatrice pressure. | Mack: third warning. Still overridden. | Daisy May positions herself between Pip and Boojay. THIS TIME PIP NOTICES.	character_registry
wowas::xethrolund_papi	Xethrolund	7	The Rift Widens	B07			active	core	party_core	none	librarian / guide / love interest	diamond_world	none	active	stable	Siege defense: Glass Palace seams under Cockatrice pressure. | Mack: third warning. Still overridden. | Daisy May positions herself between Pip and Boojay. THIS TIME PIP NOTICES.	character_registry
