entity_code	common_name	neo_scientific_name	base_american_anchor	anchor_scientific_name	life_domain	american_range_or_anchor	wowas_zone_fit	myth_register	microbiology_register	source_media_register_1	source_media_register_2	source_media_register_3	source_trait_stack	pressure_split	morph_description	behavior_in_world	ecological_function	danger_to_humans	quest_or_scene_use	generator_notes	county_anchor	story_corridor_phase
wowas::bird_011	Glass-choir Red-Tailed Hawk	Buteo ferrosonus	red-tailed hawk	Buteo jamaicensis	bird	Thornridge / Heartland	zone::ironmarsh	thunderbird-register	gut mutualism	Jason Voorhees	Michael Jackson	slime mold logic	relentless arrival; precision broadcast and impossible rhythm; distributed problem solving	unstable_mixed_field	American red-tailed hawk reimagined through Jason Voorhees, Michael Jackson, and slime mold logic; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	skyline, omen, or aerial transport pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Ironmarsh to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::bird_012	Wire-scar Barn Owl	Tyto umbraecallis	barn owl	Tyto alba	bird	Heartland / Deepwood	zone::thornridge	mothman-register	none	Bad Santa	Lacuna Coil	mycorrhizal network	profane tenderness under rot; gothic split-voice atmosphere; underground exchange intelligence	wonder_from_wreckage	American barn owl reimagined through Bad Santa, Lacuna Coil, and mycorrhizal network; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	skyline, omen, or aerial transport pressure	moderate if cornered; high only when its repair pattern is interrupted	Use in The Thornridge to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::bird_013	Ash-bloom Wild Turkey	Meleagris sylvata	wild turkey	Meleagris gallopavo	bird	Heartland / Ashfields	zone::deepwood_remnant	coyote-trickster	mycorrhizal exchange	Elle Woods	American jackalope	biofilm persistence	disarming genius; false-rabbit trickster uncanniness; sheathing collective survival	fear_by_stripping	American wild turkey reimagined through Elle Woods, American jackalope, and biofilm persistence; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	skyline, omen, or aerial transport pressure	high; contact usually extracts something vital	Use in The Deepwood Remnant to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::bird_014	Bone-vault American Crow	Corvus threnodia	American crow	Corvus brachyrhynchos	bird	Heartland / Basin	zone::saltflat_crossing	dust-bowl ghost-light	slime mold logic	Lindsey Stirling	Thunderbird register	phage burst cycle	kinetic string-line motion; storm-borne sacred scale; precision rupture and takeover	unstable_mixed_field	American American crow reimagined through Lindsey Stirling, Thunderbird register, and phage burst cycle; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	skyline, omen, or aerial transport pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Saltflat Crossing to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::bird_015	Moss-lark Pileated Woodpecker	Dryocopus quoralis	pileated woodpecker	Dryocopus pileatus	bird	Deepwood Remnant	zone::outer_territories	railroad phantom	gut mutualism	Apocalyptica	Mothman register	tardigrade endurance	percussive cello ferocity; warning apparition pressure; impossible survival dormancy	wonder_from_wreckage	American pileated woodpecker reimagined through Apocalyptica, Mothman register, and tardigrade endurance; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	skyline, omen, or aerial transport pressure	moderate if cornered; high only when its repair pattern is interrupted	Use in The Outer Territories to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::bird_016	Shard-wasp Great Blue Heron	Ardea mimetica	great blue heron	Ardea herodias	bird	Ironmarsh / Basin	zone::heartland	blue-dog warning	none	Metallica	Hodag register	Stitch	storm-weight aggression; ridged forest menace; engineered ferocity choosing attachment	fear_by_stripping	American great blue heron reimagined through Metallica, Hodag register, and Stitch; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	skyline, omen, or aerial transport pressure	high; contact usually extracts something vital	Use in The Heartland to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::bird_017	Velvet-riddle Bald Eagle	Haliaeetus arcovita	bald eagle	Haliaeetus leucocephalus	bird	Basin / Outer Territories	zone::ashfields	hodag-register	mycorrhizal exchange	Sara Evans	Coyote-trickster register	Tasslehoff Burrfoot	open-hearted country lift; clever hunger and misdirection; curiosity ignoring the danger boundary	unstable_mixed_field	American bald eagle reimagined through Sara Evans, Coyote-trickster register, and Tasslehoff Burrfoot; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	skyline, omen, or aerial transport pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Ashfields to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::bird_018	Mercy-knell Common Loon	Gavia corticata	common loon	Gavia immer	bird	Still Water Basin	zone::still_water_basin	none	slime mold logic	Michael Jackson	slime mold logic	Jason Stackhouse	precision broadcast and impossible rhythm; distributed problem solving; earnest body-forward warmth	wonder_from_wreckage	American common loon reimagined through Michael Jackson, slime mold logic, and Jason Stackhouse; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	skyline, omen, or aerial transport pressure	moderate if cornered; high only when its repair pattern is interrupted	Use in The Still Water Basin to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::reptile_019	Needle-flood American Alligator	Alligator fulgora	American alligator	Alligator mississippiensis	reptile	Ironmarsh	zone::ironmarsh	jackalope-register	gut mutualism	Lacuna Coil	mycorrhizal network	Charmy	gothic split-voice atmosphere; underground exchange intelligence; emotional volatility with nourishment drive	fear_by_stripping	American American alligator reimagined through Lacuna Coil, mycorrhizal network, and Charmy; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	heat, patience, and threshold danger pressure	high; contact usually extracts something vital	Use in The Ironmarsh to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::reptile_020	Cinder-mantle Timber Rattlesnake	Crotalus mirabilis	timber rattlesnake	Crotalus horridus	reptile	Thornridge / Deepwood	zone::thornridge	thunderbird-register	none	American jackalope	biofilm persistence	Natsu Dragneel	false-rabbit trickster uncanniness; sheathing collective survival; explosive protectiveness and heat-hunger	unstable_mixed_field	American timber rattlesnake reimagined through American jackalope, biofilm persistence, and Natsu Dragneel; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	heat, patience, and threshold danger pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Thornridge to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::reptile_021	Static-lure Gopher Tortoise	Gopherus ferrosonus	gopher tortoise	Gopherus polyphemus	reptile	Saltflat / Ashfields	zone::deepwood_remnant	mothman-register	mycorrhizal exchange	Thunderbird register	phage burst cycle	Noelle Silva	storm-borne sacred scale; precision rupture and takeover; pride under terror becoming force	wonder_from_wreckage	American gopher tortoise reimagined through Thunderbird register, phage burst cycle, and Noelle Silva; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	heat, patience, and threshold danger pressure	moderate if cornered; high only when its repair pattern is interrupted	Use in The Deepwood Remnant to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::reptile_022	Root-scribe Prairie Kingsnake	Lampropeltis umbraecallis	prairie kingsnake	Lampropeltis calligaster	reptile	Ashfields / Heartland	zone::saltflat_crossing	coyote-trickster	slime mold logic	Mothman register	tardigrade endurance	Drizzt Do'Urden	warning apparition pressure; impossible survival dormancy; precision exile ethics	fear_by_stripping	American prairie kingsnake reimagined through Mothman register, tardigrade endurance, and Drizzt Do'Urden; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	heat, patience, and threshold danger pressure	high; contact usually extracts something vital	Use in The Saltflat Crossing to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::reptile_023	Echo-wake Texas Horned Lizard	Phrynosoma sylvata	Texas horned lizard	Phrynosoma cornutum	reptile	Saltflat Crossing	zone::outer_territories	dust-bowl ghost-light	gut mutualism	Hodag register	Stitch	Gromph Baenre	ridged forest menace; engineered ferocity choosing attachment; ruthless hidden calculation	unstable_mixed_field	American Texas horned lizard reimagined through Hodag register, Stitch, and Gromph Baenre; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	heat, patience, and threshold danger pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Outer Territories to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::amphibian_024	Fever-crown American Bullfrog	Lithobates threnodia	American bullfrog	Lithobates catesbeianus	amphibian	Ironmarsh / Basin	zone::heartland	railroad phantom	none	Coyote-trickster register	Tasslehoff Burrfoot	Ares	clever hunger and misdirection; curiosity ignoring the danger boundary; war-beauty and grievance	wonder_from_wreckage	American American bullfrog reimagined through Coyote-trickster register, Tasslehoff Burrfoot, and Ares; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	wet-edge change detector and resonance barometer	moderate if cornered; high only when its repair pattern is interrupted	Use in The Heartland to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::amphibian_025	Spiral-hinge Spotted Salamander	Ambystoma quoralis	spotted salamander	Ambystoma maculatum	amphibian	Deepwood / Basin	zone::ashfields	blue-dog warning	mycorrhizal exchange	slime mold logic	Jason Stackhouse	Professor McGonagall	distributed problem solving; earnest body-forward warmth; identity-through-transformation	fear_by_stripping	American spotted salamander reimagined through slime mold logic, Jason Stackhouse, and Professor McGonagall; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	wet-edge change detector and resonance barometer	high; contact usually extracts something vital	Use in The Ashfields to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::amphibian_026	Gospel-runner Spring Peeper	Pseudacris mimetica	spring peeper	Pseudacris crucifer	amphibian	Heartland / Basin	zone::still_water_basin	hodag-register	slime mold logic	mycorrhizal network	Charmy	Freddy Krueger	underground exchange intelligence; emotional volatility with nourishment drive; dream-penetration and intimate threat	unstable_mixed_field	American spring peeper reimagined through mycorrhizal network, Charmy, and Freddy Krueger; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	wet-edge change detector and resonance barometer	variable; safe to approach only when the surrounding field reads coherent	Use in The Still Water Basin to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::fish_027	Salt-moth Largemouth Bass	Micropterus arcovita	largemouth bass	Micropterus salmoides	fish	Still Water Basin	zone::ironmarsh	none	gut mutualism	biofilm persistence	Natsu Dragneel	Jason Voorhees	sheathing collective survival; explosive protectiveness and heat-hunger; relentless arrival	wonder_from_wreckage	American largemouth bass reimagined through biofilm persistence, Natsu Dragneel, and Jason Voorhees; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	water-column current reader and corpse-memory carrier	moderate if cornered; high only when its repair pattern is interrupted	Use in The Ironmarsh to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::fish_028	Lattice-hunger Channel Catfish	Ictalurus corticata	channel catfish	Ictalurus punctatus	fish	Basin / Ironmarsh	zone::thornridge	jackalope-register	none	phage burst cycle	Noelle Silva	Bad Santa	precision rupture and takeover; pride under terror becoming force; profane tenderness under rot	fear_by_stripping	American channel catfish reimagined through phage burst cycle, Noelle Silva, and Bad Santa; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	water-column current reader and corpse-memory carrier	high; contact usually extracts something vital	Use in The Thornridge to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::fish_029	Harrow-jaw Gar	Lepisosteus fulgora	gar	Lepisosteus osseus	fish	Ironmarsh	zone::deepwood_remnant	thunderbird-register	mycorrhizal exchange	tardigrade endurance	Drizzt Do'Urden	Elle Woods	impossible survival dormancy; precision exile ethics; disarming genius	unstable_mixed_field	American gar reimagined through tardigrade endurance, Drizzt Do'Urden, and Elle Woods; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	water-column current reader and corpse-memory carrier	variable; safe to approach only when the surrounding field reads coherent	Use in The Deepwood Remnant to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::fish_030	Mirror-wing Salmon	Oncorhynchus mirabilis	salmon	Oncorhynchus spp.	fish	Outer Territories / Basin	zone::saltflat_crossing	mothman-register	slime mold logic	Stitch	Gromph Baenre	Lindsey Stirling	engineered ferocity choosing attachment; ruthless hidden calculation; kinetic string-line motion	wonder_from_wreckage	American salmon reimagined through Stitch, Gromph Baenre, and Lindsey Stirling; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	water-column current reader and corpse-memory carrier	moderate if cornered; high only when its repair pattern is interrupted	Use in The Saltflat Crossing to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::insect_031	Dust-coil Monarch Butterfly	Danaus ferrosonus	monarch butterfly	Danaus plexippus	insect	Heartland / Ashfields	zone::outer_territories	coyote-trickster	gut mutualism	Tasslehoff Burrfoot	Ares	Apocalyptica	curiosity ignoring the danger boundary; war-beauty and grievance; percussive cello ferocity	fear_by_stripping	American monarch butterfly reimagined through Tasslehoff Burrfoot, Ares, and Apocalyptica; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	swarm, pollination, and signal-density pressure	high; contact usually extracts something vital	Use in The Outer Territories to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::insect_032	Choir-antler Honey Bee	Apis umbraecallis	honey bee	Apis mellifera	insect	Heartland / Ashfields	zone::heartland	dust-bowl ghost-light	none	Jason Stackhouse	Professor McGonagall	Metallica	earnest body-forward warmth; identity-through-transformation; storm-weight aggression	unstable_mixed_field	American honey bee reimagined through Jason Stackhouse, Professor McGonagall, and Metallica; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	swarm, pollination, and signal-density pressure	variable; safe to approach only when the surrounding field reads coherent	Use in The Heartland to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::insect_033	Furnace-veil Cicada	Magicicada sylvata	cicada	Magicicada septendecim	insect	Heartland / Deepwood	zone::ashfields	railroad phantom	mycorrhizal exchange	Charmy	Freddy Krueger	Sara Evans	emotional volatility with nourishment drive; dream-penetration and intimate threat; open-hearted country lift	wonder_from_wreckage	American cicada reimagined through Charmy, Freddy Krueger, and Sara Evans; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	swarm, pollination, and signal-density pressure	moderate if cornered; high only when its repair pattern is interrupted	Use in The Ashfields to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::insect_034	Hollow-harp Dragonfly	Anisoptera threnodia	dragonfly	Anisoptera spp.	insect	Basin / Ironmarsh	zone::still_water_basin	blue-dog warning	slime mold logic	Natsu Dragneel	Jason Voorhees	Michael Jackson	explosive protectiveness and heat-hunger; relentless arrival; precision broadcast and impossible rhythm	fear_by_stripping	American dragonfly reimagined through Natsu Dragneel, Jason Voorhees, and Michael Jackson; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	swarm, pollination, and signal-density pressure	high; contact usually extracts something vital	Use in The Still Water Basin to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
