creature_id	species_name	base_form	primary_trait	secondary_trait	biome	danger_band	ecology_role	candidate_draws	selection_score	generation_law	visual_status
WR00052	Aermaelorianael52	stonefin bird	weird	cello-woken	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00053	Ashaelioniven53	thorn whale	unbrictionable	unibreccianated	xeth glyph yard	predatory	memory mimic	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00054	Aerdalenianel54	ash otter	elegant	horrific	stone fen	sacred-dangerous	weather listener	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00055	Ashajoraael55	ribbon serpent	cello-woken	diamond-scarred	pocket sanctuary	gentle	burrow architect	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00056	Aerfiraluthelle56	mirror lynx	unibreccianated	verdant	glass orchard	watchful	soil restorer	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00057	Aerindraamardion57	fern mantis	horrific	beautiful	neith edge	hazardous	apex grazer	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00058	Ashagalenglassavel58	marrow crane	diamond-scarred	glyph-touched	willow-stone county	predatory	song amplifier	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00059	Aerdalenel59	quartz ram	verdant	sanitized	last open gate	sacred-dangerous	healing symbiote	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00060	Aerdalenamararel60	song beetle	beautiful	gross	diamond breakland	gentle	gate sentinel	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00061	Aerdalenevaraavel61	moth-deer	glyph-touched	resonant	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00062	Aeranorcoriahaloren62	root hound	sanitized	chaotic	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00063	Ashaelioncrownion63	glass heron	gross	weird	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00064	Aeranorlarkelle64	basalt hare	resonant	unbrictionable	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00065	Aeranorianbrinarel65	orchard eel	chaotic	elegant	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00066	Aeranorael66	lantern fox	weird	cello-woken	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00067	Aerfiraiven67	cinder elk	unbrictionable	unibreccianated	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00068	Aerfiraamarhalorel68	moss bear	elegant	horrific	xeth glyph yard	predatory	memory mimic	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00069	Aerindraiven69	willow crab	cello-woken	diamond-scarred	stone fen	sacred-dangerous	weather listener	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00070	Aeranorianaelen70	stonefin bird	unibreccianated	verdant	pocket sanctuary	gentle	burrow architect	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00071	Ashaavelael71	thorn whale	horrific	beautiful	glass orchard	watchful	soil restorer	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00072	Aeranoravel72	ash otter	diamond-scarred	glyph-touched	neith edge	hazardous	apex grazer	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00073	Aeranorcoriaemberen73	ribbon serpent	verdant	sanitized	willow-stone county	predatory	song amplifier	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00074	Aermaelorel74	mirror lynx	beautiful	gross	last open gate	sacred-dangerous	healing symbiote	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00075	Aerfiraluthen75	fern mantis	glyph-touched	resonant	diamond breakland	gentle	gate sentinel	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00076	Aermaeloriel76	marrow crane	sanitized	chaotic	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00077	Aeranorcrowniel77	quartz ram	gross	weird	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00078	Aermaelorion78	song beetle	resonant	unbrictionable	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00079	Aeranorluthhaloren79	moth-deer	chaotic	elegant	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00080	Aeranorcoriaivydria80	root hound	weird	cello-woken	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00081	Ashaavelmarrowel81	glass heron	unbrictionable	unibreccianated	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00082	Aerdalencoriael82	basalt hare	elegant	horrific	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00083	Aeranorelle83	orchard eel	cello-woken	diamond-scarred	xeth glyph yard	predatory	memory mimic	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00084	Ashaelionindraarel84	lantern fox	unibreccianated	verdant	stone fen	sacred-dangerous	weather listener	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00085	Aeranorianelle85	cinder elk	horrific	beautiful	pocket sanctuary	gentle	burrow architect	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00086	Ashajoraaria86	moss bear	diamond-scarred	glyph-touched	glass orchard	watchful	soil restorer	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00087	Ashagalendalenaen87	willow crab	verdant	sanitized	neith edge	hazardous	apex grazer	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00088	Aeranoramaraeldria88	stonefin bird	beautiful	gross	willow-stone county	predatory	song amplifier	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00089	Aerdalenluthdria89	thorn whale	glyph-touched	resonant	last open gate	sacred-dangerous	healing symbiote	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00090	Aerdalenaria90	ash otter	sanitized	chaotic	diamond breakland	gentle	gate sentinel	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00091	Aerfiraiel91	ribbon serpent	gross	weird	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00092	Aerindraianaelen92	mirror lynx	resonant	unbrictionable	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00093	Aeranorianriverelle93	fern mantis	chaotic	elegant	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00094	Ashagalenanoraen94	marrow crane	weird	cello-woken	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00095	Aerfiraamarhaloren95	quartz ram	unbrictionable	unibreccianated	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00096	Aerdalencoriaaeliel96	song beetle	elegant	horrific	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00097	Aeranorianendaravel97	moth-deer	cello-woken	diamond-scarred	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00098	Aeranorianavel98	root hound	unibreccianated	verdant	xeth glyph yard	predatory	memory mimic	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00099	Aerdalenarel99	glass heron	horrific	beautiful	stone fen	sacred-dangerous	weather listener	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00100	Aerindraluthelle100	basalt hare	diamond-scarred	glyph-touched	pocket sanctuary	gentle	burrow architect	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00101	Aerdalenluthdion101	orchard eel	verdant	sanitized	glass orchard	watchful	soil restorer	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00102	Aerdalenforgeiel102	lantern fox	beautiful	gross	neith edge	hazardous	apex grazer	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00103	Ashagalenfiraaen103	cinder elk	glyph-touched	resonant	willow-stone county	predatory	song amplifier	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00104	Aerdalenianarel104	moss bear	sanitized	chaotic	last open gate	sacred-dangerous	healing symbiote	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00105	Aerfiraluthdria105	willow crab	gross	weird	diamond breakland	gentle	gate sentinel	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00106	Ashaavelarel106	stonefin bird	resonant	unbrictionable	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00107	Aerdalenamarivyiven107	thorn whale	chaotic	elegant	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00108	Aerdalenamaraeliel108	ash otter	weird	cello-woken	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00109	Aeranorianendariven109	ribbon serpent	unbrictionable	unibreccianated	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00110	Brenbrinjoraael110	mirror lynx	elegant	horrific	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00111	Ashajoradalenel111	fern mantis	cello-woken	diamond-scarred	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00112	Aeranorianael112	marrow crane	unibreccianated	verdant	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00113	Aerindradion113	quartz ram	horrific	beautiful	xeth glyph yard	predatory	memory mimic	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00114	Aerfiraamarion114	song beetle	diamond-scarred	glyph-touched	stone fen	sacred-dangerous	weather listener	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00115	Aerfiraavel115	moth-deer	verdant	sanitized	pocket sanctuary	gentle	burrow architect	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00116	Aerfiracoriaaeliven116	root hound	beautiful	gross	glass orchard	watchful	soil restorer	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00117	Aermaelorianelle117	glass heron	glyph-touched	resonant	neith edge	hazardous	apex grazer	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00118	Aerfiraamarbrinen118	basalt hare	sanitized	chaotic	willow-stone county	predatory	song amplifier	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00119	Aeranoramarmossiel119	orchard eel	gross	weird	last open gate	sacred-dangerous	healing symbiote	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00120	Ashajoraanorevaraen120	lantern fox	resonant	unbrictionable	diamond breakland	gentle	gate sentinel	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00121	Ashajoramiredion121	cinder elk	chaotic	elegant	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00122	Aerindraianashen122	moss bear	weird	cello-woken	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00123	Aerfiraion123	willow crab	unbrictionable	unibreccianated	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00124	Aerfiraevaraaelarel124	stonefin bird	elegant	horrific	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00125	Aerfiraamaraeldria125	thorn whale	cello-woken	diamond-scarred	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00126	Aerfiraevaraarel126	ash otter	unibreccianated	verdant	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00127	Aeranordria127	ribbon serpent	horrific	beautiful	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00128	Aerindraevaraavel128	mirror lynx	diamond-scarred	glyph-touched	xeth glyph yard	predatory	memory mimic	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00129	Aerdalenglassion129	fern mantis	verdant	sanitized	stone fen	sacred-dangerous	weather listener	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00130	Aeranorianiel130	marrow crane	beautiful	gross	pocket sanctuary	gentle	burrow architect	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00131	Ashaavelaria131	quartz ram	glyph-touched	resonant	glass orchard	watchful	soil restorer	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00132	Aerdalenianaeliven132	song beetle	sanitized	chaotic	neith edge	hazardous	apex grazer	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00133	Ashajoraindraaen133	moth-deer	gross	weird	willow-stone county	predatory	song amplifier	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00134	Aerdaleniandria134	root hound	resonant	unbrictionable	last open gate	sacred-dangerous	healing symbiote	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00135	Aeranorevaraaelelle135	glass heron	chaotic	elegant	diamond breakland	gentle	gate sentinel	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00136	Ashaaveldalenelle136	basalt hare	weird	cello-woken	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00137	Aeranorluthfendria137	orchard eel	unbrictionable	unibreccianated	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00138	Aeranorbelldria138	lantern fox	elegant	horrific	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00139	Ashagalenel139	cinder elk	cello-woken	diamond-scarred	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00140	Aerindraamarivyen140	moss bear	unibreccianated	verdant	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00141	Ashaavelmireel141	willow crab	horrific	beautiful	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00142	Ashaaveliel142	stonefin bird	diamond-scarred	glyph-touched	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00143	Ashaavelindraiel143	thorn whale	verdant	sanitized	xeth glyph yard	predatory	memory mimic	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00144	Aeranorluthkelanaen144	ash otter	beautiful	gross	stone fen	sacred-dangerous	weather listener	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00145	Aeranorcoriakelanen145	ribbon serpent	glyph-touched	resonant	pocket sanctuary	gentle	burrow architect	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00146	Aerdalencoriabrinen146	mirror lynx	sanitized	chaotic	glass orchard	watchful	soil restorer	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00147	Aeranorluthbrindria147	fern mantis	gross	weird	neith edge	hazardous	apex grazer	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00148	Aermaelorluthiel148	marrow crane	resonant	unbrictionable	willow-stone county	predatory	song amplifier	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00149	Aerindraianen149	quartz ram	chaotic	elegant	last open gate	sacred-dangerous	healing symbiote	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00150	Aerfiralutharel150	song beetle	weird	cello-woken	diamond breakland	gentle	gate sentinel	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00151	Aerindraamaraelel151	moth-deer	unbrictionable	unibreccianated	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00152	Aermaelorluthbrinen152	root hound	elegant	horrific	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00153	Aerindracoriadria153	glass heron	cello-woken	diamond-scarred	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00154	Aerindraavel154	basalt hare	unibreccianated	verdant	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00155	Ashanarabrookaen155	orchard eel	horrific	beautiful	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00156	Aeranoramarbelliel156	lantern fox	diamond-scarred	glyph-touched	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00157	Aermaeloren157	cinder elk	verdant	sanitized	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00158	Aerfiraluthendarel158	moss bear	beautiful	gross	xeth glyph yard	predatory	memory mimic	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00159	Aeranorarel159	willow crab	glyph-touched	resonant	stone fen	sacred-dangerous	weather listener	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00160	Aermaelorianhaloren160	stonefin bird	sanitized	chaotic	pocket sanctuary	gentle	burrow architect	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00161	Aermaelorluthdion161	thorn whale	gross	weird	glass orchard	watchful	soil restorer	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00162	Aerfiraevaraaelen162	ash otter	resonant	unbrictionable	neith edge	hazardous	apex grazer	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00163	Aerdalenluthiel163	ribbon serpent	chaotic	elegant	willow-stone county	predatory	song amplifier	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00164	Aerfirariverdria164	mirror lynx	weird	cello-woken	last open gate	sacred-dangerous	healing symbiote	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00165	Aerdalenianbrinelle165	fern mantis	unbrictionable	unibreccianated	diamond breakland	gentle	gate sentinel	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00166	Aerfiraianquartzel166	marrow crane	elegant	horrific	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00167	Aerindraluthiel167	quartz ram	cello-woken	diamond-scarred	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00168	Ashagalenfiraaria168	song beetle	unibreccianated	verdant	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00169	Aerindraamarkelanen169	moth-deer	horrific	beautiful	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00170	Aerfiraamarcinderen170	root hound	diamond-scarred	glyph-touched	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00171	Ashaeliondalenael171	glass heron	verdant	sanitized	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
WR00172	Aerfiraianaelavel172	basalt hare	beautiful	gross	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	pending_art_reference
